frame_index,source_frame_index,analysis_frame_index,timestamp_ms,observed_landmark_count,observed_fraction,median_confidence,core_observed_count,lower_limb_observed_count,core_median_confidence,lower_limb_median_confidence,human_target_unavailable,human_target_unavailable_reason,human_target_unavailable_note,human_target_unavailable_start_frame,human_target_unavailable_end_frame,human_target_accepted,human_target_accepted_note,human_target_accepted_start_frame,human_target_accepted_end_frame,pelvis_x,pelvis_y,shoulder_mid_x,shoulder_mid_y,body_scale_px,backend_pose_count,selected_pose_index,multiple_pose_candidates,competing_pose_count,competing_pose_max_iou,competing_pose_min_center_distance_fraction,pose_bbox_x,pose_bbox_y,pose_bbox_width,pose_bbox_height,pose_centroid_x,pose_centroid_y,roi_center_x,roi_center_y,roi_pose_centroid_distance_px,roi_pose_centroid_distance_fraction,pose_roi_overlap_fraction,pose_scale_px,pose_scale_relative_change,pose_centroid_consistent_with_roi,pelvis_jump_px,shoulder_jump_px,body_scale_reference_px,body_scale_relative_change,identity_jump_flag,competing_pose_proximity_flag,target_overlap_ambiguous_flag,identity_uncertain_flag,frame_status,frame_rejection_reason,valid_target_frame,valid_segment_id,automatic_frame_status,automatic_frame_rejection_reason,manual_review_decision,manual_override_applied
0,0,0,0.0,17,1.0,0.7220577001571655,4,6,0.9667375087738037,0.39497560262680054,False,,,,,False,,,,1214.9658737182617,558.7141723632812,1210.6054306030273,491.17108154296875,67.68369509506833,2,0,True,1,0.14871198916534473,0.38638466714892616,1153.8014373779297,470.3428497314453,96.29537963867188,151.9435272216797,1201.9491271972656,546.3146133422852,1174.2857142857142,555.0,28.994833251960596,0.08826016186399831,1.0,179.88784173568055,,True,,,56.6908691382516,,False,True,True,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,NOT_REVIEWED,False
1,1,1,33.333333333333336,17,1.0,0.7340514063835144,4,6,0.9692970514297485,0.49319446086883545,False,,,,,False,,,,1215.946403503418,556.7399520874023,1211.4041213989258,491.1625671386719,65.73450953213823,2,0,True,1,0.15987903410797258,0.38040478330597766,1152.7537536621094,470.83485412597656,97.36944580078125,146.5610809326172,1201.4384765625,544.1153945922852,1166.7142857142858,553.8571428571429,36.064817888339086,0.10773186996355597,1.0,175.9572658905805,0.06933349064581458,True,2.204310404019803,0.7987361783050835,56.6908691382516,0.034382707348808376,False,True,True,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,NOT_REVIEWED,False
2,2,2,66.66666666666667,17,1.0,0.8448290228843689,4,6,0.9860700964927673,0.8486156165599823,False,,,,,False,,,,1198.8650512695312,553.7249145507812,1194.731014251709,488.61810302734375,65.23792737980828,2,0,True,1,0.20167086066921497,0.33809134586060485,1133.845199584961,468.6815528869629,113.13166809082031,161.85854721069336,1190.411033630371,549.6108264923096,1159.1428571428573,552.7142857142857,31.421812805705155,0.09213547948984653,1.0,197.47648880352259,0.3795888692491789,True,17.345404160334258,16.86614358875225,56.6908691382516,0.008759473260481127,False,True,True,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,NOT_REVIEWED,False
3,3,3,100.0,17,1.0,0.8962978720664978,4,6,0.9908223450183868,0.9091176688671112,False,,,,,False,,,,1181.1297798156738,548.3669052124023,1179.2825736999512,482.2353820800781,66.15731646790925,1,0,False,0,0.0,,1110.6892738342285,460.275821685791,127.28232955932617,166.8468894958496,1174.3304386138916,543.6992664337158,1151.5714285714284,551.5714285714287,24.082015589135782,0.06933309014309835,1.0,209.85393956866562,0.2183323514578378,True,18.52695651239473,16.715066322688003,56.6908691382516,0.016217586748561986,False,False,False,False,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,False,,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,NOT_REVIEWED,False
4,4,4,133.33333333333334,17,1.0,0.834055483341217,4,6,0.9874144196510315,0.8087851405143738,False,,,,,False,,,,1164.6662292480469,540.751579284668,1161.8241157531738,476.4304885864258,64.38385137384402,1,0,False,0,0.0,,1091.0020561218262,455.8307304382324,137.04884719848633,161.59321975708008,1159.5264797210693,536.6273403167725,1144.0,550.4285714285713,20.773674511989025,0.05873918139042982,1.0,211.8838247481247,0.035806210247170844,True,18.139506230281825,18.39822117358198,56.6908691382516,0.03128308175590489,False,False,False,False,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,False,,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,NOT_REVIEWED,False
5,5,5,166.66666666666666,17,1.0,0.9341491460800171,4,6,0.99227175116539,0.9338336288928986,False,,,,,False,,,,1152.5759010314941,532.6211242675781,1149.373146057129,471.55376052856445,61.1512923286076,1,0,False,0,0.0,,1074.7033195495605,448.17565536499023,134.5804328918457,122.27968215942383,1141.9935359954834,509.31549644470215,1136.4285714285716,549.2857142857143,40.355757270666516,0.1120984431460168,1.0,181.83567742983305,0.5300350440035319,True,14.569843347438319,13.371952846243547,56.6908691382516,0.05702080589650519,False,False,False,False,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,False,,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,NOT_REVIEWED,False
6,6,6,200.0,17,1.0,0.9123610854148865,4,6,0.9912869930267334,0.9122681021690369,False,,,,,False,,,,1152.7301788330078,531.1145324707031,1148.8727226257324,471.12775802612305,60.11067356681318,1,0,False,0,0.0,,1074.8948059082031,448.0929412841797,131.72203063964844,121.25422668457031,1140.7558212280273,508.72005462646484,1121.25,546.7857142857142,42.7723217405084,0.11901663987131052,1.0,179.03430074906217,0.04941495382508936,True,1.5144703636753454,0.6571923179534072,56.6908691382516,0.01835602060107194,False,False,False,False,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,False,,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,NOT_REVIEWED,False
7,7,7,233.33333333333334,17,1.0,0.9635452032089233,4,6,0.9939020276069641,0.9682625234127045,False,,,,,False,,,,1135.8659286499023,540.2061538696289,1136.4140014648438,469.1724052429199,71.03586296915776,2,0,True,1,0.6332667030419376,0.1398262110761678,1063.3972854614258,443.2200698852539,125.12689971923828,167.21826934814453,1125.960735321045,526.8292045593262,1106.0714285714287,544.2857142857143,26.463451301895887,0.07375958688982817,1.0,208.8508813415374,0.5259503169683595,True,19.1588233954953,12.611230608927718,56.6908691382516,0.1927151509302389,False,True,True,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,NOT_REVIEWED,False
8,8,8,266.6666666666667,17,1.0,0.9648451805114746,4,6,0.9940511882305145,0.9661591351032257,False,,,,,False,,,,1118.526596069336,529.9912071228027,1119.8470268249512,461.3641719818115,68.63973695770707,1,0,False,0,0.0,,1044.4285202026367,436.2318992614746,135.97917938232422,150.29742813110352,1112.4181098937988,511.38061332702637,1090.892857142857,541.7857142857142,37.25327730951902,0.10400152697577404,1.0,202.68116372350573,0.10883088779227587,True,20.12455195476377,18.314834298423868,56.6908691382516,0.04226652453691044,False,False,False,False,VALID_TARGET,,True,1,VALID_TARGET,,NOT_REVIEWED,False
9,9,9,300.0,17,1.0,0.9086154699325562,4,6,0.9910483360290527,0.9349082410335541,False,,,,,False,,,,1107.1146240234375,519.5431137084961,1106.5974578857422,455.15439796447754,64.39079263355904,1,0,False,0,0.0,,1033.1256637573242,433.82323837280273,114.50586700439453,129.47302627563477,1090.3785972595215,498.5597515106201,1075.7142857142858,539.2857142857142,43.28563361040339,0.12103141547495545,1.0,172.8434497208364,0.5263231002845332,True,15.472419396152793,14.632579076198692,56.6908691382516,0.07494935937189741,False,False,False,False,VALID_TARGET,,True,1,VALID_TARGET,,NOT_REVIEWED,False
