source_frame_index,background_dx_px,background_dy_px,background_feature_count,camera_motion_status,camera_motion_residual_px,camera_motion_method,affine_a,affine_b,affine_tx,affine_c,affine_d,affine_ty,affine_scale,affine_inlier_fraction
0,0.0,0.0,0,INSUFFICIENT_EVIDENCE,,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
1,-2.86737060546875,-2.0259475708007812,213,SUPPORTED,3.510105848312378,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
2,-2.48162841796875,-1.7627105712890625,213,SUPPORTED,3.0435731410980225,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
3,-2.3828887939453125,-1.801595687866211,224,SUPPORTED,2.986701250076294,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
4,-2.160552978515625,-1.9076461791992188,213,SUPPORTED,2.881045341491699,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
5,-2.11749267578125,-1.3263721466064453,202,SUPPORTED,2.4960567951202393,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
6,-2.17181396484375,-1.2540550231933594,215,SUPPORTED,2.506079912185669,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
7,-1.925811767578125,-0.7180366516113281,200,SUPPORTED,2.0552167892456055,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
8,-2.1627960205078125,-0.9208850860595703,200,SUPPORTED,2.3500022888183594,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
9,-2.3114013671875,-1.1297454833984375,217,SUPPORTED,2.5323121547698975,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
10,-2.168731689453125,-0.3722724914550781,205,SUPPORTED,2.2003467082977295,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
11,-2.3055877685546875,-0.16775035858154297,204,SUPPORTED,2.311558961868286,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
12,-2.4442138671875,-0.22139358520507812,243,SUPPORTED,2.45241117477417,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
22,-2.7366943359375,0.0197296142578125,223,UNSTABLE_TRANSFORM,16.251455307006836,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
23,1.35125732421875,3.3004608154296875,257,SUPPORTED,2.0465683937072754,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
24,2.12530517578125,4.59027099609375,313,SUPPORTED,1.5787628889083862,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
25,2.576568603515625,5.108356475830078,264,SUPPORTED,2.3072962760925293,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
26,3.372802734375,5.480621337890625,253,SUPPORTED,2.4873178005218506,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
27,4.1082763671875,6.23681640625,301,SUPPORTED,1.6487555503845215,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
28,4.504848480224609,6.53857421875,275,SUPPORTED,2.212836742401123,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
29,5.000378608703613,6.660370826721191,218,SUPPORTED,3.8725028038024902,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
30,6.084022521972656,7.1578369140625,242,SUPPORTED,2.433992624282837,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
31,6.6324462890625,6.972782135009766,207,SUPPORTED,4.145805835723877,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
32,7.513153076171875,7.3172607421875,222,SUPPORTED,2.9694766998291016,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
33,7.727294921875,6.98382568359375,198,SUPPORTED,4.06291389465332,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
34,8.357986450195312,6.268016815185547,188,SUPPORTED,4.34303092956543,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
35,8.44403076171875,6.532958984375,213,SUPPORTED,3.6444787979125977,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
36,8.642134666442871,5.926906585693359,208,SUPPORTED,3.80673885345459,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
37,8.93695068359375,5.434844970703125,217,SUPPORTED,3.9768664836883545,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
38,9.300384521484375,5.308706283569336,209,SUPPORTED,3.4814865589141846,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
39,9.937908172607422,4.847768306732178,222,SUPPORTED,3.3910932540893555,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
40,10.070907592773438,4.4219970703125,228,SUPPORTED,3.4285435676574707,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
41,9.652618408203125,4.225943565368652,207,SUPPORTED,3.703920364379883,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
42,9.713748931884766,3.8798828125,234,SUPPORTED,3.4163570404052734,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
43,9.702682495117188,3.377157688140869,228,SUPPORTED,3.086787462234497,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
44,9.592864990234375,3.4158172607421875,230,SUPPORTED,2.848355293273926,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
45,9.263565063476562,3.2767982482910156,254,SUPPORTED,2.652203321456909,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
46,8.970939636230469,2.714752197265625,259,SUPPORTED,2.542854070663452,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
47,8.454231262207031,2.4043655395507812,262,SUPPORTED,2.6542773246765137,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
48,7.913307189941406,1.8309822082519531,282,SUPPORTED,2.8325576782226562,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
49,7.431915283203125,1.2681787014007568,274,SUPPORTED,2.687805652618408,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
50,6.61126708984375,0.7116680145263672,289,SUPPORTED,2.8714160919189453,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
51,5.62908935546875,0.00261688232421875,324,SUPPORTED,2.917651653289795,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
52,4.7362060546875,0.0001068115234375,339,SUPPORTED,2.8797731399536133,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
53,3.664337158203125,-0.000736236572265625,350,SUPPORTED,2.872912883758545,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
54,2.3779754638671875,-0.6222076416015625,349,SUPPORTED,2.458066940307617,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
55,1.09857177734375,-1.12434720993042,346,SUPPORTED,2.1111321449279785,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
63,-20.8367919921875,-25.161453247070312,339,UNSTABLE_TRANSFORM,28.4139347076416,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
64,-6.8709716796875,-3.99200439453125,309,SUPPORTED,3.502737045288086,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
65,-6.89068603515625,-3.778453826904297,268,SUPPORTED,4.02515983581543,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
66,-7.28863525390625,-3.697845458984375,273,SUPPORTED,4.210144519805908,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
67,-6.93994140625,-3.875591278076172,255,SUPPORTED,4.831067085266113,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
68,-7.42572021484375,-3.15869140625,250,SUPPORTED,4.258061408996582,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
69,-7.569122314453125,-3.1607933044433594,290,SUPPORTED,3.848294258117676,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
70,-7.4241943359375,-2.6561758518218994,290,SUPPORTED,3.762671947479248,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
71,-7.505615234375,-1.890167236328125,273,SUPPORTED,3.9528074264526367,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
