source_frame_index,background_dx_px,background_dy_px,background_feature_count,camera_motion_status,camera_motion_residual_px,camera_motion_method,affine_a,affine_b,affine_tx,affine_c,affine_d,affine_ty,affine_scale,affine_inlier_fraction
2,0.0,0.0,0,INSUFFICIENT_EVIDENCE,,partial_affine_ransac_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
3,-0.40095911264650375,-0.2976441302753674,262,SUPPORTED,0.5473950302661064,partial_affine_ransac_sparse_flow,1.0001938305340878,-0.001645312955282726,-0.40095911264650375,0.001645312955282726,1.0001938305340878,-0.2976441302753674,1.0001951837982288,0.8161993769470405
4,-0.5821755670111828,-0.13173434701522577,284,SUPPORTED,0.5599436074672544,partial_affine_ransac_sparse_flow,1.0010754794712269,-0.0013970169757102815,-0.5821755670111828,0.0013970169757102815,1.0010754794712269,-0.13173434701522577,1.0010764542506116,0.8137535816618912
5,-0.3369684473802369,-0.11175655554044857,240,SUPPORTED,0.6002285795120021,partial_affine_ransac_sparse_flow,1.0012463432355927,-0.0017254206315586045,-0.3369684473802369,0.0017254206315586045,1.0012463432355927,-0.11175655554044857,1.0012478299197467,0.7817589576547231
6,-0.1072108987910332,0.10211464270712944,282,SUPPORTED,0.689352408335062,partial_affine_ransac_sparse_flow,1.0020194301003076,-0.0018982151766488336,-0.1072108987910332,0.0018982151766488336,1.0020194301003076,0.10211464270712944,1.002021228078229,0.8057142857142857
7,-0.17099592776516578,0.11991547069386324,263,SUPPORTED,0.8380652302970908,partial_affine_ransac_sparse_flow,1.002686107741794,-0.0019365841645439118,-0.17099592776516578,0.0019365841645439118,1.002686107741794,0.11991547069386324,1.0026879778957234,0.7781065088757396
8,1.2406799770845376,3.1554017415044524,230,SUPPORTED,0.3797835537881119,partial_affine_ransac_sparse_flow,1.0008729561922414,-0.0004911889176540654,1.2406799770845376,0.0004911889176540654,1.0008729561922414,3.1554017415044524,1.0008730767202947,0.6590257879656161
9,-0.8316944547356491,-0.5874660910383376,184,SUPPORTED,0.8566718703019569,partial_affine_ransac_sparse_flow,1.004857616184852,-0.0020871276661404157,-0.8316944547356491,0.0020871276661404157,1.004857616184852,-0.5874660910383376,1.004859783704472,0.5935483870967742
10,2.4480474364502425,5.030551923743524,225,SUPPORTED,0.4843107242600286,partial_affine_ransac_sparse_flow,1.0007220367732854,8.784826616468646e-05,2.4480474364502425,-8.784826616468646e-05,1.0007220367732854,5.030551923743524,1.0007220406291601,0.646551724137931
11,3.4370472124274145,5.912682391182942,161,SUPPORTED,0.8795275653557022,partial_affine_ransac_sparse_flow,1.0002985887280482,0.00027949137088340925,3.4370472124274145,-0.00027949137088340925,1.0002985887280482,5.912682391182942,1.000298627774102,0.5590277777777778
