source_frame_index,analysis_frame_index,timestamp_ms,frame_status,frame_rejection_reason,valid_segment_id,raw_pelvis_mid_x,raw_pelvis_mid_y,path_input_center_x,path_input_center_y,center_status,roi_center_x,roi_center_y,roi_x,roi_y,roi_width,roi_height,translation_camera_motion_status,translation_camera_motion_method,translation_background_dx_px,translation_background_dy_px,translation_background_feature_count,translation_camera_motion_residual_px,translation_affine_scale,translation_affine_inlier_fraction,affine_camera_motion_status,affine_camera_motion_method,affine_background_dx_px,affine_background_dy_px,affine_background_feature_count,affine_camera_motion_residual_px,affine_affine_scale,affine_affine_inlier_fraction,translation_raw_dx,translation_raw_dy,translation_compensated_dx,translation_compensated_dy,translation_compensated_x,translation_compensated_y,translation_projected_heading_deg,translation_normalized_projected_speed_per_s,translation_path_segment_id,translation_path_status,translation_path_rejection_reason,affine_raw_dx,affine_raw_dy,affine_compensated_dx,affine_compensated_dy,affine_compensated_x,affine_compensated_y,affine_projected_heading_deg,affine_normalized_projected_speed_per_s,affine_path_segment_id,affine_path_status,affine_path_rejection_reason,chosen_raw_dx,chosen_raw_dy,chosen_compensated_dx,chosen_compensated_dy,chosen_compensated_x,chosen_compensated_y,chosen_projected_heading_deg,chosen_normalized_projected_speed_per_s,chosen_path_segment_id,chosen_path_status,chosen_path_rejection_reason,chosen_path_validation_status,chosen_path_validation_reason
0,0,0.0,TARGET_NOT_FOUND,No observed landmarks returned by pose backend.,,,,,,,407.5,181.5,387.5,140.0,40.0,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,33.333333333333336,TARGET_NOT_FOUND,No observed landmarks returned by pose backend.,,,,,,,405.40000000000003,181.1,385.1,139.6,40.6,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,66.66666666666667,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,,402.76702404022217,174.76373291015625,,,,403.3,180.7,382.7,139.2,41.2,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,100.0,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,,402.504638671875,173.9447364807129,,,,401.2,180.3,380.3,138.8,41.8,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,133.33333333333334,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,,398.0470523834229,172.3563117980957,,,,399.09999999999997,179.9,377.9,138.4,42.4,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,166.66666666666666,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,,395.78746700286865,171.3658847808838,,,,397.0,179.5,375.5,138.0,43.0,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,200.0,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,394.2064056396485,171.3979721069336,,,,394.25,179.5,371.5,137.0,45.5,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,233.33333333333337,VALID_TARGET,,1.0,390.7098236083984,173.07224464416504,388.85194969177246,171.93346786499023,SUPPORTED,391.5,179.5,367.5,136.0,48.0,87.0,INSUFFICIENT_EVIDENCE,translation_median_sparse_flow,0.0,0.0,0.0,,,,INSUFFICIENT_EVIDENCE,partial_affine_ransac_sparse_flow,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,path_segment_001,SUPPORTED,,,,,,0.0,0.0,,,path_segment_001,SUPPORTED,,,,,,0.0,0.0,,,path_segment_001,SUPPORTED,,SUPPORTED,
8,8,266.6666666666667,VALID_TARGET,,1.0,388.85194969177246,171.74274444580078,388.880539894104,171.78930377960205,SUPPORTED,390.625,178.875,365.25,135.25,50.75,87.25,SUPPORTED,translation_median_sparse_flow,-0.971954345703125,-0.08668994903564453,350.0,0.1614706665277481,,,SUPPORTED,partial_affine_ransac_sparse_flow,-0.617006324134866,0.3214377168965174,347.0,0.29980685858652767,0.999459989110945,0.9914285714285714,0.02859020233154297,-0.1441640853881836,1.000544548034668,-0.05747413635253906,1.000544548034668,-0.05747413635253906,3.2876203523271683,1.4631360164309488,path_segment_001,SUPPORTED,,0.02859020233154297,-0.1441640853881836,0.6711515929621896,0.044963688934672064,0.6711515929621896,0.044963688934672064,-3.832793778631397,0.9820328196052567,path_segment_001,SUPPORTED,,0.02859020233154297,-0.1441640853881836,1.000544548034668,-0.05747413635253906,1.000544548034668,-0.05747413635253906,3.2876203523271683,1.4631360164309488,path_segment_001,SUPPORTED,,SUPPORTED,
9,9,300.0,VALID_TARGET,,1.0,386.76422786712646,171.83586311340332,388.0486717224121,171.64513969421387,SUPPORTED,389.75,178.25,363.0,134.5,53.5,87.5,SUPPORTED,translation_median_sparse_flow,-0.7989044189453125,-0.16013145446777344,350.0,0.19296324253082275,,,SUPPORTED,partial_affine_ransac_sparse_flow,-0.6161367283153009,0.436547317381948,349.0,0.3564151101768706,0.9996990185091528,0.9971428571428571,-0.8318681716918945,-0.1441640853881836,-0.03296375274658203,0.015967369079589844,0.9675807952880859,-0.04150676727294922,-154.15483624842912,0.05347353985074433,path_segment_001,SUPPORTED,,-0.8318681716918945,-0.1441640853881836,-0.3489779643344946,0.03870313961562033,0.32217362862769505,0.0836668285502924,-173.67151621369806,0.5126081470730183,path_segment_001,SUPPORTED,,-0.8318681716918945,-0.1441640853881836,-0.03296375274658203,0.015967369079589844,0.9675807952880859,-0.04150676727294922,-154.15483624842912,0.05347353985074433,path_segment_001,SUPPORTED,,SUPPORTED,
