source_frame_index,background_dx_px,background_dy_px,background_feature_count,camera_motion_status,camera_motion_residual_px,camera_motion_method,affine_a,affine_b,affine_tx,affine_c,affine_d,affine_ty,affine_scale,affine_inlier_fraction
0,0.0,0.0,0,INSUFFICIENT_EVIDENCE,,partial_affine_ransac_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
1,-7.353876469705902e-05,1.9884695417329368e-05,84,SUPPORTED,0.00018642970645177753,partial_affine_ransac_sparse_flow,0.9999998609710355,1.5750311907491388e-07,-7.353876469705902e-05,-1.5750311907491388e-07,0.9999998609710355,1.9884695417329368e-05,0.9999998609710479,1.0
2,0.00018118432015365416,-0.00018816611153457989,84,SUPPORTED,0.00019652118154099985,partial_affine_ransac_sparse_flow,0.9999998726272159,-9.779155015933339e-07,0.00018118432015365416,9.779155015933339e-07,0.9999998726272159,-0.00018816611153457989,0.9999998726276941,1.0
3,-0.000146852041365441,5.264857075931705e-05,84,SUPPORTED,0.00019333595306030108,partial_affine_ransac_sparse_flow,1.0000001055758065,5.874012114235635e-07,-0.000146852041365441,-5.874012114235635e-07,1.0000001055758065,5.264857075931705e-05,1.000000105575979,1.0
4,-0.00015265254051379773,-0.00013733233393894376,84,SUPPORTED,0.00017618112961133197,partial_affine_ransac_sparse_flow,1.0000008776831004,-4.5302079872187975e-07,-0.00015265254051379773,4.5302079872187975e-07,1.0000008776831004,-0.00013733233393894376,1.000000877683203,1.0
5,-19.618913286277966,-2.5436294360505296,37,SUPPORTED,1.2330942052607852,partial_affine_ransac_sparse_flow,1.0626808251395936,0.01885587833730532,-19.618913286277966,-0.01885587833730532,1.0626808251395936,-2.5436294360505296,1.0628480983975266,0.45121951219512196
6,-3.129655509712829e-06,-0.00035858533580395026,85,SUPPORTED,0.0007605817742432005,partial_affine_ransac_sparse_flow,1.000001545951174,-2.3931173434345905e-06,-3.129655509712829e-06,2.3931173434345905e-06,1.000001545951174,-0.00035858533580395026,1.0000015459540375,1.0
7,9.838280737076733e-06,-4.971238013917887e-05,85,SUPPORTED,0.0002638977989941083,partial_affine_ransac_sparse_flow,1.0000005835560861,-2.8814038453575633e-07,9.838280737076733e-06,2.8814038453575633e-07,1.0000005835560861,-4.971238013917887e-05,1.0000005835561276,1.0
8,-4.4648268185952414e-07,-0.00023924464267200053,85,SUPPORTED,0.0004083432677399929,partial_affine_ransac_sparse_flow,1.0000010846337262,-9.366231256960398e-07,-4.4648268185952414e-07,9.366231256960398e-07,1.0000010846337262,-0.00023924464267200053,1.0000010846341647,1.0
9,0.00037213940624123066,-0.0006772625752798241,85,SUPPORTED,0.0006256300593083821,partial_affine_ransac_sparse_flow,1.0000008998414742,-2.1852453675898434e-06,0.00037213940624123066,2.1852453675898434e-06,1.0000008998414742,-0.0006772625752798241,1.0000008998438619,1.0
10,-3.065539864586314e-05,0.0004690857951627203,85,SUPPORTED,0.0002837652877136353,partial_affine_ransac_sparse_flow,0.9999997079174548,8.827246425649412e-07,-3.065539864586314e-05,-8.827246425649412e-07,0.9999997079174548,0.0004690857951627203,0.9999997079178444,1.0
11,-0.00010372530182837132,0.0003197238272981776,85,SUPPORTED,0.00022174579856619673,partial_affine_ransac_sparse_flow,1.0000000470160424,5.941392108127084e-07,-0.00010372530182837132,-5.941392108127084e-07,1.0000000470160424,0.0003197238272981776,1.000000047016219,1.0
