source_frame_index,background_dx_px,background_dy_px,background_feature_count,camera_motion_status,camera_motion_residual_px,camera_motion_method,affine_a,affine_b,affine_tx,affine_c,affine_d,affine_ty,affine_scale,affine_inlier_fraction
0,0.0,0.0,0,INSUFFICIENT_EVIDENCE,,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
1,-3.0517578125e-05,-3.0517578125e-05,84,SUPPORTED,0.0001724858593661338,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
2,0.0,-3.814697265625e-06,84,SUPPORTED,0.00013990112347528338,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
3,0.0,0.0,84,SUPPORTED,0.00012685958063229918,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
4,0.0,0.0,84,SUPPORTED,6.0311314882710576e-05,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
5,-1.6378936767578125,0.03786468505859375,82,UNSTABLE_TRANSFORM,8.645842552185059,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
6,0.0,3.0517578125e-05,85,SUPPORTED,0.0001983642578125,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
7,0.0,3.0517578125e-05,85,SUPPORTED,0.00018951023230329156,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
8,3.0517578125e-05,3.814697265625e-05,85,SUPPORTED,0.0002293899015057832,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
9,1.52587890625e-05,0.0,85,SUPPORTED,0.00033647273085080087,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
10,-3.814697265625e-05,0.0,85,SUPPORTED,0.00014005706179887056,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
11,0.0,0.0,85,SUPPORTED,0.00013738207053393126,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
12,0.0,0.0,85,SUPPORTED,0.00014680391177535057,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
13,-1.1444091796875e-05,0.0,85,SUPPORTED,9.226521797245368e-05,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
15,-2.128326416015625,-0.7089309692382812,85,UNSTABLE_TRANSFORM,11.57258415222168,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
16,-2.86102294921875e-05,0.0,80,SUPPORTED,0.000162457610713318,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
17,0.0,-3.814697265625e-05,80,SUPPORTED,0.00018088618526235223,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
18,-6.103515625e-05,-8.58306884765625e-06,81,SUPPORTED,0.00014420678780879825,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
19,0.0,-7.62939453125e-06,80,SUPPORTED,0.00015578948659822345,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
20,-0.021881103515625,-4.734714508056641,80,SUPPORTED,5.98673152923584,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
21,-0.0069427490234375,-1.0598793029785156,86,SUPPORTED,1.561682939529419,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
22,3.0517578125e-05,0.0,83,SUPPORTED,0.00042209328967146575,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
23,-3.4332275390625e-05,-2.288818359375e-05,83,SUPPORTED,0.00023282157781068236,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
24,0.0,7.62939453125e-06,83,SUPPORTED,0.00025177001953125,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
25,-1.811981201171875e-05,1.9073486328125e-06,84,SUPPORTED,0.0003233012103009969,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
26,0.0,2.86102294921875e-05,84,SUPPORTED,0.0001539289514767006,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
27,0.0,0.0,84,SUPPORTED,3.379217741894536e-05,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
28,-0.066436767578125,-2.1620635986328125,82,SUPPORTED,7.375191688537598,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
29,9.5367431640625e-06,3.0517578125e-05,85,SUPPORTED,0.0001660270063439384,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
30,1.52587890625e-05,1.52587890625e-05,85,SUPPORTED,0.00020357764151412994,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
31,0.0,-1.52587890625e-05,85,SUPPORTED,0.00017993891378864646,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
32,0.0,0.0,84,SUPPORTED,0.00016583394608460367,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
