frame_index,source_frame_index,analysis_frame_index,timestamp_ms,observed_landmark_count,observed_fraction,median_confidence,core_observed_count,lower_limb_observed_count,core_median_confidence,lower_limb_median_confidence,human_target_unavailable,human_target_unavailable_reason,human_target_unavailable_note,human_target_unavailable_start_frame,human_target_unavailable_end_frame,human_target_accepted,human_target_accepted_note,human_target_accepted_start_frame,human_target_accepted_end_frame,pelvis_x,pelvis_y,shoulder_mid_x,shoulder_mid_y,body_scale_px,backend_pose_count,selected_pose_index,multiple_pose_candidates,competing_pose_count,competing_pose_max_iou,competing_pose_min_center_distance_fraction,pose_bbox_x,pose_bbox_y,pose_bbox_width,pose_bbox_height,pose_centroid_x,pose_centroid_y,roi_center_x,roi_center_y,roi_pose_centroid_distance_px,roi_pose_centroid_distance_fraction,pose_roi_overlap_fraction,pose_scale_px,pose_scale_relative_change,pose_centroid_consistent_with_roi,pelvis_jump_px,shoulder_jump_px,body_scale_reference_px,body_scale_relative_change,identity_jump_flag,competing_pose_proximity_flag,target_overlap_ambiguous_flag,identity_uncertain_flag,frame_status,frame_rejection_reason,valid_target_frame,valid_segment_id,automatic_frame_status,automatic_frame_rejection_reason,manual_review_decision,manual_override_applied
0,0,0,0.0,17,1.0,0.9715210199356079,4,6,0.9955374300479889,0.9952489137649536,False,,,,,False,,,,254.94535636901855,146.95774459838867,255.54862785339355,118.46513938903809,28.49899100143323,1,0,False,0,0.0,,241.50308418273926,106.87459754943848,25.183076858520508,81.2261791229248,254.0946226119995,147.48768711090088,251.0,148.5,3.2559893267845474,0.020974541334361937,1.0,85.0404582241395,,True,,,38.33246840525645,,False,False,False,False,VALID_TARGET,,True,1,VALID_TARGET,,NOT_REVIEWED,False
1,1,1,33.333333333333336,17,1.0,0.9770177602767944,4,6,0.9954339861869812,0.9940764009952545,False,,,,,False,,,,255.30319595336914,146.75397491455078,255.6456699371338,118.48585510253906,28.270194306651042,1,0,False,0,0.0,,241.3539752960205,106.67617416381836,25.602537155151367,81.19570541381836,254.1552438735962,147.27402687072754,250.5689655172414,148.5344827586207,3.8013341729691943,0.02440842603001604,1.0,85.13655199988122,0.002506850712711842,True,0.4117903012208933,0.09922855840180891,38.33246840525645,0.0059687441039098866,False,False,False,False,VALID_TARGET,,True,1,VALID_TARGET,,NOT_REVIEWED,False
2,2,2,66.66666666666667,17,1.0,0.9751765131950378,4,6,0.9948791563510895,0.99229696393013,False,,,,,False,,,,255.35727310180664,146.97473907470703,255.6345977783203,118.07335090637207,28.90271867892319,1,0,False,0,0.0,,241.42346954345703,106.15569877624512,25.05474090576172,82.29682350158691,253.9508399963379,147.30411052703857,250.13793103448273,148.5689655172414,4.0172295052232645,0.02571154651563995,1.0,86.02620066181116,0.023208749630324977,True,0.2272908981737408,0.41265276511392385,38.33246840525645,0.016501008116279064,False,False,False,False,VALID_TARGET,,True,1,VALID_TARGET,,NOT_REVIEWED,False
3,3,3,100.0,17,1.0,0.9631274342536926,4,6,0.9919275343418121,0.9934288859367371,False,,,,,False,,,,254.79633140563965,147.02588653564453,255.689546585083,118.05761909484863,28.982034985112136,1,0,False,0,0.0,,242.60162925720215,107.28330612182617,24.0340518951416,79.72881698608398,254.61865520477295,147.14771461486816,249.70689655172413,148.6034482758621,5.122941885045228,0.03268303734805188,1.0,83.27256396015937,0.07183562176429487,True,0.5632687185163536,0.057156462963106724,38.33246840525645,0.0020691677183530947,False,False,False,False,VALID_TARGET,,True,1,VALID_TARGET,,NOT_REVIEWED,False
4,4,4,133.33333333333334,17,1.0,0.9630317091941833,4,6,0.9919657111167908,0.9934604465961456,False,,,,,False,,,,254.80179405212402,147.02273178100586,255.68679428100586,118.05609512329102,28.980152944130406,1,0,False,0,0.0,,242.6041145324707,107.28337860107422,24.00586700439453,79.72541809082031,254.60704803466797,147.14608764648438,249.2758620689655,148.63793103448273,5.535985955113817,0.035204888140733484,1.0,83.26117907157439,0.0002970037949192852,True,0.006308167994233845,0.0031460557912271784,38.33246840525645,4.909782907359262e-05,False,False,False,False,VALID_TARGET,,True,1,VALID_TARGET,,NOT_REVIEWED,False
5,5,5,166.66666666666666,17,1.0,0.9571165442466736,4,6,0.9915885031223297,0.9908859729766846,False,,,,,False,,,,248.9595947265625,148.43621826171875,249.50458335876465,119.92059135437012,28.5208343238471,1,0,False,0,0.0,,229.6239356994629,108.6171646118164,36.15977096557617,89.4788818359375,247.70382118225098,153.35660552978516,248.8448275862069,148.67241379310343,4.82115627623351,0.030561015284586244,1.0,96.50906346500618,0.34560478217507995,True,6.010760100914828,6.457250040287018,38.33246840525645,0.011982495242083599,False,False,False,False,VALID_TARGET,,True,1,VALID_TARGET,,NOT_REVIEWED,False
6,6,6,200.0,17,1.0,0.9567243456840515,4,6,0.9915941059589386,0.9907609820365906,False,,,,,False,,,,248.90371799468994,148.45249938964844,249.4663438796997,119.89017295837402,28.567867247191554,1,0,False,0,0.0,,229.4739227294922,108.64882850646973,36.31634521484375,89.59011650085449,247.63209533691406,153.44388675689697,248.41379310344828,148.70689655172413,4.8010548426474005,0.030336493163284576,1.0,96.67091550409764,0.004222322376433823,True,0.05820038050924286,0.048862424971886774,38.33246840525645,0.0012269735109989306,False,False,False,False,VALID_TARGET,,True,1,VALID_TARGET,,NOT_REVIEWED,False
7,7,7,233.33333333333334,17,1.0,0.9741207957267761,4,6,0.9934175610542297,0.9902892708778381,False,,,,,False,,,,248.48352146148682,147.8482208251953,248.7877902984619,119.03105735778809,28.81876974876658,1,0,False,0,0.0,,232.89586448669434,108.29287338256836,33.105302810668945,90.0682487487793,249.4485158920288,153.326997756958,247.98275862068965,148.74137931034483,4.814181230116156,0.030322627641092084,1.0,95.95962956815782,0.018555703964064987,True,0.7360147484755006,1.0947669056839315,38.33246840525645,0.006545430336560874,False,False,False,False,VALID_TARGET,,True,1,VALID_TARGET,,NOT_REVIEWED,False
8,8,8,266.6666666666667,17,1.0,0.9551116228103638,4,6,0.9895525872707367,0.9899970293045044,False,,,,,False,,,,247.88836765289307,148.44259643554688,248.8061752319336,119.52580833435059,28.93134986207231,1,0,False,0,0.0,,230.60670852661133,108.15172958374023,34.686607360839844,90.4600944519043,247.95001220703125,153.38177680969238,247.55172413793105,148.77586206896552,4.623103285114074,0.029026670281505223,1.0,96.8823483326685,0.02407146742431401,True,0.8411244985520505,0.4950924505466686,38.33246840525645,0.002936938788170783,False,False,False,False,VALID_TARGET,,True,1,VALID_TARGET,,NOT_REVIEWED,False
9,9,9,300.0,17,1.0,0.9830036163330078,4,6,0.9971631169319153,0.9916391372680664,False,,,,,False,,,,247.42484378814697,149.2733039855957,248.22309589385986,119.50632667541504,29.777678630294297,1,0,False,0,0.0,,224.26232051849365,107.83271408081055,41.895318031311035,91.68140029907227,245.20997953414917,153.67341423034668,247.1206896551724,148.81034482758622,5.224964802048491,0.032701655905611686,1.0,100.80028191301561,0.10220926914818386,True,0.9512777758874015,0.5834047047490967,38.33246840525645,0.02207863994758897,False,False,False,False,VALID_TARGET,,True,1,VALID_TARGET,,NOT_REVIEWED,False
