frame_index,source_frame_index,analysis_frame_index,timestamp_ms,frame_status,frame_rejection_reason,human_target_unavailable,human_target_unavailable_reason,human_target_unavailable_note,human_target_unavailable_start_frame,human_target_unavailable_end_frame,human_target_accepted,human_target_accepted_note,human_target_accepted_start_frame,human_target_accepted_end_frame,manual_review_decision,manual_override_applied,automatic_frame_status,automatic_frame_rejection_reason,valid_target_frame,valid_segment_id,backend_pose_count,selected_pose_index,multiple_pose_candidates,competing_pose_count,competing_pose_max_iou,competing_pose_min_center_distance_fraction,competing_pose_proximity_flag,target_overlap_ambiguous_flag,identity_jump_flag,identity_uncertain_flag,pelvis_x,pelvis_y,shoulder_mid_x,shoulder_mid_y,pelvis_jump_px,shoulder_jump_px,body_scale_px,body_scale_relative_change,pose_bbox_x,pose_bbox_y,pose_bbox_width,pose_bbox_height,pose_centroid_x,pose_centroid_y,pose_scale_px,pose_scale_relative_change,roi_center_x,roi_center_y,roi_pose_centroid_distance_px,roi_pose_centroid_distance_fraction,pose_roi_overlap_fraction,pose_centroid_consistent_with_roi
0,0,0,0.0,VALID_TARGET,,False,,,,,False,,,,NOT_REVIEWED,False,VALID_TARGET,,True,1,1,0,False,0,0.0,,False,False,False,False,254.94535636901855,146.95774459838867,255.54862785339355,118.46513938903809,,,28.49899100143323,,241.50308418273926,106.87459754943848,25.183076858520508,81.2261791229248,254.0946226119995,147.48768711090088,85.0404582241395,,251.0,148.5,3.2559893267845474,0.020974541334361937,1.0,True
1,1,1,33.333333333333336,VALID_TARGET,,False,,,,,False,,,,NOT_REVIEWED,False,VALID_TARGET,,True,1,1,0,False,0,0.0,,False,False,False,False,255.30319595336914,146.75397491455078,255.6456699371338,118.48585510253906,0.4117903012208933,0.09922855840180891,28.270194306651042,0.0059687441039098866,241.3539752960205,106.67617416381836,25.602537155151367,81.19570541381836,254.1552438735962,147.27402687072754,85.13655199988122,0.002506850712711842,250.5689655172414,148.5344827586207,3.8013341729691943,0.02440842603001604,1.0,True
2,2,2,66.66666666666667,VALID_TARGET,,False,,,,,False,,,,NOT_REVIEWED,False,VALID_TARGET,,True,1,1,0,False,0,0.0,,False,False,False,False,255.35727310180664,146.97473907470703,255.6345977783203,118.07335090637207,0.2272908981737408,0.41265276511392385,28.90271867892319,0.016501008116279064,241.42346954345703,106.15569877624512,25.05474090576172,82.29682350158691,253.9508399963379,147.30411052703857,86.02620066181116,0.023208749630324977,250.13793103448273,148.5689655172414,4.0172295052232645,0.02571154651563995,1.0,True
3,3,3,100.0,VALID_TARGET,,False,,,,,False,,,,NOT_REVIEWED,False,VALID_TARGET,,True,1,1,0,False,0,0.0,,False,False,False,False,254.79633140563965,147.02588653564453,255.689546585083,118.05761909484863,0.5632687185163536,0.057156462963106724,28.982034985112136,0.0020691677183530947,242.60162925720215,107.28330612182617,24.0340518951416,79.72881698608398,254.61865520477295,147.14771461486816,83.27256396015937,0.07183562176429487,249.70689655172413,148.6034482758621,5.122941885045228,0.03268303734805188,1.0,True
4,4,4,133.33333333333334,VALID_TARGET,,False,,,,,False,,,,NOT_REVIEWED,False,VALID_TARGET,,True,1,1,0,False,0,0.0,,False,False,False,False,254.80179405212402,147.02273178100586,255.68679428100586,118.05609512329102,0.006308167994233845,0.0031460557912271784,28.980152944130406,4.909782907359262e-05,242.6041145324707,107.28337860107422,24.00586700439453,79.72541809082031,254.60704803466797,147.14608764648438,83.26117907157439,0.0002970037949192852,249.2758620689655,148.63793103448273,5.535985955113817,0.035204888140733484,1.0,True
5,5,5,166.66666666666666,VALID_TARGET,,False,,,,,False,,,,NOT_REVIEWED,False,VALID_TARGET,,True,1,1,0,False,0,0.0,,False,False,False,False,248.9595947265625,148.43621826171875,249.50458335876465,119.92059135437012,6.010760100914828,6.457250040287018,28.5208343238471,0.011982495242083599,229.6239356994629,108.6171646118164,36.15977096557617,89.4788818359375,247.70382118225098,153.35660552978516,96.50906346500618,0.34560478217507995,248.8448275862069,148.67241379310343,4.82115627623351,0.030561015284586244,1.0,True
6,6,6,200.0,VALID_TARGET,,False,,,,,False,,,,NOT_REVIEWED,False,VALID_TARGET,,True,1,1,0,False,0,0.0,,False,False,False,False,248.90371799468994,148.45249938964844,249.4663438796997,119.89017295837402,0.05820038050924286,0.048862424971886774,28.567867247191554,0.0012269735109989306,229.4739227294922,108.64882850646973,36.31634521484375,89.59011650085449,247.63209533691406,153.44388675689697,96.67091550409764,0.004222322376433823,248.41379310344828,148.70689655172413,4.8010548426474005,0.030336493163284576,1.0,True
7,7,7,233.33333333333334,VALID_TARGET,,False,,,,,False,,,,NOT_REVIEWED,False,VALID_TARGET,,True,1,1,0,False,0,0.0,,False,False,False,False,248.48352146148682,147.8482208251953,248.7877902984619,119.03105735778809,0.7360147484755006,1.0947669056839315,28.81876974876658,0.006545430336560874,232.89586448669434,108.29287338256836,33.105302810668945,90.0682487487793,249.4485158920288,153.326997756958,95.95962956815782,0.018555703964064987,247.98275862068965,148.74137931034483,4.814181230116156,0.030322627641092084,1.0,True
8,8,8,266.6666666666667,VALID_TARGET,,False,,,,,False,,,,NOT_REVIEWED,False,VALID_TARGET,,True,1,1,0,False,0,0.0,,False,False,False,False,247.88836765289307,148.44259643554688,248.8061752319336,119.52580833435059,0.8411244985520505,0.4950924505466686,28.93134986207231,0.002936938788170783,230.60670852661133,108.15172958374023,34.686607360839844,90.4600944519043,247.95001220703125,153.38177680969238,96.8823483326685,0.02407146742431401,247.55172413793105,148.77586206896552,4.623103285114074,0.029026670281505223,1.0,True
9,9,9,300.0,VALID_TARGET,,False,,,,,False,,,,NOT_REVIEWED,False,VALID_TARGET,,True,1,1,0,False,0,0.0,,False,False,False,False,247.42484378814697,149.2733039855957,248.22309589385986,119.50632667541504,0.9512777758874015,0.5834047047490967,29.777678630294297,0.02207863994758897,224.26232051849365,107.83271408081055,41.895318031311035,91.68140029907227,245.20997953414917,153.67341423034668,100.80028191301561,0.10220926914818386,247.1206896551724,148.81034482758622,5.224964802048491,0.032701655905611686,1.0,True
