source_frame_index,background_dx_px,background_dy_px,background_feature_count,camera_motion_status,camera_motion_residual_px,camera_motion_method,affine_a,affine_b,affine_tx,affine_c,affine_d,affine_ty,affine_scale,affine_inlier_fraction
1,0.0,0.0,0,INSUFFICIENT_EVIDENCE,,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
2,0.001251220703125,0.007855415344238281,76,SUPPORTED,0.1065613403916359,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
3,0.0009670257568359375,0.0010557174682617188,78,SUPPORTED,1.357097864151001,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
4,0.00830078125,0.022596359252929688,85,SUPPORTED,4.1897454261779785,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
5,0.00777435302734375,0.022916793823242188,93,SUPPORTED,1.3709042072296143,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
6,0.010009765625,0.3176727294921875,94,SUPPORTED,2.251249313354492,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
7,0.0031414031982421875,0.5728654861450195,90,SUPPORTED,1.6847093105316162,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
8,0.86737060546875,0.5210094451904297,103,SUPPORTED,2.004171848297119,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
9,2.455066680908203,1.844254493713379,110,SUPPORTED,3.4166972637176514,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
10,1.1429195404052734,0.19580078125,107,SUPPORTED,1.2052288055419922,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
11,0.4222602844238281,0.213226318359375,109,SUPPORTED,1.2807695865631104,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
12,0.82525634765625,0.9628114700317383,107,SUPPORTED,1.2712888717651367,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
13,1.9131393432617188,1.1750679016113281,107,SUPPORTED,2.2510271072387695,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
14,0.727294921875,0.03473663330078125,110,SUPPORTED,0.9341475367546082,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
15,0.14722061157226562,0.058345794677734375,106,SUPPORTED,0.996126651763916,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
16,0.043239593505859375,0.08200263977050781,108,SUPPORTED,1.1418859958648682,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
17,0.0013427734375,0.01493072509765625,113,SUPPORTED,0.9260400533676147,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
18,0.0001373291015625,0.0016937255859375,109,SUPPORTED,2.3485443592071533,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
19,0.0236663818359375,0.24527740478515625,106,SUPPORTED,1.530311107635498,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
20,0.06595611572265625,0.1893310546875,105,SUPPORTED,1.0146161317825317,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
21,0.11114311218261719,0.0018482208251953125,98,SUPPORTED,0.6832518577575684,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
22,0.705810546875,0.0006542205810546875,95,SUPPORTED,1.469815731048584,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
23,6.131504058837891,-0.0015592575073242188,98,SUPPORTED,6.130640029907227,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
24,2.95294189453125,-0.0001811981201171875,94,SUPPORTED,2.95339035987854,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
25,3.128082275390625,0.0003299713134765625,94,SUPPORTED,3.1279220581054688,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
26,1.78912353515625,0.0001220703125,95,SUPPORTED,2.3505311012268066,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
27,1.808837890625,0.001384735107421875,89,SUPPORTED,2.0616836547851562,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
28,3.0875701904296875,0.013584136962890625,88,SUPPORTED,3.089689254760742,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
29,2.34686279296875,0.005984306335449219,76,SUPPORTED,2.3518893718719482,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
30,2.62744140625,0.0447998046875,87,SUPPORTED,2.6317837238311768,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
31,0.495452880859375,0.0002155303955078125,76,SUPPORTED,2.224616527557373,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
