frame_index,source_frame_index,analysis_frame_index,timestamp_ms,observed_landmark_count,observed_fraction,median_confidence,core_observed_count,lower_limb_observed_count,core_median_confidence,lower_limb_median_confidence,human_target_unavailable,human_target_unavailable_reason,human_target_unavailable_note,human_target_unavailable_start_frame,human_target_unavailable_end_frame,human_target_accepted,human_target_accepted_note,human_target_accepted_start_frame,human_target_accepted_end_frame,pelvis_x,pelvis_y,shoulder_mid_x,shoulder_mid_y,body_scale_px,backend_pose_count,selected_pose_index,multiple_pose_candidates,competing_pose_count,competing_pose_max_iou,competing_pose_min_center_distance_fraction,pose_bbox_x,pose_bbox_y,pose_bbox_width,pose_bbox_height,pose_centroid_x,pose_centroid_y,roi_center_x,roi_center_y,roi_pose_centroid_distance_px,roi_pose_centroid_distance_fraction,pose_roi_overlap_fraction,pose_scale_px,pose_scale_relative_change,pose_centroid_consistent_with_roi,pelvis_jump_px,shoulder_jump_px,body_scale_reference_px,body_scale_relative_change,identity_jump_flag,competing_pose_proximity_flag,target_overlap_ambiguous_flag,identity_uncertain_flag,frame_status,frame_rejection_reason,valid_target_frame,valid_segment_id,automatic_frame_status,automatic_frame_rejection_reason,manual_review_decision,manual_override_applied
0,0,0,0.0,0,0.0,,0,0,,,False,,,,,False,,,,,,,,,1,0,False,0,,,,,,,,,,,,,,,,True,,,35.91026187286699,,False,False,False,False,TARGET_NOT_FOUND,No observed landmarks returned by pose backend.,False,,TARGET_NOT_FOUND,No observed landmarks returned by pose backend.,NOT_REVIEWED,False
1,1,1,40.0,17,1.0,0.9492822885513306,4,6,0.9866950213909149,0.9573445320129395,False,,,,,False,,,,439.3783130645752,80.61902618408203,439.40345573425293,51.55279350280762,29.06624355564068,1,0,False,0,0.0,,426.40074729919434,40.97718048095703,32.95162010192871,84.56238555908203,442.8765573501587,83.25837326049805,446.5,85.5,4.260777754816504,0.031059637304325833,1.0,90.75575088546553,,True,,,35.91026187286699,,False,False,False,False,VALID_TARGET,,True,1,VALID_TARGET,,NOT_REVIEWED,False
2,2,2,80.0,17,1.0,0.9367358088493347,4,6,0.980900377035141,0.9465092718601227,False,,,,,False,,,,437.0272397994995,83.5197525024414,437.1575918197632,53.871511459350586,29.64852759579136,1,0,False,0,0.0,,423.1480255126953,42.43762683868408,28.620006561279297,84.20180797576904,437.45802879333496,84.5385308265686,444.5,92.0,10.259770012118521,0.07182923711864746,1.0,88.9328355668251,0.05076307505342313,True,3.7338664507151793,3.228057881203806,35.91026187286699,0.01621497615952067,False,False,False,False,VALID_TARGET,,True,1,VALID_TARGET,,NOT_REVIEWED,False
3,3,3,120.0,17,1.0,0.9117200970649719,4,6,0.9828431904315948,0.983267605304718,False,,,,,False,,,,436.74905014038086,83.98945426940918,435.0541534423828,54.776283264160156,29.262297158610206,1,0,False,0,0.0,,426.2003746032715,44.17122459411621,21.847793579101562,83.54746437072754,437.12427139282227,85.94495677947998,442.5,98.5,13.657509594620638,0.09193172901910408,1.0,86.35684620835235,0.07173407332958256,True,0.5459022223193459,2.289774012040257,35.91026187286699,0.010755433601362344,False,False,False,False,VALID_TARGET,,True,1,VALID_TARGET,,NOT_REVIEWED,False
4,4,4,160.0,17,1.0,0.9637041687965393,4,6,0.9874540269374847,0.9810628890991211,False,,,,,False,,,,428.430136680603,84.34891510009766,429.7436046600342,59.3949613571167,24.988497464630086,1,0,False,0,0.0,,417.9485206604004,50.54677677154541,31.36380386352539,74.79486751556396,433.6304225921631,87.94421052932739,440.5,105.0,18.387252329539884,0.11912680545802327,1.0,81.10462625190043,0.1462595838216481,True,8.326676001867254,7.038047719080998,35.91026187286699,0.11901332574823995,False,False,False,False,VALID_TARGET,,True,1,VALID_TARGET,,NOT_REVIEWED,False
5,5,5,200.0,17,1.0,0.9630931615829468,4,6,0.9905287325382233,0.9830827116966248,False,,,,,False,,,,423.514253616333,88.9487419128418,425.86950397491455,61.60844039916992,27.441561382510418,1,0,False,0,0.0,,413.0042552947998,53.02865791320801,29.413068771362305,77.2796459197998,427.71078968048096,91.66848087310791,434.1,106.69999999999999,16.333051636763148,0.10426661541592323,1.0,82.6878001160904,0.04408694845487008,True,6.732333400004542,4.461854500995436,35.91026187286699,0.06831094483701923,False,False,False,False,VALID_TARGET,,True,1,VALID_TARGET,,NOT_REVIEWED,False
6,6,6,240.0,17,1.0,0.9538114666938782,4,6,0.9941009283065796,0.9933520555496216,False,,,,,False,,,,422.8373222351074,92.26513481140137,423.6219291687012,65.10199546813965,27.174468661258054,1,0,False,0,0.0,,410.21014404296875,55.477725982666016,28.727706909179688,85.6351203918457,424.5739974975586,98.29528617858887,427.7,108.40000000000002,10.577198733969569,0.06654627244544441,1.0,90.32527325608065,0.21268219003885785,True,3.3847744315543875,4.1540967164293585,35.91026187286699,0.0074377826092706335,False,False,False,False,VALID_TARGET,,True,1,VALID_TARGET,,NOT_REVIEWED,False
7,7,7,280.0,17,1.0,0.9590391516685486,4,6,0.992390900850296,0.9875032305717468,False,,,,,False,,,,419.45594215393066,99.92754554748535,420.7015447616577,67.1193265914917,32.83185582510982,1,0,False,0,0.0,,402.55325508117676,56.81498050689697,35.994619369506836,100.17031764984131,420.5505647659302,106.90013933181763,421.3,110.09999999999998,3.2864511963279974,0.02038181484237574,1.0,106.44108775104557,0.44878019971059246,True,8.375336980792715,3.54940416776498,35.91026187286699,0.15754235332174962,False,False,False,False,VALID_TARGET,,True,1,VALID_TARGET,,NOT_REVIEWED,False
8,8,8,320.0,17,1.0,0.9741092324256897,4,6,0.9957145154476166,0.9968283176422119,False,,,,,False,,,,417.64412689208984,103.03759956359863,418.4945888519287,69.44115447998047,33.60720767635574,1,0,False,0,0.0,,401.7802085876465,59.510568618774414,25.284523010253906,95.1727123260498,414.42247009277344,107.09692478179932,414.9,111.80000000000001,4.727256214798317,0.02890497358654731,1.0,98.47411982522662,0.22185769499605393,True,3.599320842350911,3.203363721348544,35.91026187286699,0.021591372794520367,False,False,False,False,VALID_TARGET,,True,1,VALID_TARGET,,NOT_REVIEWED,False
9,9,9,360.0,17,1.0,0.9621788263320923,4,6,0.9892300069332123,0.993973970413208,False,,,,,False,,,,411.0121669769287,106.95634078979492,411.7672653198242,74.65450859069824,32.31065670836857,1,0,False,0,0.0,,394.3663864135742,62.949100494384766,26.92058563232422,93.55334854125977,407.8266792297363,109.72577476501465,408.5,113.5,3.833814938682969,0.02311667252032346,1.0,97.34961198725823,0.031314387011419934,True,7.703208754421397,8.510930794533861,35.91026187286699,0.03610530529065338,False,False,False,False,VALID_TARGET,,True,1,VALID_TARGET,,NOT_REVIEWED,False
