source_frame_index,analysis_frame_index,timestamp_ms,frame_status,frame_rejection_reason,valid_segment_id,raw_pelvis_mid_x,raw_pelvis_mid_y,path_input_center_x,path_input_center_y,center_status,roi_center_x,roi_center_y,roi_x,roi_y,roi_width,roi_height,translation_camera_motion_status,translation_camera_motion_method,translation_background_dx_px,translation_background_dy_px,translation_background_feature_count,translation_camera_motion_residual_px,translation_affine_scale,translation_affine_inlier_fraction,affine_camera_motion_status,affine_camera_motion_method,affine_background_dx_px,affine_background_dy_px,affine_background_feature_count,affine_camera_motion_residual_px,affine_affine_scale,affine_affine_inlier_fraction,translation_raw_dx,translation_raw_dy,translation_compensated_dx,translation_compensated_dy,translation_compensated_x,translation_compensated_y,translation_projected_heading_deg,translation_normalized_projected_speed_per_s,translation_path_segment_id,translation_path_status,translation_path_rejection_reason,affine_raw_dx,affine_raw_dy,affine_compensated_dx,affine_compensated_dy,affine_compensated_x,affine_compensated_y,affine_projected_heading_deg,affine_normalized_projected_speed_per_s,affine_path_segment_id,affine_path_status,affine_path_rejection_reason,chosen_raw_dx,chosen_raw_dy,chosen_compensated_dx,chosen_compensated_dy,chosen_compensated_x,chosen_compensated_y,chosen_projected_heading_deg,chosen_normalized_projected_speed_per_s,chosen_path_segment_id,chosen_path_status,chosen_path_rejection_reason,chosen_path_validation_status,chosen_path_validation_reason
0,0,0.0,TARGET_NOT_FOUND,No observed landmarks returned by pose backend.,,,,,,,448.5,79.0,409.5,26.0,78.0,106.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,40.0,VALID_TARGET,,1.0,439.3783130645752,80.61902618408203,437.4438018798828,83.5197525024414,SUPPORTED,446.5,85.5,407.25,29.25,78.5,112.5,INSUFFICIENT_EVIDENCE,translation_median_sparse_flow,0.0,0.0,0.0,,,,INSUFFICIENT_EVIDENCE,partial_affine_ransac_sparse_flow,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,path_segment_001,SUPPORTED,,,,,,0.0,0.0,,,path_segment_001,SUPPORTED,,,,,,0.0,0.0,,,path_segment_001,SUPPORTED,,SUPPORTED,
2,2,80.0,VALID_TARGET,,1.0,437.0272397994995,83.5197525024414,436.8881449699402,83.7546033859253,SUPPORTED,444.5,92.0,405.0,32.5,79.0,119.0,SUPPORTED,translation_median_sparse_flow,0.001251220703125,0.007855415344238281,76.0,0.1065613403916359,,,SUPPORTED,partial_affine_ransac_sparse_flow,0.20351241062891265,0.020650671671722187,51.0,0.394623719712871,0.9999009586828103,0.6710526315789473,-0.555656909942627,0.23485088348388672,-0.556908130645752,0.22699546813964844,-0.556908130645752,0.22699546813964844,-157.8242161245965,0.41872846616698994,path_segment_001,SUPPORTED,,-0.555656909942627,0.23485088348388672,-0.5680744738743329,-0.5478053904461291,-0.5680744738743329,-0.5478053904461291,136.04061850610046,0.5494752727094773,path_segment_001,SUPPORTED,,-0.555656909942627,0.23485088348388672,-0.556908130645752,0.22699546813964844,-0.556908130645752,0.22699546813964844,-157.8242161245965,0.41872846616698994,path_segment_001,SUPPORTED,,SUPPORTED,
3,3,120.0,VALID_TARGET,,1.0,436.74905014038086,83.98945426940918,436.33248805999756,83.98945426940918,SUPPORTED,442.5,98.5,402.75,35.75,79.5,125.5,SUPPORTED,translation_median_sparse_flow,0.0009670257568359375,0.0010557174682617188,78.0,1.357097864151001,,,SUPPORTED,partial_affine_ransac_sparse_flow,0.030079777965300376,0.019644868103430416,49.0,0.49649398239260784,0.9999985063521122,0.6282051282051282,-0.555656909942627,0.23485088348388672,-0.5566239356994629,0.233795166015625,-1.1135320663452148,0.46079063415527344,-157.2164468958708,0.4203558687171117,path_segment_001,SUPPORTED,,-0.555656909942627,0.23485088348388672,-0.4451962399697891,-0.5110973414508635,-1.013270713844122,-1.0589027318969926,131.05780605534872,0.4719316591283189,path_segment_001,SUPPORTED,,-0.555656909942627,0.23485088348388672,-0.5566239356994629,0.233795166015625,-1.1135320663452148,0.46079063415527344,-157.2164468958708,0.4203558687171117,path_segment_001,SUPPORTED,,SUPPORTED,
4,4,160.0,VALID_TARGET,,1.0,428.430136680603,84.34891510009766,428.430136680603,84.34891510009766,SUPPORTED,440.5,105.0,400.5,39.0,80.0,132.0,SUPPORTED,translation_median_sparse_flow,0.00830078125,0.022596359252929688,85.0,4.1897454261779785,,,SUPPORTED,partial_affine_ransac_sparse_flow,-0.012216088930062808,0.02310107836203382,40.0,0.03676602227285164,0.9999724752244467,0.47058823529411764,-7.902351379394531,0.35946083068847656,-7.910652160644531,0.3368644714355469,-9.024184226989746,0.7976551055908203,-177.56160955923926,5.512895704490276,path_segment_001,SUPPORTED,,-7.902351379394531,0.35946083068847656,-7.895347292686722,0.42819056944789224,-8.908618006530844,-0.6307121624491003,-176.89570314586558,5.50532625737594,path_segment_001,SUPPORTED,,-7.902351379394531,0.35946083068847656,-7.910652160644531,0.3368644714355469,-9.024184226989746,0.7976551055908203,-177.56160955923926,5.512895704490276,path_segment_001,SUPPORTED,,SUPPORTED,
5,5,200.0,VALID_TARGET,,1.0,423.514253616333,88.9487419128418,423.514253616333,88.9487419128418,SUPPORTED,434.09999999999997,106.69999999999999,393.7,39.6,80.8,134.2,SUPPORTED,translation_median_sparse_flow,0.00777435302734375,0.022916793823242188,93.0,1.3709042072296143,,,SUPPORTED,partial_affine_ransac_sparse_flow,-0.6864123096832343,1.7421363584394698,56.0,1.3502779627757722,1.0109367736204986,0.6021505376344086,-4.9158830642700195,4.599826812744141,-4.923657417297363,4.576910018920898,-13.94784164428711,5.374565124511719,-137.09022757553575,4.680558598829494,path_segment_001,SUPPORTED,,-4.9158830642700195,4.599826812744141,-10.339016000528318,9.516458914634029,-19.247634007059162,8.885746752184929,-137.3722482678519,9.783893346392015,path_segment_001,SUPPORTED,,-4.9158830642700195,4.599826812744141,-4.923657417297363,4.576910018920898,-13.94784164428711,5.374565124511719,-137.09022757553575,4.680558598829494,path_segment_001,SUPPORTED,,SUPPORTED,
6,6,240.0,VALID_TARGET,,1.0,422.8373222351074,92.26513481140135,422.8373222351074,92.26513481140137,SUPPORTED,427.7,108.4,386.9,40.2,81.6,136.4,SUPPORTED,translation_median_sparse_flow,0.010009765625,0.3176727294921875,94.0,2.251249313354492,,,SUPPORTED,partial_affine_ransac_sparse_flow,-0.6846721019975227,2.100120644795201,64.0,1.3297286919408111,1.0080266705862992,0.6808510638297872,-0.6769313812255859,3.3163928985595703,-0.6869411468505859,2.998720169067383,-14.634782791137695,8.373285293579102,-102.90258779369236,2.141984278458174,path_segment_001,SUPPORTED,,-0.6769313812255859,3.3163928985595703,-4.513064126178449,6.018327266559666,-23.76069813323761,14.904074018744595,-126.86574615649438,5.237647793564289,path_segment_001,SUPPORTED,,-0.6769313812255859,3.3163928985595703,-0.6869411468505859,2.998720169067383,-14.634782791137695,8.373285293579102,-102.90258779369236,2.141984278458174,path_segment_001,SUPPORTED,,SUPPORTED,
7,7,280.0,VALID_TARGET,,1.0,419.45594215393066,99.92754554748537,419.45594215393066,99.92754554748535,SUPPORTED,421.3,110.1,380.1,40.8,82.4,138.6,SUPPORTED,translation_median_sparse_flow,0.0031414031982421875,0.5728654861450195,90.0,1.6847093105316162,,,SUPPORTED,partial_affine_ransac_sparse_flow,0.6094005425670497,-0.04178496826766636,53.0,0.9079617326042849,1.0019084032400942,0.5888888888888889,-3.381380081176758,7.662410736083984,-3.384521484375,7.089545249938965,-18.019304275512695,15.462830543518066,-115.51962896182762,5.469847331616223,path_segment_001,SUPPORTED,,-3.381380081176758,7.662410736083984,-4.746619464805917,7.294218821124076,-28.507317598043528,22.19829283986867,-123.0535502939952,6.059340096284652,path_segment_001,SUPPORTED,,-3.381380081176758,7.662410736083984,-3.384521484375,7.089545249938965,-18.019304275512695,15.462830543518066,-115.51962896182762,5.469847331616223,path_segment_001,SUPPORTED,,SUPPORTED,
8,8,320.0,VALID_TARGET,,1.0,417.64412689208984,103.03759956359865,417.64412689208984,103.03759956359863,SUPPORTED,414.90000000000003,111.80000000000001,373.3,41.4,83.2,140.8,SUPPORTED,translation_median_sparse_flow,0.86737060546875,0.5210094451904297,103.0,2.004171848297119,,,SUPPORTED,partial_affine_ransac_sparse_flow,0.631674992406311,1.5354553191138374,88.0,1.5601549209899206,1.000615564613839,0.8543689320388349,-1.8118152618408203,3.1100540161132812,-2.6791858673095703,2.5890445709228516,-20.698490142822266,18.051875114440918,-135.98025551029065,2.594104133329885,path_segment_001,SUPPORTED,,-1.8118152618408203,3.1100540161132812,-3.041532172210964,2.950507693176391,-31.548849770254492,25.148800533045062,-135.87030752222282,2.9504202270659854,path_segment_001,SUPPORTED,,-1.8118152618408203,3.1100540161132812,-2.6791858673095703,2.5890445709228516,-20.698490142822266,18.051875114440918,-135.98025551029065,2.594104133329885,path_segment_001,SUPPORTED,,SUPPORTED,
9,9,360.0,VALID_TARGET,,1.0,411.0121669769287,106.95634078979492,411.0121669769287,105.05103302001953,SUPPORTED,408.5,113.5,366.5,42.0,84.0,143.0,SUPPORTED,translation_median_sparse_flow,2.455066680908203,1.844254493713379,110.0,3.4166972637176514,,,SUPPORTED,partial_affine_ransac_sparse_flow,0.08826481944243313,-0.1630443463260699,43.0,0.21093436166864232,1.000781208241259,0.39090909090909093,-6.631959915161133,2.0134334564208984,-9.087026596069336,0.16917896270751953,-29.7855167388916,18.221054077148438,-178.93341119556257,6.3280678863732645,path_segment_001,SUPPORTED,,-6.631959915161133,2.0134334564208984,-6.942883066447848,1.6769285323101712,-38.49173283670234,26.825729065355233,-166.42129831157447,4.973087078042299,path_segment_001,SUPPORTED,,-6.631959915161133,2.0134334564208984,-9.087026596069336,0.16917896270751953,-29.7855167388916,18.221054077148438,-178.93341119556257,6.3280678863732645,path_segment_001,SUPPORTED,,SUPPORTED,
