feature_name,supported_frames,relevant_frames,completeness,unsupported_frames,primary_rejection_reason
contralateral_elbow_angle_2d_deg,0,99,0.0,99,Frame status is TARGET_IDENTITY_UNCERTAIN.
contralateral_hka_angle_2d_deg,3,99,0.030303030303030304,96,Frame status is TARGET_IDENTITY_UNCERTAIN.
elbow_projected_bilateral_absolute_difference_deg,0,99,0.0,99,Frame status is TARGET_IDENTITY_UNCERTAIN. | Frame status is TARGET_IDENTITY_UNCERTAIN.
elbow_projected_bilateral_difference_deg,0,99,0.0,99,Frame status is TARGET_IDENTITY_UNCERTAIN. | Frame status is TARGET_IDENTITY_UNCERTAIN.
hka_projected_bilateral_absolute_difference_deg,3,99,0.030303030303030304,96,Frame status is TARGET_IDENTITY_UNCERTAIN. | Frame status is TARGET_IDENTITY_UNCERTAIN.
hka_projected_bilateral_difference_deg,3,99,0.030303030303030304,96,Frame status is TARGET_IDENTITY_UNCERTAIN. | Frame status is TARGET_IDENTITY_UNCERTAIN.
injured_elbow_angle_2d_deg,0,99,0.0,99,Frame status is TARGET_IDENTITY_UNCERTAIN.
injured_hka_angle_2d_deg,3,99,0.030303030303030304,96,Frame status is TARGET_IDENTITY_UNCERTAIN.
knee_line_deviation_bilateral_absolute_difference,3,99,0.030303030303030304,96,Frame status is TARGET_IDENTITY_UNCERTAIN. | Frame status is TARGET_IDENTITY_UNCERTAIN.
knee_line_deviation_bilateral_difference,3,99,0.030303030303030304,96,Frame status is TARGET_IDENTITY_UNCERTAIN. | Frame status is TARGET_IDENTITY_UNCERTAIN.
knee_line_deviation_normalized_bilateral_absolute_difference,0,99,0.0,99,Frame status is TARGET_IDENTITY_UNCERTAIN. | Frame status is TARGET_IDENTITY_UNCERTAIN.
knee_line_deviation_normalized_bilateral_difference,0,99,0.0,99,Frame status is TARGET_IDENTITY_UNCERTAIN. | Frame status is TARGET_IDENTITY_UNCERTAIN.
left_elbow_angle_2d_deg,0,99,0.0,99,Frame status is TARGET_IDENTITY_UNCERTAIN.
left_hka_angle_2d_deg,3,99,0.030303030303030304,96,Frame status is TARGET_IDENTITY_UNCERTAIN.
left_knee_ankle_distance_normalized,0,99,0.0,99,Frame status is TARGET_IDENTITY_UNCERTAIN.
left_knee_ankle_x_offset_normalized,0,99,0.0,99,Frame status is TARGET_IDENTITY_UNCERTAIN.
left_knee_line_deviation_2d,3,99,0.030303030303030304,96,Frame status is TARGET_IDENTITY_UNCERTAIN.
left_knee_line_deviation_normalized,0,99,0.0,99,Frame status is TARGET_IDENTITY_UNCERTAIN.
left_upper_arm_orientation_2d_deg,0,99,0.0,99,Frame status is TARGET_IDENTITY_UNCERTAIN.
left_wrist_pelvis_distance_normalized,0,99,0.0,99,Frame status is TARGET_IDENTITY_UNCERTAIN.
left_wrist_pelvis_x_offset_normalized,0,99,0.0,99,Frame status is TARGET_IDENTITY_UNCERTAIN.
projected_hip_line_angle_deg,3,99,0.030303030303030304,96,Frame status is TARGET_IDENTITY_UNCERTAIN.
projected_shoulder_line_angle_deg,0,99,0.0,99,Frame status is TARGET_IDENTITY_UNCERTAIN.
projected_shoulder_pelvis_orientation_difference_deg,0,99,0.0,99,Frame status is TARGET_IDENTITY_UNCERTAIN.
projected_shoulder_pelvis_x_offset_normalized,0,99,0.0,99,Frame status is TARGET_IDENTITY_UNCERTAIN.
projected_shoulder_pelvis_x_offset_px,0,99,0.0,99,Frame status is TARGET_IDENTITY_UNCERTAIN.
projected_trunk_axis_angle_deg,0,99,0.0,99,Frame status is TARGET_IDENTITY_UNCERTAIN.
right_elbow_angle_2d_deg,0,99,0.0,99,Frame status is TARGET_IDENTITY_UNCERTAIN.
right_hka_angle_2d_deg,3,99,0.030303030303030304,96,Frame status is TARGET_IDENTITY_UNCERTAIN.
right_knee_ankle_distance_normalized,0,99,0.0,99,Frame status is TARGET_IDENTITY_UNCERTAIN.
right_knee_ankle_x_offset_normalized,0,99,0.0,99,Frame status is TARGET_IDENTITY_UNCERTAIN.
right_knee_line_deviation_2d,3,99,0.030303030303030304,96,Frame status is TARGET_IDENTITY_UNCERTAIN.
right_knee_line_deviation_normalized,0,99,0.0,99,Frame status is TARGET_IDENTITY_UNCERTAIN.
right_upper_arm_orientation_2d_deg,0,99,0.0,99,Frame status is TARGET_IDENTITY_UNCERTAIN.
right_wrist_pelvis_distance_normalized,0,99,0.0,99,Frame status is TARGET_IDENTITY_UNCERTAIN.
right_wrist_pelvis_x_offset_normalized,0,99,0.0,99,Frame status is TARGET_IDENTITY_UNCERTAIN.
