source_frame_index,analysis_frame_index,timestamp_ms,frame_status,frame_rejection_reason,valid_segment_id,raw_pelvis_mid_x,raw_pelvis_mid_y,roi_center_x,roi_center_y,roi_x,roi_y,roi_width,roi_height
0,0,0.0,TARGET_NOT_FOUND,No observed landmarks returned by pose backend.,,,,947.1428571428571,370.71428571428567,806.4285714285714,231.42857142857142,281.42857142857144,278.57142857142856
1,1,16.666666666666668,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,956.6214904785156,365.04759979248047,939.5714285714286,372.42857142857144,801.5714285714286,232.28571428571428,276.0,280.2857142857143
2,2,33.333333333333336,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,941.4634399414062,377.3340072631836,932.0,374.1428571428571,796.7142857142857,233.14285714285714,270.57142857142856,282.0
3,3,50.0,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,932.9911575317384,359.27918243408203,924.4285714285714,375.8571428571429,791.8571428571429,234.0,265.1428571428571,283.7142857142857
4,4,66.66666666666667,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,928.0653533935548,363.62689208984375,916.8571428571429,377.57142857142856,787.0,234.85714285714286,259.71428571428567,285.42857142857144
5,5,83.33333333333333,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,881.4272422790527,515.8682556152344,909.2857142857142,379.28571428571433,782.1428571428571,235.71428571428572,254.28571428571422,287.14285714285717
6,6,100.0,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,878.8019599914551,514.6279602050781,907.8759398496239,378.77819548872185,781.9172932330827,235.63909774436092,251.91729323308263,286.27819548872185
7,7,116.66666666666669,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,876.4648780822754,516.2696533203125,906.4661654135338,378.27067669172936,781.6917293233082,235.5639097744361,249.54887218045107,285.4135338345865
8,8,133.33333333333334,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,860.9162712097168,510.3731384277344,905.0563909774435,377.7631578947369,781.4661654135338,235.48872180451127,247.18045112781948,284.54887218045116
9,9,150.0,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,879.0432510375977,347.4404754638672,903.6466165413534,377.2556390977444,781.2406015037594,235.41353383458647,244.81203007518792,283.68421052631584
