frame_index,source_frame_index,analysis_frame_index,timestamp_ms,frame_status,frame_rejection_reason,human_target_unavailable,human_target_unavailable_reason,human_target_unavailable_note,human_target_unavailable_start_frame,human_target_unavailable_end_frame,human_target_accepted,human_target_accepted_note,human_target_accepted_start_frame,human_target_accepted_end_frame,manual_review_decision,manual_override_applied,automatic_frame_status,automatic_frame_rejection_reason,valid_target_frame,valid_segment_id,backend_pose_count,selected_pose_index,multiple_pose_candidates,competing_pose_count,competing_pose_max_iou,competing_pose_min_center_distance_fraction,competing_pose_proximity_flag,target_overlap_ambiguous_flag,identity_jump_flag,identity_uncertain_flag,pelvis_x,pelvis_y,shoulder_mid_x,shoulder_mid_y,pelvis_jump_px,shoulder_jump_px,body_scale_px,body_scale_relative_change,pose_bbox_x,pose_bbox_y,pose_bbox_width,pose_bbox_height,pose_centroid_x,pose_centroid_y,pose_scale_px,pose_scale_relative_change,roi_center_x,roi_center_y,roi_pose_centroid_distance_px,roi_pose_centroid_distance_fraction,pose_roi_overlap_fraction,pose_centroid_consistent_with_roi
0,0,0,0.0,TARGET_NOT_FOUND,No observed landmarks returned by pose backend.,False,,,,,False,,,,NOT_REVIEWED,False,TARGET_NOT_FOUND,No observed landmarks returned by pose backend.,False,,1,0,False,0,,,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,True
1,1,1,16.666666666666668,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,,,,False,,,,NOT_REVIEWED,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,2,0,True,1,0.20987955374102646,0.29760198899261237,True,True,False,False,956.6214904785156,365.04759979248047,993.0046844482422,279.5089912414551,,,92.95477586592472,,940.6789245605469,243.8363847732544,76.25526428222656,251.56724071502686,978.8065567016602,369.6200051307678,262.8705801943696,,939.5714285714284,372.42857142857144,39.335522419879695,0.09999749595404357,1.0,True
2,2,2,33.333333333333336,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,,,,False,,,,NOT_REVIEWED,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,3,2,True,2,0.6817739060926624,0.12577443328586504,True,True,False,False,941.4634399414062,377.3340072631836,980.9572677612305,281.82608795166016,19.512106616706237,12.268218533875716,103.35146388454493,0.12641750127196646,925.5899963378906,244.2199420928955,75.04428100585938,232.91879081726074,963.1121368408203,360.6793375015259,244.70963860759807,0.22082617580079064,932.0,374.1428571428571,33.90031592676446,0.0867436014677185,1.0,True
3,3,3,50.0,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,,,,False,,,,NOT_REVIEWED,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,2,1,True,1,0.13697883440328068,0.4611735814753262,True,True,False,False,932.9911575317383,359.27918243408203,980.3765716552734,281.1440658569336,19.943827838173682,0.8957466746624672,91.38092751873063,0.14555455482949892,915.9042663574219,245.6651210784912,83.05076599121094,222.16501808166504,957.4296493530273,356.74763011932373,237.18078545901105,0.09154634637331965,924.4285714285714,375.8571428571429,38.134559408139005,0.0982032674943276,1.0,True
4,4,4,66.66666666666667,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,,,,False,,,,NOT_REVIEWED,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,2,1,True,1,0.1249573139246153,0.5002470822243146,True,True,False,True,928.0653533935547,363.62689208984375,969.8989944458008,278.0058307647705,6.57009327624428,10.937465139333915,95.29438423181149,0.047585290442267524,912.816650390625,243.27674770355225,65.52017211914062,220.79951572418213,945.5767364501953,353.6765055656433,230.31569442518494,0.08347539648651067,916.8571428571429,377.57142857142856,37.36017132726378,0.09681238450598713,1.0,True
5,5,5,83.33333333333333,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,,,,False,,,,NOT_REVIEWED,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,2,1,True,1,0.08511856307048704,0.6297521976812535,True,True,True,True,881.4272422790527,515.8682556152344,904.8834533691406,437.34407806396484,159.22482901984466,172.0921196158328,81.95267109012411,0.16222724342971248,861.4089050292969,394.6362762451172,73.81146240234375,128.3637237548828,898.3146362304688,458.8181381225586,148.07220386754724,1.0000316017524358,909.2857142857142,379.28571428571433,80.28555906922317,0.20932110781886146,0.9988870910045434,True
6,6,6,100.0,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,,,,False,,,,NOT_REVIEWED,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,2,1,True,1,0.08518434436336675,0.6323257812016079,True,True,False,True,878.8019599914551,514.6279602050781,901.9804382324219,436.376953125,2.903521963758608,3.059873777067599,81.6116533505688,0.004146571528046889,860.5051727294922,392.9210662841797,75.03204345703125,129.0789337158203,898.0211944580078,457.46053314208984,149.30230632696524,0.014957309380604175,907.875939849624,378.77819548872185,79.29707602006641,0.20794514970667372,0.9993592543373552,True
7,7,7,116.66666666666667,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,,,,False,,,,NOT_REVIEWED,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,2,1,True,1,0.08771401094267041,0.6291870952501087,True,True,False,False,876.4648780822754,516.2696533203125,898.818489074707,436.30072021484375,2.8560651489108086,3.1628679916437394,83.03441567463395,0.01729993797929525,855.9166564941406,392.75270080566406,79.73486328125,128.24729919433594,895.7840881347656,456.87635040283203,151.0133046228747,0.020804714815148704,906.4661654135338,378.27067669172936,79.32817100227328,0.20924032292798472,0.9998241180038944,True
8,8,8,133.33333333333334,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,,,,False,,,,NOT_REVIEWED,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,2,0,True,1,0.07429650085131392,0.6601592055238766,True,True,False,True,860.9162712097168,510.3731384277344,887.0025939941406,429.2633972167969,16.62913297666995,13.752792135918904,85.20144573725497,0.026349788048573183,817.1722106933594,389.2137756347656,83.8843002319336,130.78622436523438,859.1143608093262,454.6068878173828,155.3757133824801,0.053044278517212023,905.0563909774435,377.7631578947369,89.53004503736581,0.23753267836509925,1.0,True
9,9,9,150.0,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,,,,False,,,,NOT_REVIEWED,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,4,3,True,3,0.7000691588209239,0.13024053400520957,True,True,True,True,879.0432510375977,347.4404754638672,920.5191040039062,273.9702091217041,163.93791525506703,158.86891046385566,84.36898965657484,0.010122167506590547,864.6380386352539,243.12231254577637,88.7298355102539,226.01452827453613,909.0029563903809,356.12957668304443,242.80764135594623,1.0631198941432716,903.6466165413533,377.2556390977444,21.794515129455824,0.05816325668083954,1.0,True
10,10,10,166.66666666666666,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,,,,False,,,,NOT_REVIEWED,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,4,3,True,3,0.6893481801885417,0.12842846953360948,True,True,False,True,879.9343223571777,351.1744918823242,920.9075736999512,272.97639656066895,3.8388652893641444,1.067038945501283,88.28221472942764,0.04758247383578922,865.537727355957,241.59641790390015,88.86222076416016,226.66240167617798,909.9688377380371,354.92761874198914,243.45911076144057,0.007921477902407792,902.2368421052631,376.7481203007519,23.1499037739081,0.06214525394754144,1.0,True
11,11,11,183.33333333333331,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,,,,False,,,,NOT_REVIEWED,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,3,1,True,2,0.6884813916656001,0.14306977383480696,True,True,False,False,873.128589630127,350.5788917541504,899.7885589599609,271.85395431518555,6.831744833110407,21.14882172089903,83.11660327176885,0.06281074240657358,858.9139175415039,245.06800174713135,82.74810028076172,229.38788509368896,900.2879676818848,359.76194429397583,243.85661756005402,0.004833444663274618,900.827067669173,376.2406015037594,16.487473191300325,0.044522597572711216,1.0,True
12,12,12,200.0,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,,,,False,,,,NOT_REVIEWED,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,4,2,True,3,0.6895825389571709,0.13835279549342705,True,True,False,False,875.4284629821777,347.7358093261719,900.2557373046875,273.79409980773926,3.6568477036586455,1.995600194943349,77.9985253501207,0.062232763069469,856.088005065918,246.18067169189453,87.9681167602539,225.84844207763672,900.0720634460449,359.1048927307129,242.37555230518052,0.018008866708946837,899.4172932330827,375.73308270676694,16.641076464926385,0.045204927122749344,1.0,True
13,13,13,216.66666666666669,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,,,,False,,,,NOT_REVIEWED,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,3,2,True,2,0.6940161795402174,0.13637362480500564,True,True,False,False,868.544361114502,353.60217666625977,900.1243591308594,276.6120719909668,9.04461852669238,2.821033046598816,83.2152179149085,0.06343185808436343,849.6600570678711,244.26800918579102,83.19458770751953,223.71203231811523,891.2573509216309,356.12402534484863,238.68056650621054,0.044928814936506856,898.0075187969924,375.22556390977445,20.25915945672255,0.05536229700699858,1.0,True
14,14,14,233.33333333333334,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,,,,False,,,,NOT_REVIEWED,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,3,2,True,2,0.6696050776450844,0.14853898829217513,True,True,False,False,870.3303985595703,355.4932556152344,901.6947860717773,277.48056983947754,2.601174608987491,1.7945833192216953,84.08153153911304,0.0105338549635863,851.1014709472656,245.24080562591553,83.33932495117188,225.0288324356079,892.7711334228516,357.7552218437195,239.96545274403547,0.015623447324153045,896.5977443609022,374.718045112782,17.38908636267755,0.04780442752433829,1.0,True
15,15,15,250.0,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,,,,False,,,,NOT_REVIEWED,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,3,2,True,2,0.6719711525445726,0.14550882370894413,True,True,False,False,868.1550559997559,347.27027893066406,895.2670097351074,271.1158046722412,8.50584862359583,9.045802577345952,80.83663763990083,0.039455966928735195,839.502067565918,236.2357840538025,80.47835540771484,230.78022241592407,879.7412452697754,351.6258952617645,244.4100586053566,0.054043746058422326,895.187969924812,374.2105263157895,27.361777398680534,0.07567365309884352,1.0,True
16,16,16,266.6666666666667,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,,,,False,,,,NOT_REVIEWED,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,2,1,True,1,0.16988466174795144,0.4701592943203902,True,True,False,False,868.522274017334,346.5227279663086,879.6535263061523,269.1577501296997,0.8328754509185629,15.735782229613571,78.16165666857573,0.03252616696195294,832.2464904785156,235.0,66.46269989013672,231.85824584960938,865.477840423584,350.9291229248047,241.19605437308522,0.039080367073974706,893.7781954887217,373.703007518797,36.32574729187753,0.1010728107883658,1.0,True
17,17,17,283.3333333333333,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,,,,False,,,,NOT_REVIEWED,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,2,1,True,1,0.19160168656085455,0.4375767839323968,True,True,False,False,869.357006072998,348.6229667663574,887.1096992492676,271.72424125671387,2.260039960262582,7.885517843660371,78.92130320780487,0.009236847077381993,838.0864601135254,235.0,64.33938217163086,230.1253662109375,870.2561511993408,350.06268310546875,238.95028828596392,0.027307170963169272,892.3684210526316,373.1954887218045,32.0012370658999,0.08958107974818293,1.0,True
