source_frame_index,analysis_frame_index,timestamp_ms,frame_status,frame_rejection_reason,valid_segment_id,raw_pelvis_mid_x,raw_pelvis_mid_y,path_input_center_x,path_input_center_y,center_status,roi_center_x,roi_center_y,roi_x,roi_y,roi_width,roi_height,translation_camera_motion_status,translation_camera_motion_method,translation_background_dx_px,translation_background_dy_px,translation_background_feature_count,translation_camera_motion_residual_px,translation_affine_scale,translation_affine_inlier_fraction,affine_camera_motion_status,affine_camera_motion_method,affine_background_dx_px,affine_background_dy_px,affine_background_feature_count,affine_camera_motion_residual_px,affine_affine_scale,affine_affine_inlier_fraction,translation_raw_dx,translation_raw_dy,translation_compensated_dx,translation_compensated_dy,translation_compensated_x,translation_compensated_y,translation_projected_heading_deg,translation_normalized_projected_speed_per_s,translation_path_segment_id,translation_path_status,translation_path_rejection_reason,affine_raw_dx,affine_raw_dy,affine_compensated_dx,affine_compensated_dy,affine_compensated_x,affine_compensated_y,affine_projected_heading_deg,affine_normalized_projected_speed_per_s,affine_path_segment_id,affine_path_status,affine_path_rejection_reason,chosen_raw_dx,chosen_raw_dy,chosen_compensated_dx,chosen_compensated_dy,chosen_compensated_x,chosen_compensated_y,chosen_projected_heading_deg,chosen_normalized_projected_speed_per_s,chosen_path_segment_id,chosen_path_status,chosen_path_rejection_reason,chosen_path_validation_status,chosen_path_validation_reason
0,0,0.0,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,107.45547485351562,373.0555725097656,,,,129.28571428571428,381.42857142857144,10.714285714285714,237.14285714285714,237.14285714285714,288.57142857142856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,16.666666666666668,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,122.44314575195312,359.7223320007324,,,,133.92857142857144,379.6428571428571,25.0,238.57142857142856,217.85714285714286,282.1428571428571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,33.333333333333336,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,140.14464569091797,360.08361053466797,,,,138.57142857142858,377.85714285714283,39.285714285714285,240.0,198.57142857142858,275.71428571428567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,50.0,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,138.393798828125,358.2015914916992,,,,149.88095238095238,378.57142857142856,51.904761904761905,239.28571428571428,195.95238095238096,278.57142857142856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,66.66666666666667,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,144.01027297973633,354.97751235961914,,,,161.1904761904762,379.2857142857143,64.52380952380952,238.57142857142858,193.33333333333334,281.4285714285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,83.33333333333333,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,1.0,150.68544578552246,360.8268013000488,164.09017372131348,360.6264114379883,SUPPORTED,172.5,380.0,77.14285714285714,237.85714285714286,190.71428571428572,284.2857142857142,INSUFFICIENT_EVIDENCE,translation_median_sparse_flow,0.0,0.0,0.0,,,,INSUFFICIENT_EVIDENCE,partial_affine_ransac_sparse_flow,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,path_segment_001,SUPPORTED,,,,,,0.0,0.0,,,path_segment_001,SUPPORTED,,,,,,0.0,0.0,,,path_segment_001,SUPPORTED,,SUPPORTED,
6,6,100.0,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,1.0,168.7314624786377,360.0690612792969,171.82482624053955,360.3477363586426,SUPPORTED,183.8095238095238,380.71428571428567,89.76190476190476,237.14285714285714,188.09523809523807,287.1428571428571,SUPPORTED,translation_median_sparse_flow,3.9312591552734375,0.007031440734863281,350.0,0.23484119772911072,,,SUPPORTED,partial_affine_ransac_sparse_flow,3.728048601095873,-0.1529687984757859,289.0,0.3240076186887479,1.0001251948836816,0.8257142857142857,7.734652519226074,-0.2786750793457031,3.8033933639526367,-0.2857065200805664,3.8033933639526367,-0.2857065200805664,4.295924549951804,2.7600178924815246,path_segment_001,SUPPORTED,,7.734652519226074,-0.2786750793457031,4.055974068831205,-0.20265828132102115,4.055974068831205,-0.20265828132102115,2.860426528825176,2.9387008641562082,path_segment_001,SUPPORTED,,7.734652519226074,-0.2786750793457031,3.8033933639526367,-0.2857065200805664,3.8033933639526367,-0.2857065200805664,4.295924549951804,2.7600178924815246,path_segment_001,SUPPORTED,,SUPPORTED,
7,7,116.66666666666669,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,1.0,175.62286376953125,360.63158416748047,179.55947875976562,360.0690612792969,SUPPORTED,195.1190476190476,381.42857142857144,102.38095238095238,236.42857142857144,185.47619047619045,290.0,SUPPORTED,translation_median_sparse_flow,3.621002197265625,0.09101295471191406,350.0,0.3141814172267914,,,SUPPORTED,partial_affine_ransac_sparse_flow,3.759493847188722,-0.07027671643681169,286.0,0.2650116887809466,0.999774186825594,0.8171428571428572,7.734652519226074,-0.2786750793457031,4.113650321960449,-0.3696880340576172,7.917043685913086,-0.6553945541381836,5.135296832257453,2.988772500506022,path_segment_001,SUPPORTED,,7.734652519226074,-0.2786750793457031,4.103114188682582,-0.16952548907136133,8.159088257513787,-0.3721837703923825,2.365903891994254,2.971684750357914,path_segment_001,SUPPORTED,,7.734652519226074,-0.2786750793457031,4.113650321960449,-0.3696880340576172,7.917043685913086,-0.6553945541381836,5.135296832257453,2.988772500506022,path_segment_001,SUPPORTED,,SUPPORTED,
8,8,133.33333333333334,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,1.0,188.41572952270508,357.238826751709,188.67226219177246,359.2634811401367,SUPPORTED,206.42857142857142,382.1428571428571,115.0,235.71428571428572,182.85714285714283,292.85714285714283,SUPPORTED,translation_median_sparse_flow,3.4574737548828125,0.09608650207519531,350.0,0.1921558827161789,,,SUPPORTED,partial_affine_ransac_sparse_flow,3.4310157410378728,-0.09253972712812843,282.0,0.19440066776612364,1.000021141461315,0.8057142857142857,9.112783432006836,-0.8055801391601562,5.655309677124023,-0.9016666412353516,13.57235336303711,-1.5570611953735352,9.058832016112492,4.144060610052474,path_segment_001,SUPPORTED,,9.112783432006836,-0.8055801391601562,5.73024149140781,-0.7467140747091321,13.889329748921597,-1.1188978451015146,7.424439942980697,4.1816541486108125,path_segment_001,SUPPORTED,,9.112783432006836,-0.8055801391601562,5.655309677124023,-0.9016666412353516,13.57235336303711,-1.5570611953735352,9.058832016112492,4.144060610052474,path_segment_001,SUPPORTED,,SUPPORTED,
9,9,150.0,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,1.0,188.72504997253415,359.2634811401367,189.17319107055664,358.7020378112793,SUPPORTED,219.28571428571428,381.96428571428567,128.21428571428572,234.64285714285714,182.1428571428571,294.6428571428571,SUPPORTED,translation_median_sparse_flow,0.0,-7.62939453125e-06,350.0,0.0001989672746276483,,,SUPPORTED,partial_affine_ransac_sparse_flow,0.002284859691636753,0.0004662394471238152,350.0,0.0024981066454612872,0.9999932105694487,1.0,0.5009288787841797,-0.5614433288574219,0.5009288787841797,-0.5614356994628906,14.073282241821289,-2.118496894836426,48.25975114653653,0.5444783406861853,path_segment_001,SUPPORTED,,0.5009288787841797,-0.5614433288574219,0.5003014114457187,-0.5596680532906362,14.389631160367315,-1.6785658983921508,48.20566597025053,0.5432218444242906,path_segment_001,SUPPORTED,,0.5009288787841797,-0.5614433288574219,0.5009288787841797,-0.5614356994628906,14.073282241821289,-2.118496894836426,48.25975114653653,0.5444783406861853,path_segment_001,SUPPORTED,,SUPPORTED,
