source_frame_index,analysis_frame_index,timestamp_ms,frame_status,frame_rejection_reason,valid_segment_id,raw_pelvis_mid_x,raw_pelvis_mid_y,path_input_center_x,path_input_center_y,center_status,roi_center_x,roi_center_y,roi_x,roi_y,roi_width,roi_height,translation_camera_motion_status,translation_camera_motion_method,translation_background_dx_px,translation_background_dy_px,translation_background_feature_count,translation_camera_motion_residual_px,translation_affine_scale,translation_affine_inlier_fraction,affine_camera_motion_status,affine_camera_motion_method,affine_background_dx_px,affine_background_dy_px,affine_background_feature_count,affine_camera_motion_residual_px,affine_affine_scale,affine_affine_inlier_fraction,translation_raw_dx,translation_raw_dy,translation_compensated_dx,translation_compensated_dy,translation_compensated_x,translation_compensated_y,translation_projected_heading_deg,translation_normalized_projected_speed_per_s,translation_path_segment_id,translation_path_status,translation_path_rejection_reason,affine_raw_dx,affine_raw_dy,affine_compensated_dx,affine_compensated_dy,affine_compensated_x,affine_compensated_y,affine_projected_heading_deg,affine_normalized_projected_speed_per_s,affine_path_segment_id,affine_path_status,affine_path_rejection_reason,chosen_raw_dx,chosen_raw_dy,chosen_compensated_dx,chosen_compensated_dy,chosen_compensated_x,chosen_compensated_y,chosen_projected_heading_deg,chosen_normalized_projected_speed_per_s,chosen_path_segment_id,chosen_path_status,chosen_path_rejection_reason,chosen_path_validation_status,chosen_path_validation_reason
0,0,0.0,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,553.947811126709,173.33633041381836,,,,544.5,182.0,457.5,53.0,174.0,258.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,33.333333333333336,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,542.9295654296875,189.4063415527344,,,,536.0,182.5,440.5,46.0,191.0,273.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,66.66666666666667,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,537.5949249267578,188.92030334472656,,,,527.5,183.0,423.5,39.0,208.0,288.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,100.0,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,538.8849983215332,189.42359161376953,,,,518.25,186.0,413.0,45.0,210.5,282.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,133.33333333333334,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,524.9345741271973,189.7320098876953,,,,509.0,189.0,402.5,51.0,213.0,276.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,166.66666666666666,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,526.3156890869141,187.44849395751953,,,,504.1,189.4,402.3,51.0,203.6,276.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,200.0,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,515.4287872314453,188.43826293945312,,,,499.20000000000005,189.8,402.1,51.0,194.2,277.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,233.33333333333337,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,515.0979881286621,186.4710922241211,,,,494.29999999999995,190.2,401.9,51.0,184.8,278.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,266.6666666666667,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,510.671199798584,189.8132171630859,,,,489.4,190.6,401.7,51.0,175.4,279.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,300.0,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,507.4416198730469,187.9377899169922,,,,484.5,191.0,401.5,51.0,166.0,280.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,333.3333333333333,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,498.40837478637695,188.0733337402344,,,,481.55,190.9,399.6,51.1,163.9,279.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11,366.66666666666663,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,497.908878326416,187.91552734375,,,,478.6,190.8,397.7,51.2,161.8,279.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12,400.0,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,497.5328178405762,185.86177825927737,,,,475.65,190.7,395.8,51.3,159.7,278.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,13,433.33333333333337,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,415.158917427063,186.13066864013672,,,,472.7,190.6,393.9,51.4,157.6,278.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14,466.6666666666667,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,490.0162963867187,184.45668029785156,,,,469.75,190.5,392.0,51.5,155.5,278.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15,500.0,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,488.08903884887695,189.7884292602539,,,,466.8,190.4,390.1,51.6,153.4,277.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16,533.3333333333334,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,485.8729782104492,185.32073974609375,,,,463.85,190.3,388.2,51.7,151.3,277.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17,566.6666666666666,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,478.05224609375,185.16539001464844,,,,460.9,190.2,386.3,51.8,149.2,276.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18,600.0,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,1.0,478.2847595214844,183.58045196533203,472.56968688964844,181.924072265625,SUPPORTED,457.95,190.1,384.4,51.9,147.1,276.4,INSUFFICIENT_EVIDENCE,translation_median_sparse_flow,0.0,0.0,0.0,,,,INSUFFICIENT_EVIDENCE,partial_affine_ransac_sparse_flow,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,path_segment_001,SUPPORTED,,,,,,0.0,0.0,,,path_segment_001,SUPPORTED,,,,,,0.0,0.0,,,path_segment_001,SUPPORTED,,SUPPORTED,
19,19,633.3333333333333,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,1.0,471.4062080383301,181.924072265625,471.466552734375,181.544921875,SUPPORTED,455.0,190.0,382.5,52.0,145.0,276.0,SUPPORTED,translation_median_sparse_flow,-0.00016021728515625,5.340576171875e-05,37.0,0.0024804098065942526,,,SUPPORTED,partial_affine_ransac_sparse_flow,-0.31075136714086743,0.14734727517694546,37.0,1.1268163326234772,1.000511826413539,1.0,-1.1031341552734375,-0.379150390625,-1.1029739379882812,-0.37920379638671875,-1.1029739379882812,-0.37920379638671875,161.02696716645806,0.4710762097220627,path_segment_001,SUPPORTED,,-1.1031341552734375,-0.379150390625,-0.8059143137541014,-1.2116512921937783,-0.8059143137541014,-1.2116512921937783,123.6293552766716,0.5877436497173661,path_segment_001,SUPPORTED,,-1.1031341552734375,-0.379150390625,-1.1029739379882812,-0.37920379638671875,-1.1029739379882812,-0.37920379638671875,161.02696716645806,0.4710762097220627,path_segment_001,SUPPORTED,,SUPPORTED,
20,20,666.6666666666666,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,1.0,472.3779602050781,179.2790298461914,470.6401901245117,181.924072265625,SUPPORTED,451.375,186.75,379.25,48.75,144.25,276.0,SUPPORTED,translation_median_sparse_flow,6.103515625e-05,-5.14984130859375e-05,37.0,0.0001603194250492379,,,SUPPORTED,partial_affine_ransac_sparse_flow,-0.006460964714957231,0.005741460818104884,37.0,0.011571565243583465,0.9999878947176728,1.0,-0.8263626098632812,0.379150390625,-0.8264236450195312,0.37920188903808594,-1.9293975830078125,-1.9073486328125e-06,-155.35212519971168,0.36724737544990993,path_segment_001,SUPPORTED,,-0.8263626098632812,0.379150390625,-0.8227152072827835,0.397736379875397,-1.6286295210368849,-0.8139149123183813,-154.19885355324183,0.369082740749483,path_segment_001,SUPPORTED,,-0.8263626098632812,0.379150390625,-0.8264236450195312,0.37920188903808594,-1.9293975830078125,-1.9073486328125e-06,-155.35212519971168,0.36724737544990993,path_segment_001,SUPPORTED,,SUPPORTED,
