source_frame_index,background_dx_px,background_dy_px,background_feature_count,camera_motion_status,camera_motion_residual_px,camera_motion_method,affine_a,affine_b,affine_tx,affine_c,affine_d,affine_ty,affine_scale,affine_inlier_fraction
4,0.0,0.0,0,INSUFFICIENT_EVIDENCE,,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
5,2.640960693359375,2.0984954833984375,173,SUPPORTED,1.7404438257217407,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
6,2.311920166015625,2.0834426879882812,174,SUPPORTED,1.9995830059051514,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
7,2.088958740234375,2.4464263916015625,168,SUPPORTED,2.3292529582977295,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
8,1.5378570556640625,1.124755859375,178,SUPPORTED,1.9060604572296143,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
9,1.1334228515625,1.3475875854492188,184,SUPPORTED,2.0521583557128906,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
10,0.82720947265625,2.5663604736328125,197,SUPPORTED,5.071753025054932,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
11,0.0009002685546875,1.459197998046875,209,SUPPORTED,2.3854739665985107,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
12,-0.000118255615234375,1.265777587890625,190,SUPPORTED,2.4529976844787598,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
13,-0.02264404296875,1.004913330078125,201,SUPPORTED,2.3305742740631104,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
14,-7.05718994140625e-05,1.5229110717773438,196,SUPPORTED,2.3161587715148926,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
15,0.0001678466796875,0.58282470703125,203,SUPPORTED,2.2701940536499023,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
16,3.814697265625e-05,0.102935791015625,224,SUPPORTED,2.5553200244903564,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
17,0.00011444091796875,0.42755126953125,203,SUPPORTED,3.998453378677368,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
18,6.103515625e-05,0.09088134765625,203,SUPPORTED,0.09092718362808228,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
19,0.185455322265625,3.4502410888671875,203,SUPPORTED,4.008130073547363,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
20,0.0274200439453125,2.55218505859375,208,SUPPORTED,2.4314393997192383,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
21,0.082794189453125,3.709808349609375,199,SUPPORTED,2.7891979217529297,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
89,0.06316375732421875,17.256011962890625,171,UNSTABLE_TRANSFORM,58.384490966796875,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
90,-0.00177001953125,-0.260040283203125,239,SUPPORTED,0.029767906293272972,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
91,-1.3904266357421875,-4.104400634765625,248,SUPPORTED,3.544466018676758,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
92,-2.06146240234375,-3.9411468505859375,209,SUPPORTED,3.381415843963623,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
93,-7.2479248046875e-05,0.25832366943359375,202,SUPPORTED,0.12601327896118164,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
99,-13.68792724609375,-5.1439208984375,184,UNSTABLE_TRANSFORM,16.75878143310547,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
100,0.0,0.0,181,SUPPORTED,8.217109279939905e-05,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
101,-0.76165771484375,-0.6602325439453125,173,SUPPORTED,2.1341865062713623,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
102,-1.423309326171875,-1.3934783935546875,176,SUPPORTED,2.5730013847351074,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
103,-1.6978759765625,-1.6198654174804688,164,SUPPORTED,2.56329345703125,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
104,0.0,0.0,172,SUPPORTED,0.0002147074555978179,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
105,-2.1472625732421875,-1.6893310546875,171,SUPPORTED,3.000945568084717,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
106,-2.2134552001953125,-1.634552001953125,171,SUPPORTED,3.0496668815612793,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
107,-2.2878189086914062,-2.2843704223632812,178,SUPPORTED,3.167004108428955,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
108,0.0001430511474609375,0.2627716064453125,168,SUPPORTED,0.027376461774110794,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
109,-3.005462646484375,-2.352783203125,159,SUPPORTED,2.7584612369537354,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
110,-3.251190185546875,-1.58697509765625,169,SUPPORTED,2.6155123710632324,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
111,-0.000133514404296875,-0.26190185546875,168,SUPPORTED,0.036307841539382935,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
112,-2.419769287109375,-1.56146240234375,173,SUPPORTED,2.838388204574585,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
113,-1.6922149658203125,-2.228912353515625,183,SUPPORTED,2.4662723541259766,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
114,-0.001556396484375,0.2632293701171875,174,SUPPORTED,0.051683761179447174,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
115,-1.87811279296875,-1.99017333984375,177,SUPPORTED,2.177712917327881,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
116,-1.5850372314453125,-0.82159423828125,186,SUPPORTED,2.104154586791992,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
117,0.00014495849609375,-0.2678375244140625,184,SUPPORTED,0.06566280126571655,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
118,-2.265777587890625,-0.5980224609375,181,SUPPORTED,2.343385696411133,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
119,-2.1259536743164062,-1.2257537841796875,180,SUPPORTED,2.454005002975464,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
