feature_name,supported_frames,relevant_frames,completeness,unsupported_frames,primary_rejection_reason
contralateral_elbow_angle_2d_deg,45,123,0.36585365853658536,78,Frame status is TARGET_NOT_FOUND.
contralateral_hka_angle_2d_deg,45,123,0.36585365853658536,78,Frame status is TARGET_NOT_FOUND.
elbow_projected_bilateral_absolute_difference_deg,35,123,0.2845528455284553,88,Frame status is TARGET_NOT_FOUND. | Frame status is TARGET_NOT_FOUND.
elbow_projected_bilateral_difference_deg,35,123,0.2845528455284553,88,Frame status is TARGET_NOT_FOUND. | Frame status is TARGET_NOT_FOUND.
hka_projected_bilateral_absolute_difference_deg,45,123,0.36585365853658536,78,Frame status is TARGET_NOT_FOUND. | Frame status is TARGET_NOT_FOUND.
hka_projected_bilateral_difference_deg,45,123,0.36585365853658536,78,Frame status is TARGET_NOT_FOUND. | Frame status is TARGET_NOT_FOUND.
injured_elbow_angle_2d_deg,37,123,0.3008130081300813,86,Frame status is TARGET_NOT_FOUND.
injured_hka_angle_2d_deg,45,123,0.36585365853658536,78,Frame status is TARGET_NOT_FOUND.
knee_line_deviation_bilateral_absolute_difference,45,123,0.36585365853658536,78,Frame status is TARGET_NOT_FOUND. | Frame status is TARGET_NOT_FOUND.
knee_line_deviation_bilateral_difference,45,123,0.36585365853658536,78,Frame status is TARGET_NOT_FOUND. | Frame status is TARGET_NOT_FOUND.
knee_line_deviation_normalized_bilateral_absolute_difference,45,123,0.36585365853658536,78,Frame status is TARGET_NOT_FOUND. | Frame status is TARGET_NOT_FOUND.
knee_line_deviation_normalized_bilateral_difference,45,123,0.36585365853658536,78,Frame status is TARGET_NOT_FOUND. | Frame status is TARGET_NOT_FOUND.
left_elbow_angle_2d_deg,45,123,0.36585365853658536,78,Frame status is TARGET_NOT_FOUND.
left_hka_angle_2d_deg,45,123,0.36585365853658536,78,Frame status is TARGET_NOT_FOUND.
left_knee_ankle_distance_normalized,47,123,0.3821138211382114,76,Frame status is TARGET_NOT_FOUND.
left_knee_ankle_x_offset_normalized,47,123,0.3821138211382114,76,Frame status is TARGET_NOT_FOUND.
left_knee_line_deviation_2d,45,123,0.36585365853658536,78,Frame status is TARGET_NOT_FOUND.
left_knee_line_deviation_normalized,45,123,0.36585365853658536,78,Frame status is TARGET_NOT_FOUND.
left_upper_arm_orientation_2d_deg,48,123,0.3902439024390244,75,Frame status is TARGET_NOT_FOUND.
left_wrist_pelvis_distance_normalized,44,123,0.35772357723577236,79,Frame status is TARGET_NOT_FOUND.
left_wrist_pelvis_x_offset_normalized,44,123,0.35772357723577236,79,Frame status is TARGET_NOT_FOUND.
projected_hip_line_angle_deg,48,123,0.3902439024390244,75,Frame status is TARGET_NOT_FOUND.
projected_shoulder_line_angle_deg,44,123,0.35772357723577236,79,Frame status is TARGET_NOT_FOUND.
projected_shoulder_pelvis_orientation_difference_deg,44,123,0.35772357723577236,79,Frame status is TARGET_NOT_FOUND.
projected_shoulder_pelvis_x_offset_normalized,44,123,0.35772357723577236,79,Frame status is TARGET_NOT_FOUND.
projected_shoulder_pelvis_x_offset_px,44,123,0.35772357723577236,79,Frame status is TARGET_NOT_FOUND.
projected_trunk_axis_angle_deg,44,123,0.35772357723577236,79,Frame status is TARGET_NOT_FOUND.
right_elbow_angle_2d_deg,37,123,0.3008130081300813,86,Frame status is TARGET_NOT_FOUND.
right_hka_angle_2d_deg,45,123,0.36585365853658536,78,Frame status is TARGET_NOT_FOUND.
right_knee_ankle_distance_normalized,46,123,0.37398373983739835,77,Frame status is TARGET_NOT_FOUND.
right_knee_ankle_x_offset_normalized,46,123,0.37398373983739835,77,Frame status is TARGET_NOT_FOUND.
right_knee_line_deviation_2d,45,123,0.36585365853658536,78,Frame status is TARGET_NOT_FOUND.
right_knee_line_deviation_normalized,45,123,0.36585365853658536,78,Frame status is TARGET_NOT_FOUND.
right_upper_arm_orientation_2d_deg,42,123,0.34146341463414637,81,Frame status is TARGET_NOT_FOUND.
right_wrist_pelvis_distance_normalized,39,123,0.3170731707317073,84,Frame status is TARGET_NOT_FOUND.
right_wrist_pelvis_x_offset_normalized,39,123,0.3170731707317073,84,Frame status is TARGET_NOT_FOUND.
