frame_index,source_frame_index,analysis_frame_index,timestamp_ms,observed_landmark_count,observed_fraction,median_confidence,core_observed_count,lower_limb_observed_count,core_median_confidence,lower_limb_median_confidence,human_target_unavailable,human_target_unavailable_reason,human_target_unavailable_note,human_target_unavailable_start_frame,human_target_unavailable_end_frame,human_target_accepted,human_target_accepted_note,human_target_accepted_start_frame,human_target_accepted_end_frame,pelvis_x,pelvis_y,shoulder_mid_x,shoulder_mid_y,body_scale_px,backend_pose_count,selected_pose_index,multiple_pose_candidates,competing_pose_count,competing_pose_max_iou,competing_pose_min_center_distance_fraction,pose_bbox_x,pose_bbox_y,pose_bbox_width,pose_bbox_height,pose_centroid_x,pose_centroid_y,roi_center_x,roi_center_y,roi_pose_centroid_distance_px,roi_pose_centroid_distance_fraction,pose_roi_overlap_fraction,pose_scale_px,pose_scale_relative_change,pose_centroid_consistent_with_roi,pelvis_jump_px,shoulder_jump_px,body_scale_reference_px,body_scale_relative_change,identity_jump_flag,competing_pose_proximity_flag,target_overlap_ambiguous_flag,identity_uncertain_flag,frame_status,frame_rejection_reason,valid_target_frame,valid_segment_id,automatic_frame_status,automatic_frame_rejection_reason,manual_review_decision,manual_override_applied
0,0,0,0.0,17,1.0,0.8533464670181274,4,6,0.9858783185482025,0.9632020890712738,False,,,,,False,,,,548.1552677154541,194.14326095581055,552.7285480499268,143.7422275543213,50.60809284053006,1,0,False,0,0.0,,525.9726638793945,125.60382461547852,31.65326690673828,116.74186325073242,541.7992973327637,183.97475624084473,559.0,199.0,22.839048190953697,0.10831007400138576,1.0,120.95698384600172,,True,,,73.53317428526329,,False,False,False,False,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,False,,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,NOT_REVIEWED,False
1,1,1,33.333333333333336,17,1.0,0.9035863876342773,4,6,0.9935729205608368,0.9899855256080627,False,,,,,False,,,,556.3920555114746,190.83094024658203,553.8868808746338,145.90546989440918,44.99526404328607,1,0,False,0,0.0,,518.516676902771,127.15261840820312,42.48155689239502,114.62046813964844,539.7574553489685,184.46285247802734,560.9166666666667,203.0,28.13073162643279,0.13001733789819944,1.0,122.23965965493342,0.017443498412780468,True,8.877845553818588,2.4538444031239437,73.53317428526329,0.07633056578612646,False,False,False,False,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,False,,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,NOT_REVIEWED,False
2,2,2,66.66666666666667,17,1.0,0.898211658000946,4,6,0.9920450448989868,0.9791181683540344,False,,,,,False,,,,563.2040138244629,198.63550567626953,562.4612827301025,154.566650390625,44.07511379072787,3,0,True,2,0.059894229462693786,0.34088301008761934,518.2859749794006,133.36141204833984,59.216527462005615,122.73833465576172,547.8942387104034,194.7305793762207,562.8333333333333,207.0,19.33171566612936,0.08712577603075611,1.0,136.27654207063014,0.19089183286501807,True,10.359247926570895,12.18755163136121,73.53317428526329,0.01251340312045536,False,True,True,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,NOT_REVIEWED,False
3,3,3,100.0,17,1.0,0.9131026268005371,4,6,0.9910275340080261,0.984787106513977,False,,,,,False,,,,561.3482208251953,200.3729248046875,561.7773456573486,154.22846794128418,46.14645216417033,4,0,True,3,0.044914632371403064,0.3715915065456246,517.4012780189514,134.17507553100586,57.46125555038452,128.41586685180664,546.1319057941437,198.38300895690918,564.75,211.0,22.490484539902088,0.09888984837666877,1.0,140.6855740604826,0.05995976690395727,True,2.542163032522345,0.7629792189367536,73.53317428526329,0.02816876047546846,False,True,True,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,NOT_REVIEWED,False
4,4,4,133.33333333333334,17,1.0,0.6035436391830444,4,6,0.9739040732383728,0.7639708518981934,False,,,,,False,,,,571.1079692840576,212.12961959838867,570.058515548706,157.24902725219727,54.89062551484986,1,0,False,0,0.0,,539.6378898620605,138.28925323486328,54.67209243774414,134.60169219970703,566.9739360809326,205.5900993347168,566.6666666666666,215.0,9.414916092214558,0.04040736520263759,1.0,145.2812900360742,0.06249853920032172,True,15.279808979581695,8.8148484570223,73.53317428526329,0.11891467267219474,False,False,False,False,VALID_TARGET,,True,1,VALID_TARGET,,NOT_REVIEWED,False
5,5,5,166.66666666666666,17,1.0,0.8955911993980408,4,6,0.9890069365501404,0.9897598922252655,False,,,,,False,,,,576.1056861877441,211.69800186157227,572.12721824646,157.91414260864258,53.93080495689617,1,0,False,0,0.0,,543.0846118927002,138.12760734558105,60.509450912475586,139.22891426086426,573.339337348938,207.74206447601318,568.5833333333334,219.0,12.221320978465934,0.051222628735139705,1.0,151.80936801129363,0.0887773177028168,True,5.016320177194487,2.172995464577334,73.53317428526329,0.013052891668054206,False,False,False,False,VALID_TARGET,,True,1,VALID_TARGET,,NOT_REVIEWED,False
6,6,6,200.0,17,1.0,0.9133449196815491,4,6,0.9928285479545593,0.9882035851478577,False,,,,,False,,,,580.3676719665527,212.96422958374023,577.7800731658936,158.1650676727295,54.86022068586986,1,0,False,0,0.0,,529.5068073272705,138.7856388092041,83.17413139343262,142.1523494720459,571.0938730239868,209.86181354522705,570.5,223.0,13.151601746137185,0.05385479736562335,1.0,164.69737883000647,0.17526797862302698,True,4.446105646872708,5.658421345918984,73.53317428526329,0.01263940715204454,False,False,False,False,VALID_TARGET,,True,1,VALID_TARGET,,NOT_REVIEWED,False
7,7,7,233.33333333333334,17,1.0,0.8788768649101257,4,6,0.987030565738678,0.9832376539707184,False,,,,,False,,,,583.2899112701416,215.4830436706543,580.0582580566406,158.40946006774902,57.16500264821256,1,0,False,0,0.0,,543.0128059387207,138.2195281982422,72.1003532409668,141.19992065429688,579.0629825592041,208.81948852539062,576.125,222.75,14.236955133117858,0.05813154280665119,1.0,158.5429863798835,0.08369545460186077,True,3.857966686206125,2.291255995992509,73.53317428526329,0.031343430835741766,False,False,False,False,VALID_TARGET,,True,1,VALID_TARGET,,NOT_REVIEWED,False
8,8,8,266.6666666666667,17,1.0,0.903255820274353,4,6,0.9924021661281586,0.9853076040744781,False,,,,,False,,,,587.5740585327148,214.7928810119629,585.7554092407227,158.9584560394287,55.86403581250474,1,0,False,0,0.0,,539.7149176597595,140.04646682739258,79.57907342910767,139.97629928588867,579.5044543743134,210.0346164703369,581.75,222.5,12.666027857960685,0.05154235012249409,1.0,161.01612742085183,0.03363299714730211,True,4.339382705277997,5.723541577660445,73.53317428526329,0.01769224364857242,False,False,False,False,VALID_TARGET,,True,1,VALID_TARGET,,NOT_REVIEWED,False
9,9,9,300.0,17,1.0,0.8954905271530151,4,6,0.9898113906383514,0.9756628572940826,False,,,,,False,,,,591.4801368713379,214.76111221313477,590.0193319320679,159.57093238830566,55.20950914622923,1,0,False,0,0.0,,548.6327877044678,138.4123649597168,76.04373359680176,140.4654884338379,586.6546545028687,208.64510917663574,587.375,222.25,13.62394773738135,0.055225586901059616,1.0,159.72852863623956,0.01751044745623497,True,3.9062075270061065,4.307686617629265,73.53317428526329,0.008901107189203464,False,False,False,False,VALID_TARGET,,True,1,VALID_TARGET,,NOT_REVIEWED,False
