source_frame_index,background_dx_px,background_dy_px,background_feature_count,camera_motion_status,camera_motion_residual_px,camera_motion_method,affine_a,affine_b,affine_tx,affine_c,affine_d,affine_ty,affine_scale,affine_inlier_fraction
0,0.0,0.0,0,INSUFFICIENT_EVIDENCE,,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
1,-1.52587890625e-05,0.930816650390625,350,SUPPORTED,1.277038335800171,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
2,-0.0001373291015625,0.0,350,SUPPORTED,2.255645751953125,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
3,-0.0001068115234375,-0.700927734375,350,SUPPORTED,1.1781444549560547,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
4,-0.0001983642578125,0.6735992431640625,350,SUPPORTED,1.039425253868103,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
5,-6.103515625e-05,-6.866455078125e-05,350,SUPPORTED,1.987323522567749,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
6,-0.0001678466796875,-0.7400970458984375,350,SUPPORTED,1.0515897274017334,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
7,-0.00042724609375,0.7403411865234375,350,SUPPORTED,0.9771326184272766,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
8,-0.0001220703125,-0.655059814453125,350,SUPPORTED,1.011507272720337,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
9,-0.00408935546875,-0.009265899658203125,350,SUPPORTED,1.9779508113861084,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
10,-0.029388427734375,0.6916046142578125,350,SUPPORTED,0.9631674289703369,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
11,-0.18121337890625,-0.842803955078125,350,SUPPORTED,1.0790364742279053,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
12,-0.134033203125,0.66009521484375,350,SUPPORTED,0.8730077147483826,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
13,-0.459259033203125,-2.288818359375e-05,350,SUPPORTED,1.7741764783859253,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
