frame_index,source_frame_index,analysis_frame_index,timestamp_ms,frame_status,frame_rejection_reason,human_target_unavailable,human_target_unavailable_reason,human_target_unavailable_note,human_target_unavailable_start_frame,human_target_unavailable_end_frame,human_target_accepted,human_target_accepted_note,human_target_accepted_start_frame,human_target_accepted_end_frame,manual_review_decision,manual_override_applied,automatic_frame_status,automatic_frame_rejection_reason,valid_target_frame,valid_segment_id,backend_pose_count,selected_pose_index,multiple_pose_candidates,competing_pose_count,competing_pose_max_iou,competing_pose_min_center_distance_fraction,competing_pose_proximity_flag,target_overlap_ambiguous_flag,identity_jump_flag,identity_uncertain_flag,pelvis_x,pelvis_y,shoulder_mid_x,shoulder_mid_y,pelvis_jump_px,shoulder_jump_px,body_scale_px,body_scale_relative_change,pose_bbox_x,pose_bbox_y,pose_bbox_width,pose_bbox_height,pose_centroid_x,pose_centroid_y,pose_scale_px,pose_scale_relative_change,roi_center_x,roi_center_y,roi_pose_centroid_distance_px,roi_pose_centroid_distance_fraction,pose_roi_overlap_fraction,pose_centroid_consistent_with_roi
0,0,0,0.0,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,False,,,,,True,,0.0,21.0,ACCEPTED,True,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,True,1,2,0,True,1,0.0,0.3345548727813963,True,True,False,False,1206.3281288146973,484.91670989990234,1199.0847129821777,384.61563873291016,,,100.56227896268474,,1151.9608612060547,339.5289077758789,154.1840362548828,317.0930709838867,1229.052879333496,498.07544326782227,352.5914529619787,,1227.857142857143,510.0,11.984358096277285,0.02244906092039085,1.0,True
1,1,1,33.333333333333336,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,False,,,,,True,,0.0,21.0,ACCEPTED,True,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,True,1,2,0,True,1,0.0,0.3190672563234204,True,True,False,False,1206.8562393188477,491.2381286621094,1200.790370941162,384.3528938293457,6.343440381352776,1.7257763346957327,107.05721920744271,0.043881869855222716,1154.6015167236328,338.65559005737305,158.317626953125,328.6309394836426,1233.7603302001953,502.97105979919434,364.7776931090639,0.08233409146304002,1231.875,512.2767857142858,9.494788295195052,0.017621900546177946,1.0,True
2,2,2,66.66666666666667,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,False,,,,,True,,0.0,21.0,ACCEPTED,True,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,True,1,2,0,True,1,0.0362547091721452,0.28677645454840556,True,True,False,False,1207.8749313354492,488.88548278808594,1202.9871063232422,384.3125305175781,2.563723080452969,2.197106173087535,104.68712041086937,0.016013136844360166,1148.576515197754,337.54421615600586,168.57917022705078,333.720890045166,1232.8661003112793,504.40466117858887,373.883095481701,0.06151897736364586,1235.892857142857,514.5535714285714,10.590639082685444,0.01947643244194451,1.0,True
3,3,3,100.0,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,False,,,,,True,,0.0,21.0,ACCEPTED,True,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,True,1,2,0,True,1,0.048591387509738446,0.27514346227246783,True,True,False,False,1210.9317092895508,492.3581771850586,1205.006088256836,384.8595733642578,4.6263914485748625,2.0917800850666337,107.66179827610551,0.020097864187258365,1149.4847946166992,337.94090270996094,173.95044708251953,350.3235626220703,1236.460018157959,513.1026840209961,391.13342553204023,0.11654868400668904,1239.9107142857142,516.8303571428571,5.079650644439049,0.009257121786596203,1.0,True
4,4,4,133.33333333333334,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,False,,,,,True,,0.0,21.0,ACCEPTED,True,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,True,1,1,0,False,0,0.0,,False,False,False,False,1210.7637100219727,494.4152145385742,1206.629940032959,386.0576400756836,2.0638862438771555,2.0179837550992725,108.43639609376068,0.005233427767394348,1146.540615081787,339.75085830688477,183.4418830871582,347.8002586364746,1238.2615566253662,513.6509876251221,393.2123400634335,0.014045803882546655,1243.9285714285716,519.1071428571429,7.8666820639744115,0.014207679102274003,1.0,True
5,5,5,166.66666666666666,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,False,,,,,True,,0.0,21.0,ACCEPTED,True,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,True,1,3,0,True,2,0.057810432017168595,0.2590440969016852,True,True,False,False,1218.0076179504395,499.50003814697266,1213.7184219360352,388.1603240966797,8.850402996735811,7.393771418051189,111.42230085243702,0.020173716629044682,1145.9645385742188,337.0400505065918,170.0020294189453,349.4382209777832,1230.9655532836914,511.7591609954834,388.59716968433776,0.03118155029965246,1247.9464285714284,521.3839285714287,19.51886975284803,0.03493892601536398,1.0,True
6,6,6,200.0,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,False,,,,,True,,0.0,21.0,ACCEPTED,True,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,True,1,3,0,True,2,0.04054525540036606,0.2599396853654719,True,True,False,False,1220.183666229248,497.6091537475586,1214.6918144226074,388.1470947265625,2.8828163180565847,0.9734823825570937,109.59973905708961,0.012313803744551075,1141.3123207092285,337.0885353088379,159.91874313354492,344.923152923584,1221.271692276001,509.5501117706299,380.1920380914872,0.056787726564716735,1251.9642857142858,523.6607142857142,33.7808288131974,0.05993519166354582,1.0,True
7,7,7,233.33333333333334,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,False,,,,,True,,0.0,21.0,ACCEPTED,True,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,True,1,3,0,True,2,0.059039504193869864,0.24756205020904737,True,True,False,False,1219.3689270019531,498.10398864746094,1212.8599090576172,386.34779357910156,0.9532374240736087,2.5677542494433245,111.9455870088539,0.015849290469230132,1136.365161895752,337.1781349182129,180.4644432067871,342.6309471130371,1226.5973834991455,508.49360847473145,387.251057043764,0.0476929639528815,1255.9821428571427,525.9375,34.172407496000886,0.06010030868597135,1.0,True
8,8,8,266.6666666666667,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,False,,,,,True,,0.0,21.0,ACCEPTED,True,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,True,1,3,0,True,2,0.029153676711721324,0.26792846157160777,True,True,False,False,1221.986587524414,496.4333801269531,1211.7014541625977,384.28499603271484,3.105330810017472,2.3658299730060444,112.61902158702652,0.004549936935790675,1140.1710357666016,333.8762016296387,153.8423614501953,337.6635322570801,1217.0922164916992,502.7079677581787,371.0581264342565,0.1094045590572694,1260.0,528.2142857142858,49.91643157591734,0.08702949454958815,1.0,True
9,9,9,300.0,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,False,,,,,True,,0.0,21.0,ACCEPTED,True,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,True,1,2,0,True,1,0.0,0.3007540762244525,True,True,False,False,1220.0665473937988,495.4594192504883,1211.6748428344727,381.6573829650879,2.1529407544233847,2.627747818179763,114.11101685689512,0.010080391780328286,1131.588851928711,328.9408493041992,151.51783752441406,344.7846450805664,1207.347770690918,501.3331718444824,376.6086915770889,0.037501373075339725,1259.5408163265306,528.2142857142858,58.70867308671247,0.10315457425616206,1.0,True
