frame_index,source_frame_index,analysis_frame_index,timestamp_ms,observed_landmark_count,observed_fraction,median_confidence,core_observed_count,lower_limb_observed_count,core_median_confidence,lower_limb_median_confidence,human_target_unavailable,human_target_unavailable_reason,human_target_unavailable_note,human_target_unavailable_start_frame,human_target_unavailable_end_frame,human_target_accepted,human_target_accepted_note,human_target_accepted_start_frame,human_target_accepted_end_frame,pelvis_x,pelvis_y,shoulder_mid_x,shoulder_mid_y,body_scale_px,backend_pose_count,selected_pose_index,multiple_pose_candidates,competing_pose_count,competing_pose_max_iou,competing_pose_min_center_distance_fraction,pose_bbox_x,pose_bbox_y,pose_bbox_width,pose_bbox_height,pose_centroid_x,pose_centroid_y,roi_center_x,roi_center_y,roi_pose_centroid_distance_px,roi_pose_centroid_distance_fraction,pose_roi_overlap_fraction,pose_scale_px,pose_scale_relative_change,pose_centroid_consistent_with_roi,pelvis_jump_px,shoulder_jump_px,body_scale_reference_px,body_scale_relative_change,identity_jump_flag,competing_pose_proximity_flag,target_overlap_ambiguous_flag,identity_uncertain_flag,frame_status,frame_rejection_reason,valid_target_frame,valid_segment_id,automatic_frame_status,automatic_frame_rejection_reason,manual_review_decision,manual_override_applied
0,0,0,0.0,17,1.0,0.9935553669929504,4,6,0.9992164373397827,0.9992554187774658,False,,,,,True,,0.0,29.0,1337.3313026428223,383.278564453125,1322.6582412719727,280.07758712768555,104.23886247901301,1,0,False,0,0.0,,1249.8445854187012,237.29138946533203,165.8843879699707,309.2022018432617,1332.7867794036865,391.8924903869629,1361.7857142857142,402.8571428571429,31.00261002051129,0.054538738874673684,1.0,350.88977157633553,,True,,,109.52084715652879,,False,False,False,False,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,True,1,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,ACCEPTED,True
1,1,1,33.333333333333336,17,1.0,0.991707980632782,4,6,0.9990177750587463,0.9991990923881531,False,,,,,True,,0.0,29.0,1331.7780494689941,386.87098693847656,1317.5764350891113,280.2435188293457,107.56906063714888,2,0,True,1,0.0,0.3066262839503184,1241.2430992126465,238.73716735839844,169.27678298950195,320.6832733154297,1325.8814907073975,399.0788040161133,1356.25,405.625,31.066043174410567,0.05481216291214565,1.0,362.61879576708856,0.10709398708347947,True,6.61393378602263,5.084514471390897,109.52084715652879,0.030406979534921823,False,True,True,False,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,True,1,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,ACCEPTED,True
2,2,2,66.66666666666667,17,1.0,0.9941126704216003,4,6,0.9991625845432281,0.9995188117027283,False,,,,,True,,0.0,29.0,1326.603141784668,392.1893081665039,1310.8869552612305,284.814395904541,108.51898590617085,2,0,True,1,0.004942511109111648,0.29369204376014363,1227.8597564697266,242.52645874023438,179.13331604003906,311.93353271484375,1317.426414489746,398.49322509765625,1350.7142857142858,408.39285714285717,34.728735728383576,0.061456120377508326,1.0,359.7099856098841,0.026559419806597706,True,7.42052627687446,8.101978622791533,109.52084715652879,0.008673465314455866,False,True,True,False,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,True,1,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,ACCEPTED,True
3,3,3,100.0,17,1.0,0.992457389831543,4,6,0.9991258084774017,0.9994364678859711,False,,,,,True,,0.0,29.0,1323.0417175292969,394.14915466308594,1306.0790252685547,286.65280532836914,108.82645840522474,2,0,True,1,0.02036278384727899,0.29039077091659193,1220.425464630127,245.2468719482422,175.91418075561523,310.78956604003906,1308.3825550079346,400.6416549682617,1345.1785714285716,411.1607142857142,38.27005922848658,0.0679237174678766,1.0,357.12176263884436,0.023632240237701968,True,4.065063470219181,5.147420715668323,109.52084715652879,0.002807433534680778,False,True,True,False,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,True,1,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,ACCEPTED,True
4,4,4,133.33333333333334,17,1.0,0.9919472336769104,4,6,0.9992242157459259,0.9993694424629211,False,,,,,True,,0.0,29.0,1316.1348114013672,398.38057708740234,1301.371006011963,291.16601181030273,108.2263043679015,2,0,True,1,0.11750202057082026,0.25099737213133094,1223.015396118164,249.52083587646484,176.1988983154297,301.2945327758789,1311.114845275879,400.1681022644043,1339.6428571428569,413.9285714285714,31.67330062845408,0.056382292415367005,1.0,349.03359042964087,0.0738505263536152,True,8.100017777328665,6.521846216295397,109.52084715652879,0.005479815513712079,False,True,True,False,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,True,1,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,ACCEPTED,True
5,5,5,166.66666666666666,17,1.0,0.9870113134384155,4,6,0.9989409148693085,0.9989378452301025,False,,,,,True,,0.0,29.0,1310.6321907043457,402.5671157836914,1296.3744583129883,294.46965408325195,109.03368359833367,2,0,True,1,0.015234981755245547,0.2875325418208335,1217.3959465026855,254.38079071044922,174.46307754516602,303.1628189086914,1304.6274852752686,405.9622001647949,1334.107142857143,416.69642857142856,31.373139317421543,0.05601384678730633,1.0,349.7785873880713,0.0068023301295839994,True,6.914184029284651,5.989953353386447,109.52084715652879,0.007371922801859296,False,True,True,False,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,True,1,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,ACCEPTED,True
6,6,6,200.0,17,1.0,0.9898306727409363,4,6,0.9992909133434296,0.9985505640506744,False,,,,,True,,0.0,29.0,1304.6473846435547,406.30995178222656,1292.5820808410645,297.8724479675293,109.10666244280809,2,0,True,1,0.006578399802121513,0.3300953001254962,1213.4901847839355,255.2706298828125,178.6259651184082,293.2978515625,1302.8031673431396,401.9195556640625,1328.5714285714284,419.4642857142858,31.17404111219043,0.05582380438547173,1.0,343.4106363315805,0.05814373447449323,True,7.05880477823346,5.095206875920806,109.52084715652879,0.0006663466031276925,False,True,True,False,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,True,1,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,ACCEPTED,True
7,7,7,233.33333333333334,17,1.0,0.9872298836708069,4,6,0.9992223381996155,0.9976523518562317,False,,,,,True,,0.0,29.0,1299.4417915344238,405.0425796508789,1288.2580299377441,299.5954360961914,106.03856188808976,2,0,True,1,0.006624416570290996,0.33529499324013434,1213.949390411377,256.2178192138672,181.7334098815918,299.5253143310547,1304.8160953521729,405.98047637939453,1323.0357142857142,422.2321428571429,24.414568957641436,0.043849551344811166,1.0,350.34618050195405,0.06332624655889624,True,5.357651699872565,4.654686273640337,109.52084715652879,0.0280138497315799,False,True,True,False,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,True,1,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,ACCEPTED,True
8,8,8,266.6666666666667,17,1.0,0.9897463321685791,4,6,0.9993083477020264,0.9976536333560944,False,,,,,True,,0.0,29.0,1293.1019096374512,408.65731048583984,1282.974925994873,301.6536521911621,107.48180630293297,1,0,False,0,0.0,,1211.8389778137207,260.2656936645508,182.47251510620117,302.9037399291992,1303.0752353668213,411.7175636291504,1317.5,425.0,19.608593796299413,0.03532263878769585,1.0,353.6197031166091,0.029889493184585197,True,7.297971052065019,5.669871318184968,109.52084715652879,0.013177805434434788,False,False,False,False,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,True,1,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,ACCEPTED,True
9,9,9,300.0,17,1.0,0.9890900254249573,4,6,0.9991770088672638,0.9972713887691498,False,,,,,True,,0.0,29.0,1287.1210479736328,409.66422271728516,1279.5903663635254,303.6717338562012,106.25967654985509,1,0,False,0,0.0,,1206.748119354248,262.53665924072266,185.27223587036133,303.2266159057617,1299.3842372894287,414.1499671936035,1311.9642857142858,427.76785714285717,18.539270348148346,0.03349582853948101,1.0,355.34797308844065,0.015780283084931478,True,6.065029141196792,3.940545330904724,109.52084715652879,0.011158877828357137,False,False,False,False,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,True,1,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,ACCEPTED,True
10,10,10,333.3333333333333,17,1.0,0.9879157543182373,4,6,0.9995854496955872,0.9989564716815948,False,,,,,True,,0.0,29.0,1277.3507118225098,412.8417053222656,1271.021141052246,305.7952995300293,107.23337381231602,2,0,True,1,0.01927800741210273,0.2927729568300318,1195.0821952819824,267.1684112548828,190.34273147583008,285.3225555419922,1290.2535610198975,409.8296890258789,1306.4285714285713,430.5357142857142,26.27490140384253,0.04761363596649894,1.0,342.98588327610975,0.11287430779879587,True,10.274038359423006,8.82842871673838,109.52084715652879,0.008890519821028306,False,True,True,False,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,True,1,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,ACCEPTED,True
11,11,11,366.66666666666663,17,1.0,0.9840547442436218,4,6,0.9991068243980408,0.9979658722877502,False,,,,,True,,0.0,29.0,1274.6214981079102,418.0441207885742,1266.4422454833984,311.6110725402832,106.7468684923292,2,0,True,1,0.027059554827971993,0.28914304251862105,1188.1594505310059,270.78453826904297,190.51726150512695,312.0871047973633,1283.4180812835693,426.8280906677246,1300.8928571428573,433.3035714285714,18.63597709851704,0.033871569495622485,1.0,365.6435257353989,0.2068797224231339,True,5.874839077289305,7.40199299764668,109.52084715652879,0.004442125244808397,False,True,True,False,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,True,1,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,ACCEPTED,True
12,12,12,400.0,17,1.0,0.9879823327064514,4,6,0.9991325438022614,0.9985017478466034,False,,,,,True,,0.0,29.0,1267.91402053833,421.0204315185547,1258.3897895812988,315.90979766845703,105.5412541317004,2,0,True,1,0.04423805829119443,0.2739078545946508,1179.137607574463,272.27479553222656,189.79201889038086,319.75160217285156,1274.0336170196533,432.15059661865234,1295.357142857143,436.07142857142856,21.68099807075302,0.03952355736593361,1.0,371.8361164903057,0.056542575369749125,True,7.338166045260678,9.128038331583184,109.52084715652879,0.011008081035985037,False,True,True,False,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,True,1,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,ACCEPTED,True
13,13,13,433.33333333333337,17,1.0,0.9894158840179443,4,6,0.9994871318340302,0.9990264177322388,False,,,,,True,,0.0,29.0,1258.9536972045898,421.32567596435547,1251.9215240478516,317.3646430969238,104.19859794723513,2,0,True,1,0.062023359183109424,0.2548409081471332,1168.6616287231445,281.6213912963867,191.74840545654297,319.8578567504883,1264.535831451416,441.55031967163086,1288.4693877551022,440.204081632653,23.9713886581338,0.04409369203784531,1.0,372.929617381273,0.009984408625002964,True,8.965521090090744,6.629859292014618,109.52084715652879,0.012259366315404096,False,True,True,False,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,True,1,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,ACCEPTED,True
14,14,14,466.6666666666667,17,1.0,0.9882624745368958,4,6,0.9994544386863708,0.9990033209323883,False,,,,,True,,0.0,29.0,1253.680820465088,425.9532470703125,1245.2074928283691,323.0888481140137,103.21279888598988,2,0,True,1,0.06234959331573621,0.25299709225792477,1161.4658946990967,287.5798568725586,191.00496101379395,314.14051055908203,1256.9683752059937,444.6501121520996,1281.5816326530612,444.3367346938776,24.61525233644677,0.04567412422330446,1.0,367.6508608805393,0.04819864562578838,True,7.015528736358303,8.822966524580107,109.52084715652879,0.009001017494288801,False,True,True,False,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,True,1,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,ACCEPTED,True
15,15,15,500.0,17,1.0,0.9890391826629639,4,6,0.9989651441574097,0.99890998005867,False,,,,,True,,0.0,29.0,1247.6849403381348,432.1300354003906,1238.3415069580078,329.36318588256836,103.1907220012904,2,0,True,1,0.07644047150937765,0.23960839943225165,1158.5236911773682,289.9832077026367,184.24265098571777,320.80921173095703,1250.645016670227,450.38781356811523,1274.6938775510203,448.46938775510205,24.125257869373765,0.045142841938846164,1.0,369.95121945154204,0.021003842014799486,True,8.60832693218495,9.301025556674555,109.52084715652879,0.00020157700814653673,False,True,True,False,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,True,1,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,ACCEPTED,True
