frame_index,source_frame_index,analysis_frame_index,timestamp_ms,observed_landmark_count,observed_fraction,median_confidence,core_observed_count,lower_limb_observed_count,core_median_confidence,lower_limb_median_confidence,human_target_unavailable,human_target_unavailable_reason,human_target_unavailable_note,human_target_unavailable_start_frame,human_target_unavailable_end_frame,human_target_accepted,human_target_accepted_note,human_target_accepted_start_frame,human_target_accepted_end_frame,pelvis_x,pelvis_y,shoulder_mid_x,shoulder_mid_y,body_scale_px,backend_pose_count,selected_pose_index,multiple_pose_candidates,competing_pose_count,competing_pose_max_iou,competing_pose_min_center_distance_fraction,pose_bbox_x,pose_bbox_y,pose_bbox_width,pose_bbox_height,pose_centroid_x,pose_centroid_y,roi_center_x,roi_center_y,roi_pose_centroid_distance_px,roi_pose_centroid_distance_fraction,pose_roi_overlap_fraction,pose_scale_px,pose_scale_relative_change,pose_centroid_consistent_with_roi,pelvis_jump_px,shoulder_jump_px,body_scale_reference_px,body_scale_relative_change,identity_jump_flag,competing_pose_proximity_flag,target_overlap_ambiguous_flag,identity_uncertain_flag,frame_status,frame_rejection_reason,valid_target_frame,valid_segment_id,automatic_frame_status,automatic_frame_rejection_reason,manual_review_decision,manual_override_applied
0,0,0,0.0,17,1.0,0.9316878318786621,4,6,0.9840567708015442,0.9461778700351715,False,,,,,True,,0.0,2.0,288.2362422943115,269.548828125,290.22851371765137,241.75588607788086,27.864256190660818,2,0,True,1,0.5681911743312043,0.19266653028035,272.51440811157227,231.43648719787598,29.877723693847656,83.36931419372559,287.4532699584961,273.12114429473877,283.0,277.0,5.905686658254178,0.041654465762489136,1.0,88.56139634320385,,True,,,45.28259450998394,,False,True,True,False,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,True,1,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,ACCEPTED,True
1,1,1,33.333333333333336,17,1.0,0.9324500560760498,4,6,0.9860210716724396,0.9311323761940002,False,,,,,True,,0.0,2.0,281.8227300643921,268.9737091064453,286.027889251709,242.850341796875,26.459661437391873,1,0,False,0,0.0,,267.525728225708,232.42835426330566,28.783723831176758,77.39227867126465,281.9175901412964,271.124493598938,278.0,277.5,7.482953586997939,0.05212482283770622,1.0,82.57159048680204,0.13227611891984634,True,6.439246928704431,4.340861576313245,45.28259450998394,0.031018424815726038,False,False,False,False,VALID_TARGET,,True,1,VALID_TARGET,,ACCEPTED,False
2,2,2,66.66666666666667,17,1.0,0.9597868323326111,4,6,0.9926773011684418,0.9821203052997589,False,,,,,True,,0.0,2.0,272.10648250579834,271.197546005249,274.93870067596436,245.15140628814697,26.199672782808175,1,0,False,0,0.0,,257.5715675354004,233.4503002166748,28.50957489013672,80.7682056427002,271.82635498046875,273.8344030380249,273.0,278.0,4.3277754888033035,0.029776000567143284,1.0,85.65219730490176,0.06803070476495135,True,9.967493023441747,11.325413946581287,45.28259450998394,0.005741469926736969,False,False,False,False,VALID_TARGET,,True,1,VALID_TARGET,,ACCEPTED,False
3,3,3,100.0,17,1.0,0.949569046497345,4,6,0.9865180850028992,0.9528205990791321,False,,,,,False,,,,267.2002258300781,273.44640731811523,270.0784111022949,246.42446517944336,27.17479176381921,1,0,False,0,0.0,,254.7797908782959,235.57757759094238,25.312509536743164,79.79531669616699,267.4360456466675,275.4752359390259,264.25,278.5,4.3931861430184656,0.029688264918797558,1.0,83.7138919516307,0.04280464435057278,True,5.397104017207331,5.024250559101187,45.28259450998394,0.021534079298306134,False,False,False,False,VALID_TARGET,,True,1,VALID_TARGET,,NOT_REVIEWED,False
4,4,4,133.33333333333334,17,1.0,0.9523847699165344,4,6,0.9904387891292572,0.946580559015274,False,,,,,False,,,,261.6155433654785,270.9071292877197,264.6096363067627,247.00302505493164,24.09088607156335,1,0,False,0,0.0,,248.6670036315918,235.78966903686523,25.365821838378906,69.22961807250977,261.34991455078125,270.4044780731201,255.5,279.0,10.39733126561403,0.06888218187046698,1.0,73.73035288130629,0.22047188723082628,True,6.134868470151227,5.499293526788105,45.28259450998394,0.06810355558526841,False,False,False,False,VALID_TARGET,,True,1,VALID_TARGET,,NOT_REVIEWED,False
5,5,5,166.66666666666666,17,1.0,0.9446728229522705,4,6,0.9903751015663147,0.9603700339794159,False,,,,,False,,,,249.51185417175293,277.73987197875977,253.02845573425293,250.10713386535645,27.85560450238533,1,0,False,0,0.0,,239.90660667419434,238.88304710388184,21.084531784057617,83.7753849029541,250.44887256622314,280.7707395553589,247.5,278.25,3.8794300248585993,0.025516906342392936,1.0,86.38791927226309,0.27952387728503614,True,13.899124604818486,11.989963926552678,45.28259450998394,0.08313831112287375,False,False,False,False,VALID_TARGET,,True,1,VALID_TARGET,,NOT_REVIEWED,False
6,6,6,200.0,17,1.0,0.9648808836936951,4,6,0.9922569692134857,0.9543186724185944,False,,,,,False,,,,243.24609565734863,280.2615623474121,246.85865020751953,251.6602840423584,28.828521832745718,1,0,False,0,0.0,,237.6438751220703,239.9681911468506,16.723400115966797,84.95060920715332,246.0055751800537,282.44349575042725,239.5,277.5,8.170719592411865,0.05333963347619217,1.0,86.58104940519722,0.004264997070597358,True,6.754158132305161,6.362293274443672,45.28259450998394,0.021485459057472494,False,False,False,False,VALID_TARGET,,True,1,VALID_TARGET,,NOT_REVIEWED,False
7,7,7,233.33333333333334,17,1.0,0.8649535775184631,4,6,0.9561561346054077,0.8824574053287506,False,,,,,False,,,,237.23223304748535,286.24253845214844,240.8344612121582,253.60537147521973,32.83535771131918,2,0,True,1,0.23616812219787842,0.2733256983489478,231.25607681274414,241.03743743896484,17.532978057861328,88.21757507324219,240.0225658416748,285.14622497558594,232.0,277.25,11.256639442972068,0.07199799414618192,1.0,89.9430145780125,0.07424409332539518,True,8.481663672637493,6.330420062942711,45.28259450998394,0.08848512153361786,False,True,True,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,NOT_REVIEWED,False
8,8,8,266.6666666666667,17,1.0,0.934794008731842,4,6,0.9725643396377563,0.923021137714386,False,,,,,False,,,,222.36826133728027,283.8491744995117,227.32216835021973,252.70606994628906,31.534650083769893,2,1,True,1,0.5956204230515696,0.0605070891712189,218.35033416748047,240.25011444091797,17.855297088623047,88.37809753417969,227.277982711792,284.4391632080078,224.5,277.0,7.9409279799273005,0.04978271336368025,1.0,90.16373859753138,0.004874367776568494,True,15.055425799742688,13.542185998823474,45.28259450998394,0.02872422928996502,False,True,True,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,NOT_REVIEWED,False
9,9,9,300.0,17,1.0,0.9308093190193176,4,6,0.9869816601276398,0.9937769770622253,False,,,,,False,,,,217.21735000610352,280.81268310546875,222.05223655700684,251.0517978668213,30.151059983822297,1,0,False,0,0.0,,209.22174453735352,240.21347427368164,20.515087127685547,90.67014694213867,219.4792881011963,285.548547744751,216.16666666666669,278.6666666666667,7.637653300680751,0.048127125227012506,1.0,92.96205863880999,0.06179681335753938,True,5.979311626578943,5.523476913867086,45.28259450998394,0.0305545677079643,False,False,False,False,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,False,,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,NOT_REVIEWED,False
10,10,10,333.3333333333333,17,1.0,0.883368968963623,4,6,0.9596636593341827,0.9594516456127167,False,,,,,False,,,,213.96321868896484,274.3054542541504,216.22772407531738,250.71598625183105,23.697910989732144,1,0,False,0,0.0,,208.23086547851562,239.04009246826172,16.38188934326172,84.0325927734375,216.42181015014648,281.05638885498047,207.83333333333331,280.3333333333333,8.618859745947935,0.054586687246270964,1.0,85.61450196480297,0.16226006379530725,True,7.275534203933944,5.834185040784924,45.28259450998394,0.14250837576604314,False,False,False,False,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,False,,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,NOT_REVIEWED,False
