source_frame_index,background_dx_px,background_dy_px,background_feature_count,camera_motion_status,camera_motion_residual_px,camera_motion_method,affine_a,affine_b,affine_tx,affine_c,affine_d,affine_ty,affine_scale,affine_inlier_fraction
0,0.0,0.0,0,INSUFFICIENT_EVIDENCE,,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
1,1.0774993896484375,-0.2647857666015625,350,SUPPORTED,2.774033546447754,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
2,0.9376220703125,-0.1138916015625,349,SUPPORTED,3.0261034965515137,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
3,0.5133056640625,-0.03762054443359375,350,SUPPORTED,1.060621738433838,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
4,1.18011474609375,-0.0342254638671875,349,SUPPORTED,2.5024473667144775,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
5,1.083160400390625,-0.0032958984375,335,SUPPORTED,2.0286147594451904,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
6,0.491058349609375,0.00113677978515625,332,SUPPORTED,0.9601958990097046,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
7,1.4481048583984375,0.009674072265625,334,SUPPORTED,2.2075939178466797,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
8,1.175445556640625,0.038543701171875,315,SUPPORTED,1.8396995067596436,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
9,0.638824462890625,0.00505828857421875,330,SUPPORTED,0.9708423018455505,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
10,1.5066070556640625,0.0317535400390625,338,SUPPORTED,2.648315191268921,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
11,1.6665191650390625,0.018934249877929688,310,SUPPORTED,2.852667808532715,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
12,0.7366790771484375,0.0050563812255859375,326,SUPPORTED,1.2973697185516357,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
13,1.59820556640625,0.09775543212890625,328,SUPPORTED,3.0126736164093018,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
14,1.31610107421875,0.184906005859375,327,SUPPORTED,2.7304983139038086,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
15,0.61212158203125,0.04169464111328125,336,SUPPORTED,1.1503751277923584,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
16,1.33966064453125,0.117584228515625,317,SUPPORTED,3.1015360355377197,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
17,1.318817138671875,0.21408843994140625,340,SUPPORTED,2.6975936889648438,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
18,0.59002685546875,0.081024169921875,339,SUPPORTED,0.9902339577674866,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
19,1.36871337890625,0.0164031982421875,323,SUPPORTED,2.4266247749328613,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
20,1.517578125,-0.04461669921875,349,SUPPORTED,2.1108453273773193,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
21,0.7525634765625,-0.03607177734375,337,SUPPORTED,1.1359140872955322,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
22,1.8025844097137451,-0.20703887939453125,334,SUPPORTED,2.4683070182800293,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
23,1.6656036376953125,-0.07210540771484375,328,SUPPORTED,2.4801974296569824,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
24,0.804901123046875,-0.0055828094482421875,338,SUPPORTED,1.1764378547668457,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
25,1.95489501953125,0.016401290893554688,349,SUPPORTED,2.601304054260254,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
26,2.051025390625,0.03759765625,339,SUPPORTED,2.444809675216675,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
27,0.86767578125,0.045257568359375,341,SUPPORTED,1.3030619621276855,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
28,2.52203369140625,0.0287322998046875,339,SUPPORTED,2.522437334060669,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
29,2.65704345703125,-0.0139312744140625,348,SUPPORTED,2.6563591957092285,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
30,0.8791961669921875,-0.043944358825683594,346,SUPPORTED,1.2944111824035645,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
31,1.7263336181640625,-0.0618438720703125,348,SUPPORTED,2.6243770122528076,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
32,1.0463409423828125,-0.20549774169921875,348,SUPPORTED,2.5646374225616455,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
33,0.173828125,-0.1791534423828125,331,SUPPORTED,1.063125729560852,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
34,0.00354766845703125,-0.14996719360351562,309,SUPPORTED,2.229910373687744,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
35,0.024749755859375,-0.035000622272491455,347,SUPPORTED,2.488396167755127,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
36,0.0033721923828125,-0.045806884765625,325,SUPPORTED,1.012228012084961,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
37,-0.085693359375,0.0626220703125,348,SUPPORTED,2.487398624420166,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
38,-0.48455810546875,0.08443069458007812,348,SUPPORTED,1.9278264045715332,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
39,-0.399871826171875,0.053802490234375,349,SUPPORTED,0.8904128670692444,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
40,-0.935699462890625,0.2401580810546875,343,SUPPORTED,1.991703987121582,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
41,-0.8212890625,0.39118194580078125,348,SUPPORTED,2.057556390762329,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
42,-0.446044921875,0.2513580322265625,349,SUPPORTED,0.9028750061988831,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
43,-0.91937255859375,0.564208984375,347,SUPPORTED,2.3707656860351562,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
