frame_index,source_frame_index,analysis_frame_index,timestamp_ms,frame_status,frame_rejection_reason,human_target_unavailable,human_target_unavailable_reason,human_target_unavailable_note,human_target_unavailable_start_frame,human_target_unavailable_end_frame,human_target_accepted,human_target_accepted_note,human_target_accepted_start_frame,human_target_accepted_end_frame,manual_review_decision,manual_override_applied,automatic_frame_status,automatic_frame_rejection_reason,valid_target_frame,valid_segment_id,backend_pose_count,selected_pose_index,multiple_pose_candidates,competing_pose_count,competing_pose_max_iou,competing_pose_min_center_distance_fraction,competing_pose_proximity_flag,target_overlap_ambiguous_flag,identity_jump_flag,identity_uncertain_flag,pelvis_x,pelvis_y,shoulder_mid_x,shoulder_mid_y,pelvis_jump_px,shoulder_jump_px,body_scale_px,body_scale_relative_change,pose_bbox_x,pose_bbox_y,pose_bbox_width,pose_bbox_height,pose_centroid_x,pose_centroid_y,pose_scale_px,pose_scale_relative_change,roi_center_x,roi_center_y,roi_pose_centroid_distance_px,roi_pose_centroid_distance_fraction,pose_roi_overlap_fraction,pose_centroid_consistent_with_roi
0,0,0,0.0,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,False,,,,,True,,0.0,7.0,ACCEPTED,True,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,True,1,1,0,False,0,0.0,,False,False,False,False,150.9490089416504,229.3396759033203,148.88099670410156,159.52301597595215,,,69.84728110691516,,92.3058967590332,139.5622386932373,89.07424545288086,190.11841011047363,136.84301948547363,234.62144374847412,209.95054433350322,,130.0,238.0,7.631615688915187,0.027760141006113657,1.0,True
1,1,1,33.333333333333336,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,False,,,,,True,,0.0,7.0,ACCEPTED,True,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,True,1,1,0,False,0,0.0,,False,False,False,False,151.6008186340332,230.1841697692871,149.09070587158203,161.669189453125,1.0667829042217178,2.156394798974798,68.56094510582757,0.01603468087767075,92.5732307434082,141.24223709106445,96.15356063842773,185.7505760192871,140.65001106262207,234.117525100708,209.16209913592078,0.009828277465667785,132.375,238.625,9.42301109275931,0.0338616472939036,1.0,True
2,2,2,66.66666666666667,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,False,,,,,True,,0.0,7.0,ACCEPTED,True,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,True,1,1,0,False,0,0.0,,False,False,False,False,151.58913040161133,229.31776809692383,148.39020156860352,161.90694618225098,0.8664805091004866,0.7397530268515966,67.48668058876792,0.013391126964255406,96.26858520507812,140.59458541870117,101.5887451171875,187.66330337524414,147.06295776367188,234.42623710632324,213.39584946337126,0.05277535213117295,134.75,239.25,13.224130116736612,0.04694295112527475,1.0,True
3,3,3,100.0,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,False,,,,,True,,0.0,7.0,ACCEPTED,True,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,True,1,1,0,False,0,0.0,,False,False,False,False,150.98902893066406,229.65983963012695,149.79546737670898,159.83767890930176,0.6907493823819233,2.5013274552383207,69.8323615303666,0.02923982949055922,101.34907531738281,139.4139518737793,92.80374145507812,177.30917739868164,147.75094604492188,228.06854057312012,200.12765630431528,0.16539321215364935,137.125,239.875,15.884055324385889,0.05569629760506734,1.0,True
4,4,4,133.33333333333334,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,False,,,,,True,,0.0,7.0,ACCEPTED,True,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,True,1,2,0,True,1,0.0,0.3374069881294031,True,True,False,False,153.52164840698242,230.67880630493164,150.47930145263672,161.26441383361816,2.729918404676155,1.5821509370676616,69.48103163563533,0.004379464416791899,101.31341552734375,138.90504455566406,100.33650207519531,191.8701934814453,151.4816665649414,234.84014129638672,216.521557345436,0.20435638224556338,139.5,240.5,13.25120123680498,0.0458947884253743,1.0,True
5,5,5,166.66666666666666,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,False,,,,,True,,0.0,7.0,ACCEPTED,True,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,True,1,1,0,False,0,0.0,,False,False,False,False,154.28137969970703,229.1833839416504,153.5543212890625,157.47049522399902,1.6773430423579683,4.883601684292698,71.71657425004862,0.027866912206642017,105.66218185424805,135.2866973876953,106.00006484985352,192.80665588378906,158.6622142791748,231.69002532958984,220.0236812283237,0.043655342623307065,140.8,238.60000000000002,19.152191751882242,0.06558285248900379,1.0,True
6,6,6,200.0,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,False,,,,,True,,0.0,7.0,ACCEPTED,True,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,True,1,2,0,True,1,0.09370459585447942,0.22956705609958397,True,True,False,False,154.03279495239258,231.1369400024414,154.87218475341797,157.35091400146484,1.9693084215659824,1.3232776652939349,73.79080029553043,0.02585603814192635,109.70832824707031,134.2423152923584,86.18141174316406,195.61678504943848,152.79903411865234,232.05070781707764,213.75959001439676,0.07808434461837027,142.09999999999997,236.7,11.665558232432366,0.039497454240788495,1.0,True
7,7,7,233.33333333333334,VALID_TARGET,,False,,,,,True,,0.0,7.0,ACCEPTED,False,VALID_TARGET,,True,1,1,0,False,0,0.0,,False,False,False,False,157.18288040161133,223.55990600585938,158.32372665405273,153.94025421142578,8.205759107038151,4.852395459484599,69.62899860079771,0.05187848431107101,114.11740112304688,129.50236129760742,77.61911010742188,192.62778091430664,152.9269561767578,225.81625175476074,207.67808799639454,0.07580829894609803,143.40000000000003,234.8,13.094679321300802,0.0438408381325522,1.0,True
8,8,8,266.6666666666667,VALID_TARGET,,False,,,,,False,,,,NOT_REVIEWED,False,VALID_TARGET,,True,1,1,0,False,0,0.0,,False,False,False,False,158.25261688232422,221.54749298095703,158.85826873779297,154.6343116760254,2.279066107194919,0.8760428091456431,66.91592221972799,0.03381955719999833,122.39103698730469,132.63021278381348,67.91246032714844,191.5210018157959,156.3472671508789,228.39071369171143,203.20530604345106,0.055754974742380704,144.7,232.89999999999998,12.489695556500234,0.041350940821882835,1.0,True
9,9,9,300.0,VALID_TARGET,,False,,,,,False,,,,NOT_REVIEWED,False,VALID_TARGET,,True,1,1,0,False,0,0.0,,False,False,False,False,157.69466400146484,222.2141342163086,164.59555435180664,154.9284496307373,0.8693226983867,5.744820567534755,67.63864012364846,0.009008961067828126,124.68364715576172,129.721586227417,89.34874725341797,191.6530475616455,169.3580207824707,225.54811000823975,211.4570624865046,0.1028613683615759,146.0,231.0,23.985834139270388,0.07853577637408798,1.0,True
