source_frame_index,background_dx_px,background_dy_px,background_feature_count,camera_motion_status,camera_motion_residual_px,camera_motion_method,affine_a,affine_b,affine_tx,affine_c,affine_d,affine_ty,affine_scale,affine_inlier_fraction
0,0.0,0.0,0,INSUFFICIENT_EVIDENCE,,partial_affine_ransac_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
1,11.25577083121694,0.8992708333970046,48,SUPPORTED,1.1608435058958173,partial_affine_ransac_sparse_flow,0.9901143875948102,1.0800257580029296e-08,11.25577083121694,-1.0800257580029296e-08,0.9901143875948102,0.8992708333970046,0.9901143875948103,0.48
2,-18.17546008951921,18.932118191025268,55,SUPPORTED,1.3864363302968339,partial_affine_ransac_sparse_flow,1.0121457416486213,0.026568546575433807,-18.17546008951921,-0.026568546575433807,1.0121457416486213,18.932118191025268,1.0124943901101717,0.5238095238095238
3,11.257817361308568,1.5895934988581675,70,SUPPORTED,1.007830018516871,partial_affine_ransac_sparse_flow,0.9902644848594945,0.0009004038956289868,11.257817361308568,-0.0009004038956289868,0.9902644848594945,1.5895934988581675,0.9902648942082191,0.603448275862069
4,-13.711239817037642,13.62670334458365,83,SUPPORTED,1.277169625507031,partial_affine_ransac_sparse_flow,1.0116219037908782,0.019631603071806978,-13.711239817037642,-0.019631603071806978,1.0116219037908782,13.62670334458365,1.011812371968563,0.6747967479674797
5,8.382164446439111,3.6288525457615854,77,SUPPORTED,1.1338978749803195,partial_affine_ransac_sparse_flow,0.9928172859881667,0.002859168705379091,8.382164446439111,-0.002859168705379091,0.9928172859881667,3.6288525457615854,0.9928214029736642,0.5877862595419847
6,-13.125084883716184,13.276201747394893,97,SUPPORTED,0.8707505374613043,partial_affine_ransac_sparse_flow,1.0120350807792182,0.018039659334353093,-13.125084883716184,-0.018039659334353093,1.0120350807792182,13.276201747394893,1.0121958476681765,0.6689655172413793
7,-11.681376034524359,13.613441935730778,75,SUPPORTED,1.146120972971526,partial_affine_ransac_sparse_flow,1.010832613949257,0.01850647275461429,-11.681376034524359,-0.01850647275461429,1.010832613949257,13.613441935730778,1.0110020093735248,0.5813953488372093
8,-12.054755524079459,11.752616232223604,66,SUPPORTED,1.173833546876478,partial_affine_ransac_sparse_flow,1.012304505905275,0.01551618832861191,-12.054755524079459,-0.01551618832861191,1.012304505905275,11.752616232223604,1.012423411807714,0.532258064516129
9,-13.517752126680469,8.407854196241715,71,SUPPORTED,1.1738804566019878,partial_affine_ransac_sparse_flow,1.0143026350024897,0.014007293796283514,-13.517752126680469,-0.014007293796283514,1.0143026350024897,8.407854196241715,1.0143993491975876,0.5182481751824818
10,30.68527748058018,31.26500724730021,35,SUPPORTED,1.3546817726664808,partial_affine_ransac_sparse_flow,0.9710821098672662,0.025422492167347967,30.68527748058018,-0.025422492167347967,0.9710821098672662,31.26500724730021,0.9714148275645478,0.30701754385964913
11,-19.49848164835345,4.29604610274875,51,SUPPORTED,1.2401814575014902,partial_affine_ransac_sparse_flow,1.0213933108761117,0.011287089752268694,-19.49848164835345,-0.011287089752268694,1.0213933108761117,4.29604610274875,1.0214556739758907,0.4594594594594595
12,-20.85888019313215,-0.3574682323315769,52,SUPPORTED,1.2676314692768385,partial_affine_ransac_sparse_flow,1.02382262103857,0.009394518070406019,-20.85888019313215,-0.009394518070406019,1.02382262103857,-0.3574682323315769,1.023865721821012,0.43333333333333335
13,4.617477507463725,3.4658306088234334,62,SUPPORTED,1.4568206195873747,partial_affine_ransac_sparse_flow,0.9967336311252458,0.00354094588803268,4.617477507463725,-0.00354094588803268,0.9967336311252458,3.4658306088234334,0.9967399207987506,0.5961538461538461
14,18.8107299154849,8.271312590176722,56,SUPPORTED,0.802992222030898,partial_affine_ransac_sparse_flow,0.9830125169275559,0.006170302126734284,18.8107299154849,-0.006170302126734284,0.9830125169275559,8.271312590176722,0.9830318820183725,0.47863247863247865
15,5.312347748269038,4.464490358976423,78,SUPPORTED,1.7365962057629734,partial_affine_ransac_sparse_flow,0.9965397429249009,0.004056845247508251,5.312347748269038,-0.004056845247508251,0.9965397429249009,4.464490358976423,0.9965480004606851,0.6964285714285714
16,10.856421242186608,8.898714726260405,65,SUPPORTED,1.0014874085623595,partial_affine_ransac_sparse_flow,0.9900888983970606,0.007183632147214529,10.856421242186608,-0.007183632147214529,0.9900888983970606,8.898714726260405,0.9901149586285077,0.5909090909090909
17,3.8409641418612512,5.054490822336693,96,SUPPORTED,1.2316413615148107,partial_affine_ransac_sparse_flow,0.997271794968412,0.0039142893475364645,3.8409641418612512,-0.0039142893475364645,0.997271794968412,5.054490822336693,0.9972794767268675,0.75
18,-6.175896907201078,15.004167058703368,66,SUPPORTED,1.9120572445457724,partial_affine_ransac_sparse_flow,1.0051700082937878,0.015361936677201761,-6.175896907201078,-0.015361936677201761,1.0051700082937878,15.004167058703368,1.0052873890941874,0.5454545454545454
19,-5.558954947844952,16.181135003764624,70,SUPPORTED,1.444416443753187,partial_affine_ransac_sparse_flow,1.004625580026072,0.01514012385427407,-5.558954947844952,-0.01514012385427407,1.004625580026072,16.181135003764624,1.0047396575198195,0.5785123966942148
20,6.114515640025464,15.083833491163425,55,SUPPORTED,0.7678082867195397,partial_affine_ransac_sparse_flow,0.9938949705121528,0.012869727549245407,6.114515640025464,-0.012869727549245407,0.9938949705121528,15.083833491163425,0.993978290656564,0.46218487394957986
21,-5.413125862465862,17.409974519539485,64,SUPPORTED,1.290662262613728,partial_affine_ransac_sparse_flow,1.0039709486055663,0.015868051041265648,-5.413125862465862,-0.015868051041265648,1.0039709486055663,17.409974519539485,1.0040963403418066,0.5818181818181818
22,-3.0118498844660473,16.525326115488728,59,SUPPORTED,1.0216539475570376,partial_affine_ransac_sparse_flow,1.001982175398065,0.015118465507954773,-3.0118498844660473,-0.015118465507954773,1.001982175398065,16.525326115488728,1.0020962268239282,0.5086206896551724
23,-7.2493761720207255,17.010328500504546,56,SUPPORTED,1.405401485225637,partial_affine_ransac_sparse_flow,1.0055307071396222,0.01572037317048885,-7.2493761720207255,-0.01572037317048885,1.0055307071396222,17.010328500504546,1.0056535850546788,0.4827586206896552
24,21.68422403589428,5.8798577251362865,45,SUPPORTED,0.8823892394003198,partial_affine_ransac_sparse_flow,0.9807151533946215,0.0032577684007540904,21.68422403589428,-0.0032577684007540904,0.9807151533946215,5.8798577251362865,0.980720564255073,0.4166666666666667
25,5.707397393779571,6.9200574763801805,48,SUPPORTED,0.5719538613996881,partial_affine_ransac_sparse_flow,0.994745415843939,0.005844802086014415,5.707397393779571,-0.005844802086014415,0.994745415843939,6.9200574763801805,0.9947625867783507,0.4752475247524752
26,8.09994056923752,-3.0293274882532515,63,SUPPORTED,0.7310400099205918,partial_affine_ransac_sparse_flow,0.9934782636703556,-0.0030443744804934396,8.09994056923752,0.0030443744804934396,0.9934782636703556,-3.0293274882532515,0.993482928188221,0.65625
27,12.643501441945398,2.9325709512127305,56,SUPPORTED,0.6026003452350317,partial_affine_ransac_sparse_flow,0.9887977608100279,0.0017171746692092181,12.643501441945398,-0.0017171746692092181,0.9887977608100279,2.9325709512127305,0.9887992518563967,0.5436893203883495
28,5.247344858989452,2.403199028733477,86,SUPPORTED,0.7431664795437569,partial_affine_ransac_sparse_flow,0.9951708741402703,0.0011272632701448137,5.247344858989452,-0.0011272632701448137,0.9951708741402703,2.403199028733477,0.9951715125844338,0.7107438016528925
29,5.248628223368017,1.7430665182484746,74,SUPPORTED,0.7877821442850228,partial_affine_ransac_sparse_flow,0.9951726989817349,0.0007363522048409692,5.248628223368017,-0.0007363522048409692,0.9951726989817349,1.7430665182484746,0.995172971404047,0.6434782608695652
30,-2.9596350180860047,5.171259321601024,75,SUPPORTED,0.7686425179628764,partial_affine_ransac_sparse_flow,1.0018805351620457,0.004553268887957461,-2.9596350180860047,-0.004553268887957461,1.0018805351620457,5.171259321601024,1.0018908817801233,0.5597014925373134
31,3.965416488283168,3.610215016304713,70,SUPPORTED,0.7945913183900429,partial_affine_ransac_sparse_flow,0.9960574971908055,0.0022537406361949467,3.965416488283168,-0.0022537406361949467,0.9960574971908055,3.610215016304713,0.9960600469132705,0.5737704918032787
32,-8.01788878297491,6.103645344900599,62,SUPPORTED,0.9613889898003889,partial_affine_ransac_sparse_flow,1.0063747700506738,0.005781675953548108,-8.01788878297491,-0.005781675953548108,1.0063747700506738,6.103645344900599,1.0063913779297686,0.5794392523364486
33,-3.592652727939224,3.6433776798842312,69,SUPPORTED,0.891450963603924,partial_affine_ransac_sparse_flow,1.002701450202296,0.0032633822785328886,-3.592652727939224,-0.0032633822785328886,1.002701450202296,3.6433776798842312,1.002706760674168,0.6106194690265486
34,-9.645713738063852,4.12479768831232,59,SUPPORTED,0.7531817453320188,partial_affine_ransac_sparse_flow,1.0080368544565719,0.00387624286909988,-9.645713738063852,-0.00387624286909988,1.0080368544565719,4.12479768831232,1.0080443071618828,0.5784313725490197
35,-6.3162174500193204,2.5990866583180146,50,SUPPORTED,0.6930936959641077,partial_affine_ransac_sparse_flow,1.0050254761452262,0.002380593587827481,-6.3162174500193204,-0.002380593587827481,1.0050254761452262,2.5990866583180146,1.0050282955851388,0.4716981132075472
36,-6.765145039050481,1.1373887984238058,48,SUPPORTED,0.6717712916191823,partial_affine_ransac_sparse_flow,1.0057887475323126,0.0010280607907027968,-6.765145039050481,-0.0010280607907027968,1.0057887475323126,1.1373887984238058,1.005789272945187,0.46601941747572817
37,-2.135398023114177,-0.9958397257414062,51,SUPPORTED,1.453287456845845,partial_affine_ransac_sparse_flow,1.0017725937124553,-0.0012394593175933232,-2.135398023114177,0.0012394593175933232,1.0017725937124553,-0.9958397257414062,1.0017733604826893,0.5204081632653061
38,-10.506113400194895,4.439287488270574,57,SUPPORTED,1.6512911087045112,partial_affine_ransac_sparse_flow,1.0087181493002635,0.0040859067362952126,-10.506113400194895,-0.0040859067362952126,1.0087181493002635,4.439287488270574,1.008726424439058,0.49137931034482757
39,-7.8421063010782355,-0.8534952480191982,60,SUPPORTED,1.234515096918091,partial_affine_ransac_sparse_flow,1.0066263092989312,-0.00043825338563414494,-7.8421063010782355,0.00043825338563414494,1.0066263092989312,-0.8534952480191982,1.0066264046997861,0.4838709677419355
