source_frame_index,background_dx_px,background_dy_px,background_feature_count,camera_motion_status,camera_motion_residual_px,camera_motion_method,affine_a,affine_b,affine_tx,affine_c,affine_d,affine_ty,affine_scale,affine_inlier_fraction
5,0.0,0.0,0,INSUFFICIENT_EVIDENCE,,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
6,-0.00016021728515625,0.4989356994628906,220,SUPPORTED,0.2313230037689209,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
7,0.14546966552734375,-0.15192604064941406,206,UNSTABLE_TRANSFORM,16.069984436035156,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
8,0.24786376953125,-0.3753509521484375,197,UNSTABLE_TRANSFORM,16.26555824279785,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
9,0.0777587890625,-0.6055564880371094,195,UNSTABLE_TRANSFORM,9.536069869995117,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
10,2.8038330078125,-1.4980392456054688,201,UNSTABLE_TRANSFORM,10.166097640991211,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
11,0.00441741943359375,-0.7721843719482422,191,UNSTABLE_TRANSFORM,21.411632537841797,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
12,0.198211669921875,-0.25823116302490234,187,SUPPORTED,7.636384010314941,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
13,1.26812744140625,-0.008539199829101562,188,UNSTABLE_TRANSFORM,9.715265274047852,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
14,6.29541015625,-1.1566314697265625,165,UNSTABLE_TRANSFORM,16.718585968017578,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
15,0.02506256103515625,-0.42345666885375977,168,SUPPORTED,3.925856590270996,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
16,0.15973281860351562,-0.0035381317138671875,130,SUPPORTED,6.759897232055664,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
17,0.2457733154296875,-0.2898826599121094,173,SUPPORTED,5.826622009277344,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
18,1.92449951171875,-0.001155853271484375,191,SUPPORTED,7.2077717781066895,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
19,1.2313232421875,0.000240325927734375,195,UNSTABLE_TRANSFORM,12.101741790771484,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
20,0.54034423828125,0.045055389404296875,199,SUPPORTED,6.748846054077148,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
21,-0.00067138671875,0.5961189270019531,203,SUPPORTED,0.25364094972610474,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
22,0.15478515625,0.367218017578125,209,SUPPORTED,7.259937286376953,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
23,1.203399658203125,0.5651588439941406,211,UNSTABLE_TRANSFORM,11.866206169128418,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
24,2.537994384765625,0.067352294921875,206,SUPPORTED,7.190791606903076,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
25,2.07208251953125,-0.051548004150390625,209,UNSTABLE_TRANSFORM,8.003486633300781,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
26,-0.000274658203125,-0.00267791748046875,209,UNSTABLE_TRANSFORM,12.058818817138672,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
27,0.0013580322265625,-0.000904083251953125,225,SUPPORTED,5.246319770812988,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
28,6.103515625e-05,-0.000110626220703125,237,UNSTABLE_TRANSFORM,12.326761245727539,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
29,7.62939453125e-06,0.7526035308837891,288,SUPPORTED,6.291784286499023,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
30,-0.5653076171875,0.3819427490234375,318,SUPPORTED,7.043499946594238,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
