frame_index,source_frame_index,analysis_frame_index,timestamp_ms,observed_landmark_count,observed_fraction,median_confidence,core_observed_count,lower_limb_observed_count,core_median_confidence,lower_limb_median_confidence,pelvis_x,pelvis_y,shoulder_mid_x,shoulder_mid_y,body_scale_px,backend_pose_count,selected_pose_index,multiple_pose_candidates,pose_bbox_x,pose_bbox_y,pose_bbox_width,pose_bbox_height,pose_centroid_x,pose_centroid_y,roi_center_x,roi_center_y,roi_pose_centroid_distance_px,roi_pose_centroid_distance_fraction,pose_roi_overlap_fraction,pose_scale_px,pose_scale_relative_change,pose_centroid_consistent_with_roi,pelvis_jump_px,shoulder_jump_px,body_scale_reference_px,body_scale_relative_change,identity_jump_flag,target_overlap_ambiguous_flag,identity_uncertain_flag,frame_status,frame_rejection_reason,valid_target_frame,valid_segment_id
5,5,0,166.66666666666666,17,1.0,0.8980090618133545,4,6,0.9831891655921936,0.9916577041149139,786.7886085510254,466.9861297607422,795.1636848449707,328.18786239624023,139.050713505243,2,0,True,771.8520202636719,256.72292137145996,97.89067077636719,392.46872901916504,820.7973556518555,452.9572858810425,820.295719844358,478.7731315816378,25.82071896211084,0.04901406049089865,1.0,404.49262871276886,,True,,,124.00914203127881,,False,False,False,VALID_TARGET,,True,1
6,6,1,200.0,17,1.0,0.9364990592002869,4,6,0.9954139888286591,0.9937478005886078,787.5478515625,463.2914276123047,798.3072547912598,328.14603424072266,135.57301393492253,3,0,True,751.5949096679688,245.58748817443848,144.4031982421875,414.6667537689209,823.7965087890625,452.9208650588989,798.1322957198444,473.4730600143135,32.879241930853496,0.060486669711271715,1.0,439.0908793676172,0.27899758105028777,True,3.771905873181582,3.1438482154528105,124.00914203127881,0.028043896710803,False,False,False,VALID_TARGET,,True,1
7,7,2,233.33333333333334,17,1.0,0.9459445476531982,4,6,0.9978058040142059,0.9933873116970062,785.5257987976074,465.8874740600586,800.1152496337891,345.0329818725586,121.73192004400431,1,0,False,709.8287506103516,264.20080947875977,178.43328857421875,381.71178817749023,799.0453948974609,455.0567035675049,775.9688715953307,468.17298844698905,26.543602934672307,0.0473386440686006,1.0,421.3577194084233,0.14299881177083779,True,3.2906161342376894,16.98345800097795,124.00914203127881,0.11161349610359435,False,False,False,VALID_TARGET,,True,1
8,8,3,266.6666666666667,17,1.0,0.9310968518257141,4,6,0.9974240660667419,0.9826472103595734,783.987850189209,477.08738708496094,799.2315864562988,341.0458106994629,136.8929581857003,2,0,True,691.4296112060547,291.1811752319336,179.17654418945312,345.5397720336914,781.0178833007812,463.9510612487793,776.8184939345388,468.2769114188974,6.028917875010502,0.01071997406646523,1.0,389.2325372380506,0.25905495066057105,True,11.305013829600204,4.083919021579334,124.00914203127881,0.12225742306863094,False,False,False,VALID_TARGET,,True,1
9,9,4,300.0,17,1.0,0.9065236449241638,4,6,0.9952540993690491,0.9681797921657562,787.8660087585449,475.28824615478516,795.4563331604004,339.53417205810547,135.96610481429627,2,0,True,683.2804412841797,287.20826721191406,187.47010803222656,364.14268493652344,777.015495300293,469.2796096801758,777.6681162737468,468.3808343908057,1.1107255087437642,0.0019690682032274765,1.0,409.5667667162399,0.16397363246864805,True,4.275163385830715,4.066643435345288,124.00914203127881,0.007474072928996281,False,False,False,VALID_TARGET,,True,1
10,10,5,333.3333333333333,17,1.0,0.9537623524665833,4,6,0.9976481199264526,0.9857703149318695,789.6473007202148,469.83360290527344,795.5531005859375,343.8351364135742,126.13679887453074,3,0,True,680.501033782959,295.51319122314453,185.3100471496582,335.52608489990234,773.1560573577881,463.2762336730957,778.5177386129549,468.48475736271405,7.475048154180841,0.013212010218906162,1.0,383.29827448459116,0.2118270621130742,True,5.73812983751271,4.3020528032159016,124.00914203127881,0.07926275255808389,False,False,False,VALID_TARGET,,True,1
11,11,6,366.66666666666663,17,1.0,0.9355491399765015,4,6,0.9973635673522949,0.9944900572299957,798.3365173339844,465.87962341308594,800.9006385803223,334.7344741821289,131.17021340447653,4,0,True,689.492618560791,296.31478118896484,186.34089279174805,328.65039825439453,782.663064956665,460.6399803161621,779.3673609521629,468.5886803346224,8.604853099778147,0.01516353751130952,1.0,377.8015518750523,0.04432514022355221,True,9.546540692085681,10.555482729474944,124.00914203127881,0.04058906018941902,False,False,False,VALID_TARGET,,True,1
12,12,7,400.0,17,1.0,0.9419078826904297,4,6,0.9974465668201447,0.9911641776561737,805.3595581054688,463.86632537841797,800.8232116699219,335.7236671447754,128.22292812975152,3,0,True,684.4019317626953,295.1116256713867,193.5214080810547,327.66873931884766,781.1626358032227,458.94599533081055,780.2169832913711,468.6926033065306,9.792375896866956,0.01720475935671457,1.0,380.5487329008954,0.02215305243503866,True,7.305920246918231,0.9922185463916098,124.00914203127881,0.023766677411425127,False,False,False,VALID_TARGET,,True,1
13,13,8,433.33333333333337,17,1.0,0.931032121181488,4,6,0.9954152703285217,0.9883913695812225,805.8596725463867,461.47774505615234,802.3767051696777,340.6590995788574,120.86883865047888,4,0,True,688.9724731445312,298.8295593261719,193.38844299316406,326.47296142578125,785.6666946411133,462.0660400390625,781.0666056305791,468.79652627843893,8.152316475902566,0.01428059591252855,1.0,379.45182095417584,0.008845411949087466,True,2.4403750551768164,5.174150690226618,124.00914203127881,0.05930280105814879,False,False,False,VALID_TARGET,,True,1
14,14,9,466.6666666666667,17,1.0,0.9269043803215027,4,6,0.9949583411216736,0.9737752377986908,792.6708068847656,463.4824447631836,809.2971038818359,338.25308990478516,126.32824335866255,3,0,True,694.321891784668,283.93729400634766,184.1003646850586,349.34300994873047,786.3720741271973,458.6087989807129,781.9162279697872,468.90044925034726,11.214839733628445,0.019586844859668086,1.0,394.8841385485246,0.12444499930865002,True,13.34035225755524,7.326718289041161,124.00914203127881,0.04402421159245376,False,False,False,VALID_TARGET,,True,1
