source_frame_index,analysis_frame_index,timestamp_ms,frame_status,frame_rejection_reason,valid_segment_id,raw_pelvis_mid_x,raw_pelvis_mid_y,path_input_center_x,path_input_center_y,center_status,roi_center_x,roi_center_y,roi_x,roi_y,roi_width,roi_height,translation_camera_motion_status,translation_camera_motion_method,translation_background_dx_px,translation_background_dy_px,translation_background_feature_count,translation_camera_motion_residual_px,translation_affine_scale,translation_affine_inlier_fraction,affine_camera_motion_status,affine_camera_motion_method,affine_background_dx_px,affine_background_dy_px,affine_background_feature_count,affine_camera_motion_residual_px,affine_affine_scale,affine_affine_inlier_fraction,translation_raw_dx,translation_raw_dy,translation_compensated_dx,translation_compensated_dy,translation_compensated_x,translation_compensated_y,translation_projected_heading_deg,translation_normalized_projected_speed_per_s,translation_path_segment_id,translation_path_status,translation_path_rejection_reason,affine_raw_dx,affine_raw_dy,affine_compensated_dx,affine_compensated_dy,affine_compensated_x,affine_compensated_y,affine_projected_heading_deg,affine_normalized_projected_speed_per_s,affine_path_segment_id,affine_path_status,affine_path_rejection_reason,chosen_raw_dx,chosen_raw_dy,chosen_compensated_dx,chosen_compensated_dy,chosen_compensated_x,chosen_compensated_y,chosen_projected_heading_deg,chosen_normalized_projected_speed_per_s,chosen_path_segment_id,chosen_path_status,chosen_path_rejection_reason,chosen_path_validation_status,chosen_path_validation_reason
5,0,166.66666666666666,VALID_TARGET,,1.0,786.7886085510254,466.9861297607422,786.7886085510254,465.7320251464844,SUPPORTED,820.295719844358,478.7731315816378,701.2607003891051,243.8032920969226,238.0700389105058,469.9396789694305,INSUFFICIENT_EVIDENCE,translation_median_sparse_flow,0.0,0.0,0.0,,,,INSUFFICIENT_EVIDENCE,partial_affine_ransac_sparse_flow,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,path_segment_001,INSUFFICIENT_EVIDENCE,Continuous path run is shorter than the configured minimum sample count.,,,,,0.0,0.0,,,path_segment_001,SUPPORTED,,,,,,0.0,0.0,,,path_segment_001,SUPPORTED,,SUPPORTED,
6,1,200.0,VALID_TARGET,,1.0,787.5478515625,463.2914276123047,786.1572036743164,466.4368019104004,SUPPORTED,798.1322957198444,473.47306001431343,668.8871595330739,234.38094264390145,258.49027237354085,478.184234740824,SUPPORTED,translation_median_sparse_flow,-0.00016021728515625,0.4989356994628906,220.0,0.2313230037689209,,,SUPPORTED,partial_affine_ransac_sparse_flow,0.039288023734661,0.058801002156786714,220.0,0.15603759489904517,0.9999822587776913,1.0,-0.6314048767089844,0.7047767639160156,-0.6312446594238281,0.205841064453125,-0.6312446594238281,0.205841064453125,,,path_segment_001,INSUFFICIENT_EVIDENCE,Continuous path run is shorter than the configured minimum sample count.,-0.6314048767089844,0.7047767639160156,-0.4245751944977201,0.2622611366401202,-0.4245751944977201,0.2622611366401202,-148.29627321393107,0.118657327836433,path_segment_001,SUPPORTED,,-0.6314048767089844,0.7047767639160156,-0.4245751944977201,0.2622611366401202,-0.4245751944977201,0.2622611366401202,-148.29627321393107,0.118657327836433,path_segment_001,SUPPORTED,,SUPPORTED,
7,2,233.33333333333337,VALID_TARGET,,1.0,785.5257987976074,465.8874740600586,785.5257987976074,467.1415786743164,SUPPORTED,775.9688715953307,468.17298844698905,636.5136186770428,224.95859319088026,278.9105058365759,486.4287905122176,UNSTABLE_TRANSFORM,translation_median_sparse_flow,0.14546966552734375,-0.15192604064941406,206.0,16.069984436035156,,,SUPPORTED,partial_affine_ransac_sparse_flow,32.05359886493763,-0.6432362581717933,73.0,0.5379980746715788,1.0017639590395586,0.35436893203883496,,,,,,,,,,UNSTABLE_TRANSFORM,Camera compensation was not supported.,-0.6314048767089844,0.7047767639160156,-34.274554542186024,0.8672194452086615,-34.699129736683744,1.1294805818487816,-178.55060363391578,8.152042638480003,path_segment_001,SUPPORTED,,-0.6314048767089844,0.7047767639160156,-34.274554542186024,0.8672194452086615,-34.699129736683744,1.1294805818487816,-178.55060363391578,8.152042638480003,path_segment_001,SUPPORTED,,SUPPORTED,
8,3,266.6666666666667,VALID_TARGET,,1.0,783.987850189209,477.08738708496094,786.8715629577637,469.83360290527344,SUPPORTED,776.8184939345388,468.2769114188974,636.3378347447929,224.68146526579142,280.9613183794919,487.19089230621194,UNSTABLE_TRANSFORM,translation_median_sparse_flow,0.24786376953125,-0.3753509521484375,197.0,16.26555824279785,,,SUPPORTED,partial_affine_ransac_sparse_flow,32.955991760817774,-0.5260659229204793,71.0,0.34440696895208084,1.0013929873858858,0.3604060913705584,,,,,0.0,0.0,,,path_segment_002,INSUFFICIENT_EVIDENCE,Continuous path run is shorter than the configured minimum sample count.,1.34576416015625,2.6920242309570312,-32.848003688714016,2.808837445248912,-67.54713342539776,3.9383180270976936,-175.11251903899506,7.838746717941039,path_segment_001,SUPPORTED,,1.34576416015625,2.6920242309570312,-32.848003688714016,2.808837445248912,-67.54713342539776,3.9383180270976936,-175.11251903899506,7.838746717941039,path_segment_001,SUPPORTED,,SUPPORTED,
9,4,300.0,VALID_TARGET,,1.0,787.8660087585449,475.2882461547851,789.0478019714355,469.83360290527344,SUPPORTED,777.6681162737468,468.3808343908057,636.1620508125429,224.40433734070254,283.0121309224079,487.9529941002063,UNSTABLE_TRANSFORM,translation_median_sparse_flow,0.0777587890625,-0.6055564880371094,195.0,9.536069869995117,,,SUPPORTED,partial_affine_ransac_sparse_flow,-2.559795555925843,-0.3687345348632772,78.0,1.0257993231695925,1.0173793751807645,0.4,,,,,,,,,,UNSTABLE_TRANSFORM,Camera compensation was not supported.,2.176239013671875,0.0,-10.190271885790253,-5.6953141762527935,-77.73740531118801,-1.7569961491550998,150.79929857666514,2.7756769326203754,path_segment_001,SUPPORTED,,2.176239013671875,0.0,-10.190271885790253,-5.6953141762527935,-77.73740531118801,-1.7569961491550998,150.79929857666514,2.7756769326203754,path_segment_001,SUPPORTED,,SUPPORTED,
10,5,333.3333333333333,VALID_TARGET,,1.0,789.6473007202148,469.83360290527344,789.6473007202148,469.83360290527344,SUPPORTED,778.5177386129549,468.48475736271405,635.986266880293,224.1272094156137,285.0629434653239,488.71509589420066,UNSTABLE_TRANSFORM,translation_median_sparse_flow,2.8038330078125,-1.4980392456054688,201.0,10.166097640991211,,,SUPPORTED,partial_affine_ransac_sparse_flow,16.584493910167343,-1.1905784015721743,90.0,0.3087109624850045,1.0008435338100568,0.44776119402985076,,,,,0.0,0.0,,,path_segment_003,INSUFFICIENT_EVIDENCE,Continuous path run is shorter than the configured minimum sample count.,0.5994987487792969,0.0,-16.866584555607005,1.1572037081954818,-94.60398986679502,-0.599792440959618,-176.0751302763142,4.0197825642696605,path_segment_001,SUPPORTED,,0.5994987487792969,0.0,-16.866584555607005,1.1572037081954818,-94.60398986679502,-0.599792440959618,-176.0751302763142,4.0197825642696605,path_segment_001,SUPPORTED,,SUPPORTED,
11,6,366.66666666666663,VALID_TARGET,,1.0,798.3365173339844,465.87962341308594,798.3365173339844,465.87962341308594,SUPPORTED,779.3673609521629,468.5886803346224,635.810482948043,223.85008149052484,287.1137560082399,489.477197688195,UNSTABLE_TRANSFORM,translation_median_sparse_flow,0.00441741943359375,-0.7721843719482422,191.0,21.411632537841797,,,SUPPORTED,partial_affine_ransac_sparse_flow,33.89859223974643,-0.32941815655269696,69.0,0.5781506471644418,1.0007392417543577,0.3612565445026178,,,,,,,,,,UNSTABLE_TRANSFORM,Camera compensation was not supported.,8.689216613769531,-3.9539794921875,-26.13187205405677,-3.40206860903362,-120.73586192085179,-4.001861049993238,172.58246869186354,6.265789044577841,path_segment_001,SUPPORTED,,8.689216613769531,-3.9539794921875,-26.13187205405677,-3.40206860903362,-120.73586192085179,-4.001861049993238,172.58246869186354,6.265789044577841,path_segment_001,SUPPORTED,,SUPPORTED,
12,7,400.0,VALID_TARGET,,1.0,805.3595581054688,463.866325378418,798.3365173339844,464.3167724609375,SUPPORTED,780.2169832913711,468.69260330653066,635.6346990157931,223.572953565436,289.1645685511559,490.2392994821893,SUPPORTED,translation_median_sparse_flow,0.198211669921875,-0.25823116302490234,187.0,7.636384010314941,,,SUPPORTED,partial_affine_ransac_sparse_flow,-3.1248641559895134,-0.3597727892278723,79.0,1.3496772178372174,1.0169640569878384,0.42245989304812837,,,,,0.0,0.0,,,path_segment_004,INSUFFICIENT_EVIDENCE,Continuous path run is shorter than the configured minimum sample count.,0.0,-1.5628509521484375,-11.429543830588727,-7.368906479135376,-132.16540575144052,-11.370767529128614,147.18913431725605,3.233445205921335,path_segment_001,SUPPORTED,,0.0,-1.5628509521484375,-11.429543830588727,-7.368906479135376,-132.16540575144052,-11.370767529128614,147.18913431725605,3.233445205921335,path_segment_001,SUPPORTED,,SUPPORTED,
13,8,433.33333333333337,VALID_TARGET,,1.0,805.8596725463867,461.47774505615234,798.3365173339844,463.91236114501953,SUPPORTED,781.0666056305791,468.79652627843893,635.4589150835432,223.29582564034712,291.2153810940719,491.0014012761837,UNSTABLE_TRANSFORM,translation_median_sparse_flow,1.26812744140625,-0.008539199829101562,188.0,9.715265274047852,,,SUPPORTED,partial_affine_ransac_sparse_flow,-2.7769967858219307,-0.6878459254684849,84.0,1.3490021867513788,1.0173356993400293,0.44680851063829785,,,,,,,,,,UNSTABLE_TRANSFORM,Camera compensation was not supported.,0.0,-0.40441131591796875,-11.664773375393452,-6.7291508752206255,-143.83017912683397,-18.09991840434924,150.02029938198334,3.201935108153774,path_segment_001,SUPPORTED,,0.0,-0.40441131591796875,-11.664773375393452,-6.7291508752206255,-143.83017912683397,-18.09991840434924,150.02029938198334,3.201935108153774,path_segment_001,SUPPORTED,,SUPPORTED,
14,9,466.6666666666667,VALID_TARGET,,1.0,792.6708068847656,463.4824447631836,804.006217956543,463.03199768066406,SUPPORTED,781.9162279697872,468.90044925034726,635.2831311512932,223.01869771525827,293.2661936369879,491.76350307017805,UNSTABLE_TRANSFORM,translation_median_sparse_flow,6.29541015625,-1.1566314697265625,165.0,16.718585968017578,,,SUPPORTED,partial_affine_ransac_sparse_flow,2.01719037244981,1.0795050619323598,66.0,1.0757131386770915,0.9873107357582543,0.4,,,,,0.0,0.0,,,path_segment_005,SUPPORTED,,5.669700622558594,-0.8803634643554688,12.41163630589267,6.294638804825354,-131.4185428209413,-11.805279599523885,-26.892129247157573,3.3089344594580985,path_segment_001,SUPPORTED,,5.669700622558594,-0.8803634643554688,12.41163630589267,6.294638804825354,-131.4185428209413,-11.805279599523885,-26.892129247157573,3.3089344594580985,path_segment_001,SUPPORTED,,SUPPORTED,
