source_frame_index,background_dx_px,background_dy_px,background_feature_count,camera_motion_status,camera_motion_residual_px,camera_motion_method,affine_a,affine_b,affine_tx,affine_c,affine_d,affine_ty,affine_scale,affine_inlier_fraction
0,0.0,0.0,0,INSUFFICIENT_EVIDENCE,,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
1,-11.148681640625,1.921722412109375,345,SUPPORTED,0.9781436324119568,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
2,-21.731531143188477,0.11017799377441406,340,SUPPORTED,1.6152981519699097,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
3,-10.758468627929688,-0.48293614387512207,340,SUPPORTED,0.8275929689407349,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
4,-10.67340087890625,1.9117889404296875,345,SUPPORTED,0.9453868865966797,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
5,-20.933517456054688,2.6440811157226562,342,SUPPORTED,1.7725874185562134,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
6,-20.489059448242188,-0.0672454833984375,346,SUPPORTED,1.2706091403961182,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
7,-0.000152587890625,-0.000579833984375,349,SUPPORTED,0.04928440600633621,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
8,-29.671661376953125,1.2242431640625,331,SUPPORTED,2.196092367172241,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
9,-9.465805053710938,1.5581512451171875,348,SUPPORTED,0.8455456495285034,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
10,-9.234970092773438,-0.7679939270019531,348,SUPPORTED,0.7840936183929443,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
11,-17.751541137695312,-0.5466079711914062,348,SUPPORTED,1.6368305683135986,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
12,-16.643630981445312,1.99908447265625,346,SUPPORTED,1.674067735671997,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
13,-2.288818359375e-05,0.0,350,SUPPORTED,0.00756949745118618,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
14,-15.79302978515625,0.671478271484375,349,SUPPORTED,1.5908925533294678,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
15,-14.823265075683594,-0.4571647644042969,348,SUPPORTED,1.608473777770996,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
16,-7.0091552734375,1.675079345703125,349,SUPPORTED,0.8131803274154663,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
