feature_name,supported_frames,relevant_frames,completeness,unsupported_frames,primary_rejection_reason
contralateral_elbow_angle_2d_deg,57,57,1.0,0,
contralateral_hka_angle_2d_deg,57,57,1.0,0,
elbow_projected_bilateral_absolute_difference_deg,57,57,1.0,0,
elbow_projected_bilateral_difference_deg,57,57,1.0,0,
hka_projected_bilateral_absolute_difference_deg,57,57,1.0,0,
hka_projected_bilateral_difference_deg,57,57,1.0,0,
injured_elbow_angle_2d_deg,57,57,1.0,0,
injured_hka_angle_2d_deg,57,57,1.0,0,
knee_line_deviation_bilateral_absolute_difference,57,57,1.0,0,
knee_line_deviation_bilateral_difference,57,57,1.0,0,
knee_line_deviation_normalized_bilateral_absolute_difference,57,57,1.0,0,
knee_line_deviation_normalized_bilateral_difference,57,57,1.0,0,
left_elbow_angle_2d_deg,57,57,1.0,0,
left_hka_angle_2d_deg,57,57,1.0,0,
left_knee_ankle_distance_normalized,57,57,1.0,0,
left_knee_ankle_x_offset_normalized,57,57,1.0,0,
left_knee_line_deviation_2d,57,57,1.0,0,
left_knee_line_deviation_normalized,57,57,1.0,0,
left_upper_arm_orientation_2d_deg,57,57,1.0,0,
left_wrist_pelvis_distance_normalized,57,57,1.0,0,
left_wrist_pelvis_x_offset_normalized,57,57,1.0,0,
projected_hip_line_angle_deg,57,57,1.0,0,
projected_shoulder_line_angle_deg,57,57,1.0,0,
projected_shoulder_pelvis_orientation_difference_deg,57,57,1.0,0,
projected_shoulder_pelvis_x_offset_normalized,57,57,1.0,0,
projected_shoulder_pelvis_x_offset_px,57,57,1.0,0,
projected_trunk_axis_angle_deg,57,57,1.0,0,
right_elbow_angle_2d_deg,57,57,1.0,0,
right_hka_angle_2d_deg,57,57,1.0,0,
right_knee_ankle_distance_normalized,57,57,1.0,0,
right_knee_ankle_x_offset_normalized,57,57,1.0,0,
right_knee_line_deviation_2d,57,57,1.0,0,
right_knee_line_deviation_normalized,57,57,1.0,0,
right_upper_arm_orientation_2d_deg,57,57,1.0,0,
right_wrist_pelvis_distance_normalized,57,57,1.0,0,
right_wrist_pelvis_x_offset_normalized,57,57,1.0,0,
