source_frame_index,analysis_frame_index,timestamp_ms,frame_status,frame_rejection_reason,valid_segment_id,raw_pelvis_mid_x,raw_pelvis_mid_y,path_input_center_x,path_input_center_y,center_status,roi_center_x,roi_center_y,roi_x,roi_y,roi_width,roi_height,translation_camera_motion_status,translation_camera_motion_method,translation_background_dx_px,translation_background_dy_px,translation_background_feature_count,translation_camera_motion_residual_px,translation_affine_scale,translation_affine_inlier_fraction,affine_camera_motion_status,affine_camera_motion_method,affine_background_dx_px,affine_background_dy_px,affine_background_feature_count,affine_camera_motion_residual_px,affine_affine_scale,affine_affine_inlier_fraction,translation_raw_dx,translation_raw_dy,translation_compensated_dx,translation_compensated_dy,translation_compensated_x,translation_compensated_y,translation_projected_heading_deg,translation_normalized_projected_speed_per_s,translation_path_segment_id,translation_path_status,translation_path_rejection_reason,affine_raw_dx,affine_raw_dy,affine_compensated_dx,affine_compensated_dy,affine_compensated_x,affine_compensated_y,affine_projected_heading_deg,affine_normalized_projected_speed_per_s,affine_path_segment_id,affine_path_status,affine_path_rejection_reason,chosen_raw_dx,chosen_raw_dy,chosen_compensated_dx,chosen_compensated_dy,chosen_compensated_x,chosen_compensated_y,chosen_projected_heading_deg,chosen_normalized_projected_speed_per_s,chosen_path_segment_id,chosen_path_status,chosen_path_rejection_reason,chosen_path_validation_status,chosen_path_validation_reason
0,0,0.0,VALID_TARGET,,1,1071.4766464233398,289.69940185546875,1050.4404678344727,290.8769989013672,SUPPORTED,1069.8210116731518,311.7800258777146,983.15953307393,127.13360278508749,173.32295719844353,369.2928461852542,INSUFFICIENT_EVIDENCE,translation_median_sparse_flow,0.0,0.0,0,,,,INSUFFICIENT_EVIDENCE,partial_affine_ransac_sparse_flow,0.0,0.0,0,,,,,,,,0.0,0.0,,,path_segment_001,SUPPORTED,,,,,,0.0,0.0,,,path_segment_001,SUPPORTED,,,,,,0.0,0.0,,,path_segment_001,SUPPORTED,,SUPPORTED,
1,1,33.333333333333336,VALID_TARGET,,1,1050.4404678344729,292.39022064208984,1031.1493253707886,290.93736267089844,SUPPORTED,1049.6498054474707,317.22860885421835,963.2373540856031,127.7390008935879,172.82490272373536,378.97921592126085,SUPPORTED,translation_median_sparse_flow,-11.148681640625,1.921722412109375,345,0.9781436324119568,,,SUPPORTED,partial_affine_ransac_sparse_flow,-11.01429131884574,1.7390749597880195,281,0.5501806120226744,0.9997258236043272,0.8144927536231884,-19.291142463684082,0.06036376953125,-8.142460823059082,-1.861358642578125,-8.142460823059082,-1.861358642578125,167.1234955468506,2.9435100462131043,path_segment_001,SUPPORTED,,-19.291142463684082,0.06036376953125,-7.857766784732803,-2.0719071538462686,-7.857766784732803,-2.0719071538462686,165.22866008743966,2.8638052068837636,path_segment_001,SUPPORTED,,-19.291142463684082,0.06036376953125,-8.142460823059082,-1.861358642578125,-8.142460823059082,-1.861358642578125,167.1234955468506,2.9435100462131043,path_segment_001,SUPPORTED,,SUPPORTED,
2,2,66.66666666666667,VALID_TARGET,,1,1011.8581829071044,290.8769989013672,1011.8581829071045,291.14400482177734,SUPPORTED,1029.4785992217899,322.6771918307221,943.3151750972762,128.34439900208832,172.3268482490272,388.6655856572675,SUPPORTED,translation_median_sparse_flow,-21.731531143188477,0.11017799377441406,340,1.6152981519699097,,,SUPPORTED,partial_affine_ransac_sparse_flow,-20.88755839296842,0.3166040086600654,241,0.5857882328380432,0.9980381210478192,0.7088235294117647,-19.291142463684082,0.20664215087890625,2.4403886795043945,0.09646415710449219,-5.7020721435546875,-1.7648944854736328,-2.263620225162393,0.86069018641257,path_segment_001,SUPPORTED,,-19.291142463684082,0.20664215087890625,3.7099485183487104,0.14010993760297197,-4.147818266384093,-1.9317972162432966,-2.1628048886935587,1.3083568114611326,path_segment_001,SUPPORTED,,-19.291142463684082,0.20664215087890625,2.4403886795043945,0.09646415710449219,-5.7020721435546875,-1.7648944854736328,-2.263620225162393,0.86069018641257,path_segment_001,SUPPORTED,,SUPPORTED,
3,3,100.0,VALID_TARGET,,1,990.6604042053224,290.9977264404297,990.6604042053223,292.39022064208984,SUPPORTED,1006.5680933852141,326.914978590225,925.3852140077821,128.34439900208832,162.3657587548638,397.14115917627333,SUPPORTED,translation_median_sparse_flow,-10.758468627929688,-0.48293614387512207,340,0.8275929689407349,,,SUPPORTED,partial_affine_ransac_sparse_flow,-10.371213801207908,-0.19092900169586674,272,0.5342145140751422,0.9992182010237278,0.8,-21.197778701782227,1.2462158203125,-10.439310073852539,1.729151964187622,-16.141382217407227,-0.03574252128601074,-170.59500317392838,3.7290485621775016,path_segment_001,SUPPORTED,,-21.197778701782227,1.2462158203125,-10.097469703552633,1.8802369373616443,-14.245287969936726,-0.051560278881652266,-169.45183345012126,3.6196209051550468,path_segment_001,SUPPORTED,,-21.197778701782227,1.2462158203125,-10.439310073852539,1.729151964187622,-16.141382217407227,-0.03574252128601074,-170.59500317392838,3.7290485621775016,path_segment_001,SUPPORTED,,SUPPORTED,
4,4,133.33333333333334,VALID_TARGET,,1,975.9929218292236,298.4444122314453,975.9929218292236,298.42786407470703,SUPPORTED,978.4280155642023,329.33657102422666,898.4902723735408,134.3983800870925,159.87548638132296,389.8763818742683,SUPPORTED,translation_median_sparse_flow,-10.67340087890625,1.9117889404296875,345,0.9453868865966797,,,SUPPORTED,partial_affine_ransac_sparse_flow,-10.064629238305598,2.672572015119642,261,0.6531538788186126,0.9989640822945298,0.7565217391304347,-14.667482376098633,6.0376434326171875,-3.994081497192383,4.1258544921875,-20.13546371459961,4.090111970901489,-134.07026683554983,2.023688269794038,path_segment_001,SUPPORTED,,-14.667482376098633,6.0376434326171875,-3.721436484409992,4.1591039071503815,-17.966724454346718,4.107543628268729,-131.82118735577544,1.96679264227274,path_segment_001,SUPPORTED,,-14.667482376098633,6.0376434326171875,-3.994081497192383,4.1258544921875,-20.13546371459961,4.090111970901489,-134.07026683554983,2.023688269794038,path_segment_001,SUPPORTED,,SUPPORTED,
5,5,166.66666666666666,VALID_TARGET,,1,937.3870754241944,302.73094940185547,937.3870754241943,299.2301330566406,SUPPORTED,950.2879377431907,331.7581634582283,871.5953307392996,140.45236117209666,157.3852140077821,382.61160457226333,SUPPORTED,translation_median_sparse_flow,-20.933517456054688,2.6440811157226562,342,1.7725874185562134,,,SUPPORTED,partial_affine_ransac_sparse_flow,-20.198015582415128,2.774995779369823,236,0.3914470150776497,0.9981368536868301,0.6900584795321637,-38.6058464050293,0.8022689819335938,-17.67232894897461,-1.8418121337890625,-37.80779266357422,2.2482998371124268,174.05010754013128,6.261646019894044,path_segment_001,SUPPORTED,,-38.6058464050293,0.8022689819335938,-16.44751905229805,-1.8803748734681562,-34.414243506644766,2.227168754800573,173.4779342232909,5.834035031253817,path_segment_001,SUPPORTED,,-38.6058464050293,0.8022689819335938,-17.67232894897461,-1.8418121337890625,-37.80779266357422,2.2482998371124268,174.05010754013128,6.261646019894044,path_segment_001,SUPPORTED,,SUPPORTED,
6,6,200.0,VALID_TARGET,,1,907.1113891601562,299.2301330566406,907.5417518615723,300.2622756958008,SUPPORTED,909.9455252918287,323.2825899392225,824.7782101167315,136.81997252109414,170.33463035019452,372.92523483625666,SUPPORTED,translation_median_sparse_flow,-20.489059448242188,-0.0672454833984375,346,1.2706091403961182,,,SUPPORTED,partial_affine_ransac_sparse_flow,-19.429182132270167,0.17398687725841241,258,0.47277000611304487,0.9976013363834579,0.7456647398843931,-29.84532356262207,1.0321426391601562,-9.356264114379883,1.0993881225585938,-47.1640567779541,3.3476879596710205,-173.29831052640102,3.319930002649707,path_segment_001,SUPPORTED,,-29.84532356262207,1.0321426391601562,-8.098425051332697,1.3590890675488936,-42.51266855797746,3.5862578223494666,-170.47331640996765,2.8938805139321153,path_segment_001,SUPPORTED,,-29.84532356262207,1.0321426391601562,-9.356264114379883,1.0993881225585938,-47.1640567779541,3.3476879596710205,-173.29831052640102,3.319930002649707,path_segment_001,SUPPORTED,,SUPPORTED,
7,7,233.33333333333337,VALID_TARGET,,1,907.5417518615724,300.09364318847656,907.1113891601562,302.73094940185547,SUPPORTED,884.7937743190662,324.19068710197314,795.8910505836576,133.18758387009166,177.8054474708171,382.0062064637629,SUPPORTED,translation_median_sparse_flow,-0.000152587890625,-0.000579833984375,349,0.04928440600633621,,,SUPPORTED,partial_affine_ransac_sparse_flow,-0.014021778854977086,-0.018466529288556608,349,0.07185237603362296,0.9999729019367872,1.0,-0.4303627014160156,2.4686737060546875,-0.4302101135253906,2.4692535400390625,-47.59426689147949,5.816941499710083,-99.88325452364714,0.8832994243934533,path_segment_001,SUPPORTED,,-0.4303627014160156,2.4686737060546875,-0.40751591096432094,2.542938514837772,-42.920184468941784,6.129196337187238,-99.10446275940768,0.907592524374081,path_segment_001,SUPPORTED,,-0.4303627014160156,2.4686737060546875,-0.4302101135253906,2.4692535400390625,-47.59426689147949,5.816941499710083,-99.88325452364714,0.8832994243934533,path_segment_001,SUPPORTED,,SUPPORTED,
8,8,266.6666666666667,VALID_TARGET,,1,866.7069511413574,303.50660705566406,866.7069511413574,301.2281036376953,SUPPORTED,859.6420233463035,325.0987842647237,767.0038910505837,129.55519521908914,185.2762645914397,391.08717809126915,SUPPORTED,translation_median_sparse_flow,-29.671661376953125,1.2242431640625,331,2.196092367172241,,,SUPPORTED,partial_affine_ransac_sparse_flow,-28.49437281621988,1.2060109541293251,228,0.6421043818249269,0.9966999766468894,0.6888217522658611,-40.40443801879883,-1.5028457641601562,-10.732776641845703,-2.7270889282226562,-58.327043533325195,3.0898525714874268,165.743426095351,3.902530627816581,path_segment_001,SUPPORTED,,-40.40443801879883,-1.5028457641601562,-8.649343843613224,-2.50940291047408,-51.56952831255501,3.6197934267131586,163.82116133885404,3.173813090384671,path_segment_001,SUPPORTED,,-40.40443801879883,-1.5028457641601562,-10.732776641845703,-2.7270889282226562,-58.327043533325195,3.0898525714874268,165.743426095351,3.902530627816581,path_segment_001,SUPPORTED,,SUPPORTED,
9,9,300.0,VALID_TARGET,,1,855.5430145263672,307.0864944458008,855.5430145263672,301.0760192871094,SUPPORTED,846.1945525291829,320.2555993967204,751.5642023346304,125.92280656808666,189.26070038910507,388.66558565726746,SUPPORTED,translation_median_sparse_flow,-9.465805053710938,1.5581512451171875,348,0.8455456495285034,,,SUPPORTED,partial_affine_ransac_sparse_flow,-8.680752891009634,1.795733267267554,278,0.5168133692363102,0.9986406726491938,0.7988505747126436,-11.163936614990234,-0.1520843505859375,-1.6981315612792969,-1.710235595703125,-60.02517509460449,1.3796169757843018,134.79652803226864,0.8493426618703405,path_segment_001,SUPPORTED,,-11.163936614990234,-0.1520843505859375,-1.2935785540430516,-1.571340509070012,-52.86310686659806,2.0484529176431465,129.46232097915612,0.7172619675401917,path_segment_001,SUPPORTED,,-11.163936614990234,-0.1520843505859375,-1.6981315612792969,-1.710235595703125,-60.02517509460449,1.3796169757843018,134.79652803226864,0.8493426618703405,path_segment_001,SUPPORTED,,SUPPORTED,
