frame_index,source_frame_index,analysis_frame_index,timestamp_ms,frame_status,frame_rejection_reason,valid_target_frame,valid_segment_id,backend_pose_count,selected_pose_index,multiple_pose_candidates,target_overlap_ambiguous_flag,identity_jump_flag,identity_uncertain_flag,pelvis_x,pelvis_y,shoulder_mid_x,shoulder_mid_y,pelvis_jump_px,shoulder_jump_px,body_scale_px,body_scale_relative_change,pose_bbox_x,pose_bbox_y,pose_bbox_width,pose_bbox_height,pose_centroid_x,pose_centroid_y,pose_scale_px,pose_scale_relative_change,roi_center_x,roi_center_y,roi_pose_centroid_distance_px,roi_pose_centroid_distance_fraction,pose_roi_overlap_fraction,pose_centroid_consistent_with_roi
0,0,0,0.0,VALID_TARGET,,True,1,2,0,True,False,False,False,1071.4766464233398,289.69940185546875,1085.495532989502,199.96976852416992,,,90.81814949845793,,1009.1123008728027,158.98070907592773,120.84001541137695,257.96335220336914,1069.5323085784912,287.9623851776123,284.8638278276505,,1069.8210116731518,311.7800258777146,23.819390378345865,0.058388917383066494,1.0,True
1,1,1,33.333333333333336,VALID_TARGET,,True,1,2,0,True,False,False,False,1050.4404678344727,292.39022064208984,1062.9589385986328,203.4028663635254,21.20757683860057,22.796584119405733,89.8635706600393,0.011117036803958614,994.3556861877441,163.8592414855957,115.12325668334961,262.5355033874512,1051.917314529419,295.1269931793213,286.66749862564257,0.021005572129297403,1049.649805447471,317.22860885421835,22.217628426039806,0.053340349052088384,1.0,True
2,2,2,66.66666666666667,VALID_TARGET,,True,1,3,0,True,False,False,False,1011.8581829071045,290.8769989013672,1033.309820175171,201.39186477661133,38.61194828357171,29.717239957153485,92.02044322217886,0.025118964185793596,956.9621305465698,162.8302459716797,126.13308429718018,272.1444854736328,1020.0286726951599,298.9024887084961,299.9536229619971,0.1547303661936504,1029.4785992217899,322.6771918307221,25.583932846782723,0.060175425147585115,1.0,True
3,3,3,100.0,VALID_TARGET,,True,1,2,0,True,False,False,False,990.6604042053223,290.9977264404297,1013.652753829956,200.82796478271484,21.19812248828703,19.66515294889146,93.05500555408344,0.012048525545386796,951.1424808502197,164.76059341430664,111.33414268493652,269.50991439819336,1006.809552192688,299.5155506134033,291.6005577606314,0.09727989929389651,1006.5680933852141,326.914978590225,27.400491889977932,0.0638631954066844,1.0,True
4,4,4,133.33333333333334,VALID_TARGET,,True,1,1,0,False,False,False,False,975.9929218292236,298.4444122314453,1004.9843215942383,202.08854293823242,16.44956438703706,8.759610420070013,100.62283442432745,0.08813502739693833,924.5346927642822,163.24283981323242,109.51267051696777,274.9160346984863,979.2910280227661,300.7008571624756,295.9254148228862,0.050367338136886194,978.4280155642023,329.33657102422666,28.648715483869758,0.06798732950185195,1.0,True
5,5,5,166.66666666666666,VALID_TARGET,,True,1,2,0,True,False,False,False,937.3870754241943,302.73094940185547,966.6208343505859,205.30475425720215,38.843091761110124,38.49806707799945,101.71762955029207,0.012749997400220738,900.8639945983887,170.58161163330078,104.76623916625977,278.2899398803711,953.2471141815186,309.7265815734863,297.3571178022522,0.016673630373282382,950.2879377431907,331.7581634582283,22.229424768473997,0.053730993537579964,1.0,True
6,6,6,200.0,VALID_TARGET,,True,1,1,0,False,False,False,False,907.1113891601562,299.2301330566406,929.9223175048828,205.4116153717041,30.47741612803467,36.69867242792508,96.55181361604244,0.060161155425010576,869.556755065918,175.6310157775879,101.96869659423828,263.596248626709,920.5411033630371,307.4291400909424,282.63155764210336,0.17149405336753293,909.9455252918287,323.2825899392225,19.068249703499365,0.04650970835654687,1.0,True
7,7,7,233.33333333333334,VALID_TARGET,,True,1,2,0,True,False,False,False,907.5417518615723,300.09364318847656,927.653076171875,202.71086502075195,0.9648117964418805,3.5275357809098447,99.43777375413447,0.03360992699469059,860.8547592163086,174.73009490966797,105.46276092529297,269.8897476196289,913.5861396789551,309.6749687194824,289.7634721840772,0.08305836380906713,884.7937743190662,324.19068710197314,32.24447833625331,0.07652493043141417,1.0,True
8,8,8,266.6666666666667,VALID_TARGET,,True,1,1,0,False,False,False,False,866.7069511413574,303.50660705566406,885.7993316650391,212.47178649902344,40.9771798958687,42.97687188882505,93.01536189168334,0.07479548694304722,820.0873107910156,179.44935607910156,93.908447265625,264.2178497314453,867.0415344238281,311.5582809448242,280.41017917427547,0.10892856455987603,859.6420233463035,325.0987842647237,15.430424308573565,0.03565629837361116,1.0,True
9,9,9,300.0,VALID_TARGET,,True,1,2,0,True,False,False,False,855.5430145263672,307.0864944458008,872.6302452087402,210.7274284362793,11.723867726547391,13.284111680670774,97.8623679185209,0.05644829135184707,807.642276763916,179.03502655029297,91.12041854858398,269.47266387939453,853.202486038208,313.77135848999023,284.4616797650015,0.04718382533283139,846.1945525291829,320.2555993967204,9.547591958364652,0.02208573200477103,1.0,True
