feature_name,family,source_metric,aggregation,time_scope,required_view,minimum_coverage,core_or_optional,scientific_reason,enabled_for_clustering,version
injured_hka_median_whole,HKA,injured_hka_angle_2d_deg,median,whole_window,generic_projected_view,0.55,core_candidate,Compact central tendency of injured-side projected HKA chain.,True,m5_9_1_clustering_feature_registry_v1
injured_hka_iqr_whole,HKA,injured_hka_angle_2d_deg,iqr,whole_window,generic_projected_view,0.55,optional_characterization,Robust variability of injured-side projected HKA chain.,True,m5_9_1_clustering_feature_registry_v1
injured_hka_start_end_change_whole,HKA,injured_hka_angle_2d_deg,start_to_end_change,whole_window,generic_projected_view,0.55,core_candidate,Directional change of supported injured-side projected HKA evidence.,True,m5_9_1_clustering_feature_registry_v1
contralateral_hka_start_end_change_whole,HKA,contralateral_hka_angle_2d_deg,start_to_end_change,whole_window,generic_projected_view,0.55,optional_characterization,Companion projected HKA change without deleting left/right variables.,True,m5_9_1_clustering_feature_registry_v1
hka_bilateral_abs_median_whole,Bilateral,hka_projected_bilateral_absolute_difference_deg,median,whole_window,generic_projected_view,0.55,core_candidate,Compact projected bilateral HKA relationship magnitude.,True,m5_9_1_clustering_feature_registry_v1
hka_bilateral_abs_max_whole,Bilateral,hka_projected_bilateral_absolute_difference_deg,maximum,whole_window,generic_projected_view,0.55,optional_characterization,Peak supported projected bilateral HKA relationship.,True,m5_9_1_clustering_feature_registry_v1
hka_bilateral_signed_change_whole,Bilateral,hka_projected_bilateral_difference_deg,start_to_end_change,whole_window,generic_projected_view,0.55,core_candidate,Signed projected bilateral HKA relationship trajectory change.,True,m5_9_1_clustering_feature_registry_v1
hka_bilateral_abs_median_final_500ms,Bilateral,hka_projected_bilateral_absolute_difference_deg,median,final_500ms,generic_projected_view,0.45,core_candidate,Final-window projected bilateral HKA relationship magnitude.,True,m5_9_1_clustering_feature_registry_v1
trunk_axis_range_whole,Trunk/Pelvis,projected_trunk_axis_angle_deg,range,whole_window,generic_projected_view,0.55,core_candidate,Supported projected trunk-axis orientation range.,True,m5_9_1_clustering_feature_registry_v1
trunk_axis_change_whole,Trunk/Pelvis,projected_trunk_axis_angle_deg,start_to_end_change,whole_window,generic_projected_view,0.55,core_candidate,Supported projected trunk-axis orientation change.,True,m5_9_1_clustering_feature_registry_v1
shoulder_pelvis_orientation_range_whole,Trunk/Pelvis,projected_shoulder_pelvis_orientation_difference_deg,range,whole_window,generic_projected_view,0.55,optional_characterization,Projected shoulder-line relative to hip-line variation.,True,m5_9_1_clustering_feature_registry_v1
upper_arm_orientation_change_whole,Upper Body,right_upper_arm_orientation_2d_deg,start_to_end_change,whole_window,generic_projected_view,0.45,optional_characterization,Compact upper-arm projected orientation change; redundancy controlled later.,True,m5_9_1_clustering_feature_registry_v1
elbow_bilateral_abs_median_whole,Upper Body,elbow_projected_bilateral_absolute_difference_deg,median,whole_window,generic_projected_view,0.45,optional_characterization,Compact bilateral projected elbow relationship.,True,m5_9_1_clustering_feature_registry_v1
path_heading_change_whole,Movement Path,path:projected_heading_deg,start_to_end_change,whole_window,path_validated_projected_view,0.55,optional_characterization,Only enabled after movement path passes scientific QA.,True,m5_9_1_clustering_feature_registry_v1
path_speed_median_final_500ms,Movement Path,path:normalized_projected_speed_per_s,median,final_500ms,path_validated_projected_view,0.45,optional_characterization,Final-window projected speed descriptor only if path passes QA.,True,m5_9_1_clustering_feature_registry_v1
phase_count_supported,Phase Structure,movement_phases,count,whole_window,generic_projected_view,0.0,optional_characterization,Within-case number of supported phases; not used to align phase numbers across cases.,True,m5_9_1_clustering_feature_registry_v1
strongest_transition_timing_normalized,Phase Structure,movement_phases,normalized_timing_of_maximum,whole_window,generic_projected_view,0.0,optional_characterization,Normalized timing of strongest within-case transition.,True,m5_9_1_clustering_feature_registry_v1
strongest_transition_magnitude,Phase Structure,movement_phases,maximum,whole_window,generic_projected_view,0.0,optional_characterization,Magnitude of strongest supported multivariate transition.,True,m5_9_1_clustering_feature_registry_v1
