case_id,source_id,view_id,player_name,video_path,file_size_bytes,sha256,annotation_saved,results_available
beth_mead_acl,imported_04_5bk1vmbhwu0_full_compilation_00m00s000_00m06s635_view_01,imported_04_5bk1vmbhwu0_full_compilation_00m00s000_00m06s635_view_01,Beth Mead,data/videos/analysis_clips/04_5bk1vmbhwu0_full_compilation_00m00s000_00m06s635_2.mp4,1950231,8d6ea84d25588eae41e5db178d4194bddeea519c464d14eb1e4aef845555cf90,true,true
beth_mead_acl,imported_04_5bk1vmbhwu0_full_compilation_00m07s655_00m10s374_view_01,imported_04_5bk1vmbhwu0_full_compilation_00m07s655_00m10s374_view_01,Beth Mead,data/videos/analysis_clips/04_5bk1vmbhwu0_full_compilation_00m07s655_00m10s374_2.mp4,833485,b6d151ced75e26514cc1ae6c8620b9ba657172953deb2acbd2495b0d65d35b28,true,true
imported_carmen_menayo_2024_06_15_acl_candidate,imported_carmen_menayo_2024_06_15_view_01,imported_carmen_menayo_2024_06_15_view_01,Carmen Menayo,data/videos/analysis_clips/HIGHLIGHTS _ Atle_tico de Madrid Femenino 1-0 Villarreal _ Liga F 2023-24_01m38s769_01m40s649.mp4,349032,34ed202951335b82d193a242aa725440fe3d4b8b8fa2ea43f7802c5a113b3ee7,true,true
imported_caroline_wier_2023_09_26_acl_candidate,imported_caroline_wier_2023_09_26_view_01,imported_caroline_wier_2023_09_26_view_01,Caroline Weir,data/videos/analysis_clips/YTDown.com_YouTube_Scotland-v-Belgium-Uefa-Women-s-Nations-_Media_zUVLcmUHYAs_001_720p_29m49s105_29m52s885.mp4,1836934,4ca7fb2751a042355446f164d3ea53d898433e6127a32e070d4718ff16809436,true,true
imported_caroline_wier_2023_09_26_acl_candidate,imported_caroline_wier_2023_09_26_view_02,imported_caroline_wier_2023_09_26_view_02,Caroline Weir,data/videos/analysis_clips/YTDown.com_YouTube_Scotland-v-Belgium-Uefa-Women-s-Nations-_Media_zUVLcmUHYAs_001_720p_29m56s034_30m00s073.mp4,1463584,2ba28631188dffe7caf657bc8438c24c3f56a6515027dbaca07c5be9a49316ef,true,true
chloe_kelly_acl,imported_chloe_kelly_acl_00m34s693_00m40s216_view_01,imported_chloe_kelly_acl_00m34s693_00m40s216_view_01,Chloe Kelly,data/videos/analysis_clips/chloe_kelly_acl_00m34s693_00m40s216_2.mp4,506528,659957665780294c258ef6e2ada8248223a0ba6bb648e23eda82f7ee2806a5ef,true,true
chloe_kelly_acl,imported_chloe_kelly_acl_00m47s150_00m52s168_view_01,imported_chloe_kelly_acl_00m47s150_00m52s168_view_01,Chloe Kelly,data/videos/analysis_clips/chloe_kelly_acl_00m47s150_00m52s168_2.mp4,540196,5db55b206b1b8f982c1edeb38bf316e9989823255863600a4c9720a84f9622af,true,true
christen_press_acl,christen_press_view_01,christen_press_view_01,Christen Press,data/videos/analysis_clips/02_YvnMYc6OdT8_160s-166s.mp4,1044167,1ed6d6eb4d1cd2f8e17f60a0a672977ca66e4228de9c1b02266078b377cc40ae,true,true
delphine_cascarino_acl,imported_delphine_cascarino_out_of_world_cup_injury_vs_psg_21_5_23_00m03s351_00m06s647_view_01,imported_delphine_cascarino_out_of_world_cup_injury_vs_psg_21_5_23_00m03s351_00m06s647_view_01,Delphine Cascarino,data/videos/analysis_clips/delphine_cascarino_out_of_world_cup_injury_vs_psg_21_5_23_00m03s351_00m06s647.mp4,284328,f082ea8a6a81db6d9c34b1bbab64cd162c55ec3235f35b51ea4dc74c9b322193,true,true
delphine_cascarino_acl,imported_delphine_cascarino_out_of_world_cup_injury_vs_psg_21_5_23_00m07s579_00m09s769_view_01,imported_delphine_cascarino_out_of_world_cup_injury_vs_psg_21_5_23_00m07s579_00m09s769_view_01,Delphine Cascarino,data/videos/analysis_clips/delphine_cascarino_out_of_world_cup_injury_vs_psg_21_5_23_00m07s579_00m09s769.mp4,252695,cc2d4e661d876fe60d224dce01bb1df56565bbb46b535a855485cfd18fab3779,true,true
imported_ellie_carpenter_2000_04_28_acl_candidate,imported_ellie_carpenter_2000_04_28_view_01,imported_ellie_carpenter_2000_04_28_view_01,Ellie Carpenter,data/videos/analysis_clips/Ellie Carpenter_s nasty looking injury _ Turned out to be an ACL injury._00m30s300_00m35s392.mp4,2470022,7f00f64ff37c3935015c268aa6c8140a103d4608b318437f2bb708d43e73ad62,true,true
imported_grace_wisnewski_2023_11_04_acl_candidate,imported_grace_wisnewski_2023_11_04_view_01,imported_grace_wisnewski_2023_11_04_view_01,Grace Wisnewski,data/videos/analysis_clips/Road to Recovery Ep. 1_ Grace Wisnewski ACL Injury_00m08s430_00m12s000.mp4,881384,2306719265af73a080b278ce2886cad7644662c4578c1cda3a23c25db7adb146,true,true
imported_holy_mcnamara_2023_11_19_acl_candidate,imported_holy_mcnamara_2023_11_19_view_01,imported_holy_mcnamara_2023_11_19_view_01,Holly McNamara,data/videos/analysis_clips/aleagues_newcastle_jets_vs_melbourne_city_highlights_02m44s255_02m47s849.mp4,2475804,7a5803e781d4b877ad5ae680df0b6a62a8e695ddd3f322cebf3731c9a67a8133,true,true
jordan_nobbs_acl,imported_jordan_nobbs_2018_11_18_view_03,imported_jordan_nobbs_2018_11_18_view_03,Jordan Nobbs,data/videos/analysis_clips/jordan_nobbs_everton_injury_gz23btdm4ve_00m32s314_00m34s562_00m00s000_00m02s250.mp4,1198859,3cbb38f36a154ec7ffabe71d4ab7d2f1a188f2fe3fe1ca77bed11d32347d7b51,true,true
jordan_nobbs_acl,imported_jordan_nobbs_everton_injury_gz23btdm4ve_00m32s314_00m34s562_view_01,imported_jordan_nobbs_everton_injury_gz23btdm4ve_00m32s314_00m34s562_view_01,Jordan Nobbs,data/videos/analysis_clips/jordan_nobbs_everton_injury_gz23btdm4ve_00m32s314_00m34s562.mp4,1240570,21335d0bb062633534a87d1af05415b60581bdb055e41098e63dca215cd5c2a1,true,true
jordan_nobbs_acl,imported_jordan_nobbs_everton_injury_gz23btdm4ve_00m36s300_00m39s611_view_01,imported_jordan_nobbs_everton_injury_gz23btdm4ve_00m36s300_00m39s611_view_01,Jordan Nobbs,data/videos/analysis_clips/jordan_nobbs_everton_injury_gz23btdm4ve_00m36s300_00m39s611.mp4,1517544,606b4ebf9c91f552afb1a32979077466c71dadc06c3b4a9463d59d063db43e69,true,true
imported_3f55f120_abb1_44f1_9352_f9ebe1ec23ec_00m22s800_00m27s098_acl_candidate,imported_3f55f120_abb1_44f1_9352_f9ebe1ec23ec_00m22s800_00m27s098_view_01,imported_3f55f120_abb1_44f1_9352_f9ebe1ec23ec_00m22s800_00m27s098_view_01,Kirsten van de Westeringh,data/videos/analysis_clips/3f55f120_abb1_44f1_9352_f9ebe1ec23ec_00m22s800_00m27s098.mp4,2478798,8b333f17f6962697c8d4004e615fb032ae6520d5eef7b48d0bacee28e832baa3,true,true
imported_laura_wienroither_2023_05_01_acl_candidate,imported_laura_wienroither_2023_05_01_view_01,imported_laura_wienroither_2023_05_01_view_01,Laura Wienroither,data/videos/analysis_clips/UWCL_Arsenal_2023_34m23s450_34m29s783.mp4,388519,660e4c5a2ef03d4600779e2d1669a976dc7a1a1a21730be450b9f3df26445a61,true,true
leah_williamson_acl,leah_williamson_broadcast_wide_01,leah_williamson_broadcast_wide_01,Leah Williamson,data/videos/analysis_clips/10_leah_williamson_view_01_broadcast_wide_0s-12s.mp4,4069422,b5c10b0afe3919688552d5efaf3771c4465b1d8fe78b3001bb944da589e2d918,false,false
leah_williamson_acl,leah_williamson_replay_close_oblique_02,leah_williamson_replay_close_oblique_02,Leah Williamson,data/videos/analysis_clips/10_leah_williamson_TygjH39bmfU_00m42s814_00m44s647.mp4,748979,f35155420a23974050524f6a7605cbe6b25cb763039ee89a89c2304e5201ae81,true,true
leah_williamson_acl,leah_williamson_replay_close_sagittal_04,leah_williamson_replay_close_sagittal_04,Leah Williamson,data/videos/analysis_clips/10_leah_williamson_TygjH39bmfU_01m33s519_01m37s685.mp4,2077411,60d78b0fb7a64bd63717423052445a141aa9eac59f24933bd31c1e3f0c376f75,true,true
leah_williamson_acl,leah_williamson_replay_frontal_oblique_03,leah_williamson_replay_frontal_oblique_03,Leah Williamson,data/videos/analysis_clips/10_leah_williamson_TygjH39bmfU_00m48s869_00m52s235.mp4,1018513,0b77239953a6b77ff7584ac0e7e4d5dd9551ca41237a83ed1cad2e4d7dd460c2,true,true
imported_ludmila_da_silva_2023_03_12_acl_candidate,imported_ludmila_da_silva_2023_03_12_view_01,imported_ludmila_da_silva_2023_03_12_view_01,Ludmila da Silva,data/videos/analysis_clips/Las mejores jugadas del Atle_tico de Madrid 0-0 Real Madrid_01m37s600_01m41s981.mp4,508683,2da11a43e9c332e06398d6df29646a3e20a34b177d44e4cc68a792a7cad0c128,true,true
imported_mary_fowler_2025_04_13_acl_candidate,imported_mary_fowler_2025_04_13_view_01,imported_mary_fowler_2025_04_13_view_01,Mary Fowler,data/videos/analysis_clips/FULL MATCH _ Manchester City v Manchester United _ Semi-Final _ Adobe Women_s FA Cup 2024-25_20m12s031_20m14s752.mp4,329459,d3d4665cebadf7cb9ccd87776044b77f4a9d8f0ca7bb627dade7bf0534045bba,true,true
imported_mary_fowler_2025_04_13_acl_candidate,imported_mary_fowler_2025_04_13_view_02,imported_mary_fowler_2025_04_13_view_02,Mary Fowler,data/videos/analysis_clips/FULL MATCH _ Manchester City v Manchester United _ Semi-Final _ Adobe Women_s FA Cup 2024-25_20m29s552_20m34s552.mp4,646928,ffd3f58b775257abd2237538ba0c061ae658849c88ec9b3473f8e597a4de8f06,true,true
case_01_acl_candidate,case_01_view_01,case_01_view_01,Vivianne Miedema,data/videos/analysis_clips/01_YXpvkHw2BP8_135s-145s.mp4,2042298,fc62a8612f69c0d22d499641305c0306dc2e75f6881a024d92de7b3ebdf0600b,true,true
